"Sample","PeaksDetected","ZScore","IsOutlier","DetectionRate","GW","Sex"
"Sample10",7683,-0.451874845577669,FALSE,81.4653801293606,20,"M"
"Sample19",7907,0.778763031740238,FALSE,83.8405259251405,20,"M"
"Sample32",7885,0.657896811646515,FALSE,83.6072526773407,20,"M"
"Sample35",7875,0.602957620694823,FALSE,83.5012193828862,20,"M"
"Sample01",7855,0.493079238791438,FALSE,83.2891527939773,20,"F"
"Sample08",7910,0.795244789025746,FALSE,83.8723359134768,20,"F"
"Sample09",7583,-1.00126675509459,FALSE,80.405047184816,20,"F"
"Sample20",7424,-1.8747998912265,FALSE,78.7191178029901,20,"F"
