label,Name,Compound.ID
Pyrrole-2-Carboxylic Acid,Pyrrole-2-Carboxylic Acid,Amide-Neg-000142
Lpc 20:3-Sn1,Lpc 20:3-Sn1,C8-Pos-002542
Dl-Arginine,Dl-Arginine,Amide-Neg-000697
Pi(22:0_12:1),Pi(22:0_12:1),C8-Neg-003398
L-Lysine,L-Lysine,Amide-Neg-000484
Cyclohexylamine,Cyclohexylamine,Amide-Pos-000085
2'-Deoxyadenosine,2'-Deoxyadenosine,Amide-Pos-000996
Cytidine 5'-Diphosphocholine,Cytidine 5'-Diphosphocholine,Amide-Pos-001779
Δ2-Cis-Hexadecenoic Acid,Δ2-Cis-Hexadecenoic Acid,C8-Neg-000175
Dgdg(18:0_11:1),Dgdg(18:0_11:1),C8-Neg-003439
Citroflex 2,Citroflex 2,C8-Pos-000350
Docosanamide,Docosanamide,C8-Pos-000820
Pc(O-10:0_23:2),Pc(O-10:0_23:2),C8-Pos-003714
Pc(14:1_28:3),Pc(14:1_28:3),C8-Pos-005214
Pyruvic Acid,Pyruvic Acid,Amide-Neg-000032
Glutaric Anhydride,Glutaric Anhydride,Amide-Neg-000171
N-Acetylglycine,N-Acetylglycine,Amide-Neg-000219
D-(+)-Ribonic Acid Gamma-Lacto…,D-(+)-Ribonic Acid Gamma-Lactone,Amide-Neg-000499
Cytosine,Cytosine,Amide-Pos-000171
L-Glutamic Acid,L-Glutamic Acid,Amide-Pos-000319
N-Acetylputrescine,N-Acetylputrescine,Amide-Pos-000336
L-Hydroxyproline,L-Hydroxyproline,Amide-Pos-000349
Asparagine,Asparagine,Amide-Pos-000372
L-Histidine,L-Histidine,Amide-Pos-000536
D-Histidine Methyl Ester,D-Histidine Methyl Ester,Amide-Pos-000604
"Ne,Ne,Ne-Trimethyllysine","Ne,Ne,Ne-Trimethyllysine",Amide-Pos-000682
Anserine,Anserine,Amide-Pos-000913
Ophthalmate,Ophthalmate,Amide-Pos-001163
"[2,2'-Biquinoline]-4,4'-Dicarb…","[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",Amide-Pos-001385
Adenosine 5'-Diphosphate,Adenosine 5'-Diphosphate,Amide-Pos-001677
Triethylene Glycol Monobutyl E…,Triethylene Glycol Monobutyl Ether,C18-Pos-001031
Methyl L-Tryptophanate,Methyl L-Tryptophanate,C18-Pos-001113
Asp-Phe,Asp-Phe,C18-Pos-001575
Lithocholic Acid,Lithocholic Acid,C8-Neg-000679
Pc(18:1_5:1cho),Pc(18:1_5:1cho),C8-Neg-002843
Cl(23:1_19:4cho_22:4_22:4cho),Cl(23:1_19:4cho_22:4_22:4cho),C8-Neg-003382
Pc(27:6_8:1cooh),Pc(27:6_8:1cooh),C8-Neg-003407
Ps(22:3_24:7),Ps(22:3_24:7),C8-Neg-003619
Pc(20:3_25:5),Pc(20:3_25:5),C8-Neg-003713
Geranyllinalool,Geranyllinalool,C8-Pos-000337
"17-(1-Hydroxyethyl)-10,13-Dime…","17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",C8-Pos-000495
Stearoyl Ethanolamide,Stearoyl Ethanolamide,C8-Pos-000709
Vitamin D3,Vitamin D3,C8-Pos-001060
Cholest-4-En-3-One,Cholest-4-En-3-One,C8-Pos-001061
Triethyleneglycol Bis(2-Ethylh…,Triethyleneglycol Bis(2-Ethylhexanoate),C8-Pos-001521
Tg(5:0_10:0_6:1cho),Tg(5:0_10:0_6:1cho),C8-Pos-001736
Lpe 24:4,Lpe 24:4,C8-Pos-002633
Lpc 22:6-Sn1,Lpc 22:6-Sn1,C8-Pos-002720
Tg(2:0_11:0_23:4),Tg(2:0_11:0_23:4),C8-Pos-003290
"1,2-Dimyristoyl-Sn-Glycero-3-P…","1,2-Dimyristoyl-Sn-Glycero-3-Pc",C8-Pos-003474
Tg(36:6_4:0),Tg(36:6_4:0),C8-Pos-003614
Pe 16:0_18:1,Pe 16:0_18:1,C8-Pos-003759
Pa(18:1_20:0),Pa(18:1_20:0),C8-Pos-004019
Tg(49:11_2:0),Tg(49:11_2:0),C8-Pos-004921
Pc(18:2_20:4cooh),Pc(18:2_20:4cooh),C8-Pos-005013
Ps 22:4_22:5,Ps 22:4_22:5,C8-Pos-005189
Pc(26:6_21:6cho),Pc(26:6_21:6cho),C8-Pos-005464
Pg(O-29:8_21:6),Pg(O-29:8_21:6),C8-Pos-005548
Pc(22:5cooh_25:8),Pc(22:5cooh_25:8),C8-Pos-005561
Pc(22:3cho_28:6),Pc(22:3cho_28:6),C8-Pos-005761
