gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive,dfbetas_stable,imp_insensitive,max_dfb,dfb_cut,stable
FOXP2,2.818064557247981,4.116154421051505,11.518218131236084,9.581090806141589e-12,1.4286364501037722e-7,15.802462616423275,NA,Amide-Neg-000484,L-Lysine,IN-CGE-Immature,15,1.1711423156292375e-5,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00310;map00780;R-HSA-196780;R-HSA-264876;R-HSA-2980736;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-420499;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-5619113;R-HSA-5660883;R-HSA-5689603;R-HSA-71064;WP4228;WP661,C00047,NA,high,0,15,FALSE,2.1417174876030223,2.593504540759417e-5,2.1417174876030223,2.593504540759417e-5,TRUE,TRUE,FALSE,TRUE,TRUE,0.40637007653150803,0.5163977794943222,TRUE
CALN1,1.9311953654041816,4.80934368567114,5.928918224234537,2.8950331071865045e-6,0.01271981046194177,3.687266542690781,NA,Amide-Neg-000484,L-Lysine,OPC,10,0.05925953008412131,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00310;map00780;R-HSA-196780;R-HSA-264876;R-HSA-2980736;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-420499;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-5619113;R-HSA-5660883;R-HSA-5689603;R-HSA-71064;WP4228;WP661,C00047,NA,high,0,10,FALSE,1.3912644882447045,0.00682109518756174,1.3912644882447045,0.00682109518756174,TRUE,TRUE,FALSE,TRUE,TRUE,0.42930471456595154,0.6324555320336759,TRUE
ENSG00000278254,2.8621867053838317,6.003906915163846,5.7967602747581095,6.764473823995899e-6,0.09094835056362484,-3.999308618356594,NA,Amide-Neg-000499,D-(+)-Ribonic Acid Gamma-Lactone,OPC,11,0.09846161868715528,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,high,0,11,FALSE,2.478860042202656,1.4166497565887756e-4,2.478860042202656,1.4166497565887756e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.5271697318760876,0.6030226891555273,TRUE
TRPS1,1.9931821613999037,4.102040372031551,9.95826944317341,2.542170509334165e-10,1.8953152232340872e-6,13.07745855849623,NA,Amide-Neg-000697,Dl-Arginine,IN-CGE-Immature,15,1.0358053229588176e-4,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",WP5029;WP5078;WP5192,C02385,NA,high,0,15,FALSE,1.4509268750934532,2.9950237085936833e-4,1.4509268750934532,2.9950237085936833e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.49556528107733006,0.5163977794943222,TRUE
GLUD1,1.3896929526711936,2.9463405860517846,6.088905225038096,2.033191609360403e-6,0.00101056400290576,4.78990047545798,NA,Amide-Neg-000697,Dl-Arginine,IN-CGE-Immature,15,0.04743081373583514,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",WP5029;WP5078;WP5192,C02385,NA,high,0,15,FALSE,1.2045614610130322,3.2268105302106156e-4,1.2045614610130322,3.2268105302106156e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.40078421506315604,0.5163977794943222,TRUE
KLHL4,1.4618454854085,3.862994621324411,6.260340662724574,3.358197892929127e-6,0.00164995845507108,4.3725566785068555,NA,Amide-Neg-000697,Dl-Arginine,IN-MGE-SST,12,0.06515690581042165,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",WP5029;WP5078;WP5192,C02385,NA,high,0,12,FALSE,1.106624810254246,0.00238814638387779,1.106624810254246,0.00238814638387779,TRUE,TRUE,FALSE,TRUE,TRUE,0.5735115328462849,0.5773502691896258,TRUE
GABRG3,1.4973598026092347,4.393774049643983,6.546245386320778,6.855493351492356e-6,0.0468486069283179,3.4022115735092964,NA,Amide-Pos-000085,Cyclohexylamine,Astrocyte-Immature,13,0.0991291869903514,Organic nitrogen compounds,Organonitrogen compounds,Cyclohexylamines,NA,C00571,NA,high,0,13,FALSE,0.9953692832709624,0.00965535925034027,0.9953692832709624,0.00965535925034027,TRUE,TRUE,FALSE,TRUE,TRUE,0.3690713778997487,0.5547001962252291,TRUE
ENSG00000248343,1.7388057351837198,3.548130616461169,7.072745456089803,7.769715865675427e-7,0.00611593184366641,5.103852889688027,NA,Amide-Pos-000085,Cyclohexylamine,IN-MGE-SST,13,0.0252648675220815,Organic nitrogen compounds,Organonitrogen compounds,Cyclohexylamines,NA,C00571,NA,high,0,13,FALSE,1.1722964509849512,0.00133110986967823,1.1722964509849512,0.00133110986967823,TRUE,TRUE,FALSE,TRUE,TRUE,0.5435641590721246,0.5547001962252291,TRUE
MSC-AS1,2.352554980188262,4.416219571861817,6.432513175413939,1.0913885419184e-6,0.01467371894609288,3.2235650747992315,NA,Amide-Pos-000171,Cytosine,OPC,11,0.03176324148946664,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,R-HSA-425397;R-HSA-83936;WP3585;WP4584,C00380,NA,high,0,11,FALSE,2.0808978452083613,3.8737975942104594e-4,2.0808978452083613,3.8737975942104594e-4,TRUE,TRUE,FALSE,TRUE,TRUE,0.3988530073574348,0.6030226891555273,TRUE
HECW1,-1.1345602452825845,5.536807536951774,-6.810601845434973,1.4851558657180767e-6,0.01880069666003818,5.247738600842629,NA,Amide-Pos-000319,L-Glutamic Acid,Astrocyte-Immature,14,0.03885992401807925,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",map00250;map00270;map00280;map00310;map00330;map00340;map00350;map00360;map00380;map00410;map00480;map00520;map00590;map00640;map00670;map00760;map00910;R-HSA-112310;R-HSA-112313;R-HSA-156590;R-HSA-1614558;R-HSA-1614635;R-HSA-174403;R-HSA-196757;R-HSA-196807;R-HSA-210455;R-HSA-210500;R-HSA-2142691;R-HSA-2682334;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-3928662;R-HSA-399710;R-HSA-399721;R-HSA-420499;R-HSA-428643;R-HSA-438064;R-HSA-438066;R-HSA-442742;R-HSA-442755;R-HSA-442982;R-HSA-446210;R-HSA-446219;R-HSA-451306;R-HSA-451307;R-HSA-451308;R-HSA-451326;R-HSA-499943;R-HSA-500657;R-HSA-500753;R-HSA-5423646;R-HSA-5578999;R-HSA-5579029;R-HSA-5619062;R-HSA-5619067;R-HSA-5619076;R-HSA-5628897;R-HSA-6794362;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-70635;R-HSA-70688;R-HSA-70895;R-HSA-70921;R-HSA-71064;R-HSA-71240;R-HSA-73817;R-HSA-8849932;R-HSA-888568;R-HSA-888590;R-HSA-8955332;R-HSA-8956320;R-HSA-8963684;R-HSA-8963691;R-HSA-8963693;R-HSA-8964539;R-HSA-8964540;R-HSA-9018677;R-HSA-9026395;R-HSA-9026762;R-HSA-9026766;R-HSA-916853;R-HSA-9617324;R-HSA-9620244;R-HSA-9659379;R-HSA-9662360;R-HSA-9664535;R-HSA-9717189;R-HSA-9717207;R-HSA-9748787;R-HSA-9753281;R-HSA-977347;R-HSA-9856872;WP100;WP2333;WP2447;WP2485;WP3580;WP3602;WP3853;WP3869;WP4008;WP4157;WP4159;WP4222;WP4224;WP4225;WP4228;WP4259;WP4315;WP4504;WP4571;WP4583;WP4595;WP4661;WP4688;WP497;WP5026;WP5029;WP5094;WP5213;WP5312;WP5402;WP550,C00025,NA,high,0,14,FALSE,-0.8343968926429258,0.00223077977425016,-0.8343968926429258,0.00223077977425016,TRUE,TRUE,FALSE,TRUE,TRUE,0.4772944553712769,0.5345224838248488,TRUE
