gene,cell_type,Sex,cor,pval,padj
HAUS2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CDAN1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CCNDBP1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TUBGCP4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TRIM69,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TMOD3,Endo,F,-0.7087665505567697,0.004542835883159711,0.04042801308597934
AC090971.2,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
LEO1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PIGBOS1,Endo,F,0.7753358527434332,0.0011217590511628714,0.012187665162791598
ANXA2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MTFMT,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
RASL12,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
PDCD7,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC055855.1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RPLP1,Endo,F,0.7407085157367257,0.002442703131315156,0.02395328094236669
C15orf39,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
COMMD4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PSTPIP1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC046168.2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
IDH3A,Endo,F,0.7264211306836504,0.0032569744655748297,0.030550715235912317
WDR61,Endo,F,0.7620318608747927,0.0015353599264857603,0.01610929460899644
TMED3,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
ABHD17C,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
MEX3B,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
BTBD1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MRPS11,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ISG20,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
HAPLN3,Endo,F,0.8338080073284759,2.1049621608294764e-4,0.0032612754554555336
CIB1,Endo,F,0.7620318608747927,0.0015353599264857662,0.01610929460899644
HDDC3,Endo,F,0.7408458357672293,0.002435747935919427,0.02390769635966369
ARRDC4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
IGF1R,Endo,F,-0.8094373524353073,4.5231424592617373e-4,0.005535108806404712
SNRNP25,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
RHBDF1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PIGQ,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MCRIP2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
METRN,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RPUSD1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CHTF18,Endo,F,0.8168695759648024,3.624387945607169e-4,0.004456267100633883
AC009041.2,Endo,F,0.7264211306836504,0.0032569744655748297,0.030550715235912317
JPT2,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
MAPK8IP3,Endo,F,0.821812499956065,3.1108747250036586e-4,0.004456267100633883
NME3,Endo,F,0.7499156746657428,0.002009854162013771,0.02066680395761184
MRPS34,Endo,F,0.8515793964831609,1.1121576438598522e-4,0.0017789373423776802
