pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_source,analysis
Serine metabolism (WikiPathways),0.4022573363431151,0.8426527198339279,0.03098705135093878,0.44425575069685386,1.0368165777397496,7,Pyruvic Acid;Phosphoserine;Nervonic Ceramide,WikiPathways,Factor2 signed MSEA (metabolite weights)
Glycerophospholipid biosynthetic pathway (WikiPathways),0.4034966643662296,0.8426527198339279,0.031286630054567735,0.38699314543402275,1.037884777424564,11,Adenosine Triphosphate (Atp);Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Choline;Cytidine 5'-Diphosphocholine;Dihydroxyacetone Phosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Aspirin ADME (Reactome),0.40993227990970654,0.8426527198339279,0.030631967350842806,0.441497982063315,1.030380419665625,7,Pyruvic Acid;Uridine 5'-Diphosphate;L-(+)-Lactic Acid;Ethyl Acetoacetate,Reactome,Factor2 signed MSEA (metabolite weights)
Free fatty acid receptors (Reactome),0.4134441633538128,0.8426527198339279,0.02649078279392753,-0.49640760615615875,-1.0515360450866593,6,"Docosahexaenoic Acid;Myristic Acid;8z,11z,14z-Eicosatrienoic Acid;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
Histidine catabolism (Reactome),0.42172980700500357,0.8426527198339279,0.025961440532813976,-0.4468859638569801,-1.034645602784906,8,Histamine;L-Glutamic Acid;S-Adenosyl-L-Homocysteine,Reactome,Factor2 signed MSEA (metabolite weights)
Selenocompound metabolism (KEGG),0.42662360961607465,0.8426527198339279,0.02583249623719289,-0.46359242589005023,-1.0298635732107466,7,Adenosine;2-Oxobutanoic Acid,KEGG,Factor2 signed MSEA (metabolite weights)
Pyrimidine biosynthesis (Reactome),0.42831975335829114,0.8426527198339279,0.029364285031105716,0.49388686526116876,1.0299049666591178,5,Uridine Monophosphate;L-Aspartic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Pyrimidine metabolism and related diseases (WikiPathways),0.4352072415435922,0.8426527198339279,0.03051906004552157,0.33904420768124405,1.0122162171641398,16,Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt;Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine,WikiPathways,Factor2 signed MSEA (metabolite weights)
TP53 Regulates Metabolic Genes (Reactome),0.4404979860856829,0.8426527198339279,0.025634502084971054,-0.52190579579210306,-1.040301216096759,5,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;L-Glutamine,Reactome,Factor2 signed MSEA (metabolite weights)
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.4429494079655544,0.8426527198339279,0.02520010021505535,-0.4585168301767022,-1.0185882139822473,7,L-Ornithine;D-Glucose;L-Glutamic Acid;L-Lysine,Reactome,Factor2 signed MSEA (metabolite weights)
Purinergic signaling (WikiPathways),0.4451819638361181,0.8426527198339279,0.029364285031105716,0.39776200343328877,1.0031216099434213,9,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);N-Methyl-D-Glucamine;Uridine 5'-Diphosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Fructose and mannose metabolism (KEGG),0.4452008168822328,0.8426527198339279,0.02920589598451307,0.4053968864135094,0.9896825614644553,8,"Adenosine Triphosphate (Atp);D-Fructose-1,6-Bisphosphate;D-Mannitol 1-Phosphate",KEGG,Factor2 signed MSEA (metabolite weights)
Alanine and aspartate metabolism (WikiPathways),0.4477303988995873,0.8426527198339279,0.029289512184785507,0.38394457101655116,0.9980315417757597,10,Pyruvic Acid;N-Beta-Alanyl-L-Histidine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Creatine metabolism (Reactome),0.44928522804629,0.8426527198339279,0.029040238666206187,0.4037960597743106,0.9857745141610855,8,Phosphocreatine;Creatine,Reactome,Factor2 signed MSEA (metabolite weights)
Pyruvate metabolism (Reactome),0.45254470426409904,0.8426527198339279,0.029095226487425584,0.3825656062776861,0.9944470391983692,10,"Pyruvic Acid;D-Fructose-1,6-Bisphosphate",Reactome,Factor2 signed MSEA (metabolite weights)
Metabolism of folate and pterines (Reactome),0.45331380446722813,0.8426527198339279,0.025152749451795558,-0.5157743305570105,-1.0280795262976623,5,"L-Glutamic Acid;D,L-Serine;L-Serine",Reactome,Factor2 signed MSEA (metabolite weights)
Branched-chain amino acid catabolism (Reactome),0.46484804101061883,0.8426527198339279,0.024734476135411965,-0.5109112604870907,-1.0183860955128534,5,L-Glutamic Acid;L-Valine,Reactome,Factor2 signed MSEA (metabolite weights)
16p11.2 proximal deletion syndrome (WikiPathways),0.46587484488565856,0.8426527198339279,0.024166537631263297,-0.40093154072451914,-0.9943903458670474,10,1-Palmitoyl-Sn-Glycero-3-Phosphocholine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Phospholipid Biosynthesis (KEGG),0.46765449945789667,0.8426527198339279,0.02441858528804662,-0.4758349042354192,-1.0079570641318913,6,1-Palmitoyl-Sn-Glycero-3-Phosphocholine,KEGG,Factor2 signed MSEA (metabolite weights)
Organic anion transporters (Reactome),0.47002237136465325,0.8426527198339279,0.02797794933819362,0.44677164846310113,0.9881677326542058,6,Pyruvic Acid;L-(+)-Lactic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
MTHFR deficiency (WikiPathways),0.4765470160757542,0.8467219303488847,0.027457446786596337,0.47186837957119115,0.9839896986788101,5,Choline;L-(-)-Methionine;Nervonic Ceramide;Cytidine 5'-Diphosphocholine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Phosphatidylcholine catabolism (WikiPathways),0.4850111856823266,0.8503763502863952,0.027425097940002603,0.4405005932293743,0.9742974379455367,6,Adenosine Triphosphate (Atp);Acetylcholine;Choline,WikiPathways,Factor2 signed MSEA (metabolite weights)
Phenylalanine and Tyrosine Metabolism (KEGG),0.4889390519187359,0.8503763502863952,0.027441262191778712,0.41212651755150753,0.9618324689175057,7,Adenosine Triphosphate (Atp);L-Phenylalanine;L-Tyrosine;Ethyl Acetoacetate;Phenylacetylglutamine,KEGG,Factor2 signed MSEA (metabolite weights)
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.4914235190097259,0.8503763502863952,0.02325879549709792,-0.3829441329187582,-0.9787064526384239,11,Adenosine;2-Oxobutanoic Acid;Histamine,Reactome,Factor2 signed MSEA (metabolite weights)
Thermogenesis (WikiPathways),0.5078176613080819,0.8602936434167346,0.026356359719670906,0.4587945124218067,0.9567266923960407,5,Adenosine Triphosphate (Atp);Dl-Carnitine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Carnitine synthesis (Reactome),0.5121069750632454,0.8602936434167346,0.022944086565554477,-0.4578862061910193,-0.969936488455769,6,"L-Ascorbic Acid;Ne,Ne,Ne-Trimethyllysine;Succinic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
Urea cycle and related diseases (WikiPathways),0.5140946873870618,0.8602936434167346,0.02288209981401607,-0.4568366178811511,-0.9677131543919054,6,L-Ornithine;L-Glutamic Acid;L-Glutamine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Nicotinate metabolism (Reactome),0.5144469525959368,0.8602936434167346,0.026558531601445497,0.40354936044805617,0.9418148582038858,7,Pyruvic Acid;L-(+)-Lactic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Primary bile acid biosynthesis (KEGG),0.5272930648769575,0.8744276659209546,0.02598305991670699,0.4260284608469479,0.9422880338300136,6,Adenosine Triphosphate (Atp);Taurine,KEGG,Factor2 signed MSEA (metabolite weights)
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),0.5320541760722347,0.8750312482510306,0.02598305991670699,0.39840496936916375,0.9298087334781944,7,Pyruvic Acid;L-Histidine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Sensory perception of taste (Reactome),0.5407433881343817,0.879286216621321,0.021904694797631283,-0.4075017425730483,-0.9434619123891862,8,Guanosine 5'-Diphosphate (Gdp);D-Glucose;L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Carboxyterminal post-translational modifications of tubulin (Reactome),0.5448553643354083,0.879286216621321,0.022166997179504926,-0.47926882132422,-0.9553140464825441,5,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",0.5478969390002202,0.879286216621321,0.02507199126064975,0.44193176609335394,0.9215627157513033,5,Adenosine Triphosphate (Atp);L-Glutathione (Reduced),WikiPathways,Factor2 signed MSEA (metabolite weights)
"Transport of vitamins, nucleosides, and related molecules (Reactome)",0.5728755364806867,0.8984473290200565,0.020388515661165535,-0.30631712993801374,-0.9225971938040705,20,Adenosine;Adenine;Guanine;Guanosine;Myristic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Gluconeogenesis (Reactome),0.5774903562514182,0.8984473290200565,0.024695362201425368,0.367656233788015,0.8975475031708876,8,"Pyruvic Acid;D-Fructose-1,6-Bisphosphate",Reactome,Factor2 signed MSEA (metabolite weights)
beta-Alanine metabolism (KEGG),0.5793087663080797,0.8984473290200565,0.024786819729313906,0.3568673363827521,0.899988771975617,9,D-Pantothenic Acid;N-Beta-Alanyl-L-Histidine;Uracil;L-Aspartic Acid;L-Histidine;1-Methylhistidine;Beta-Alanine;Anserine,KEGG,Factor2 signed MSEA (metabolite weights)
Sulfur amino acid metabolism (Reactome),0.5873880203759002,0.8984473290200565,0.020356461783895673,-0.33251930626425436,-0.9080221828920714,14,Adenosine;Adenine;2-Oxobutanoic Acid;5'-S-Methyl-5'-Thioadenosine;L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Phenylalanine and tyrosine metabolism (Reactome),0.5893797207598993,0.8984473290200565,0.02450161450406774,0.35443039328455167,0.8938430107844848,9,Pyruvic Acid;L-Phenylalanine;L-Tyrosine;Ethyl Acetoacetate;L-Aspartic Acid;L-Glutathione (Reduced),Reactome,Factor2 signed MSEA (metabolite weights)
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.5928209645452543,0.8984473290200565,0.023773628252804647,0.42496357410929364,0.886178852707349,5,Pyruvic Acid;L-(-)-Methionine,Reactome,Factor2 signed MSEA (metabolite weights)
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),0.5941863126573587,0.8984473290200565,0.024367764741697977,0.3529183870384364,0.8900298608939573,9,Pyruvic Acid;Phosphoserine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Organic cation/anion/zwitterion transport (Reactome),0.5975169300225733,0.8984473290200565,0.024048585781104484,0.3782195634748727,0.8826994649391189,7,L-Ergothioneine;Choline;Uric Acid;L-(+)-Lactic Acid;Dl-Carnitine,Reactome,Factor2 signed MSEA (metabolite weights)
Disorders of folate metabolism and transport (WikiPathways),0.6004698229129021,0.8984473290200565,0.020452876315307605,-0.4255471649086702,-0.9014329700764834,6,"L-Glutamic Acid;S-Adenosyl-L-Homocysteine;D,L-Serine;L-Serine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Amino acid transport defects (IEMs) (WikiPathways),0.6243142806582905,0.927153297395521,0.019542628307707813,-0.33635344637660913,-0.8806518648304033,12,"Dl-Arginine;D-Tyrosine;L-Glutamic Acid;Dl-Glutamine;D,L-Serine;L-Serine;Dl-Alanine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Metabolic pathways of fibroblasts (WikiPathways),0.6370763200368919,0.9306454108810418,0.023351878626263253,0.30800226288001925,0.8673263247333399,13,Pyruvic Acid;D-Glucose 6-Phosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Propanoate metabolism (KEGG),0.644124955626553,0.9306454108810418,0.019117803773575803,-0.3595512700359168,-0.8662472566220694,9,2-Oxobutanoic Acid;L-Glutamic Acid;L-Valine;(R)-Pantetheine,KEGG,Factor2 signed MSEA (metabolite weights)
Maternal to zygotic transition (MZT) (Reactome),0.6709975776260736,0.9306454108810418,0.02179618227299088,0.39615295394032735,0.8260999097517452,5,Uridine 5'-Triphosphate Sodium Salt;5-Methylcytosine,Reactome,Factor2 signed MSEA (metabolite weights)
Neurotransmitter release cycle (Reactome),0.677674336904971,0.9306454108810418,0.01820543122220443,-0.3097943356210123,-0.8459663050500902,14,Arachidonic Acid;Myristic Acid;L-Glutamic Acid;Oleoyl Ethanolamide;Succinic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Regulation of insulin secretion (Reactome),0.6801590169859053,0.9306454108810418,0.018571868150473313,-0.39680769912386427,-0.84055440211241506,6,Guanosine 5'-Diphosphate (Gdp);D-Glucose;Adenosine 3'5'-Cyclic Monophosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Methionine de novo and salvage pathway (WikiPathways),0.682887984427535,0.9306454108810418,0.01820159026488622,-0.32023398135951936,-0.8384473413438981,12,Adenosine;Adenine;L-Ornithine;5'-S-Methyl-5'-Thioadenosine;L-Glutamic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Nicotinate and nicotinamide metabolism (KEGG),0.6829878484631879,0.9306454108810418,0.018344498587048307,-0.36071423931607494,-0.8351378914414072,8,"Maleic Acid;L-Glutamic Acid;S-Adenosyl-L-Homocysteine;Nicotinamide;L-Glutamine;2,6-Dihydroxypyridine Hcl",KEGG,Factor2 signed MSEA (metabolite weights)
Nucleotide catabolism (Reactome),0.6844553243574052,0.9306454108810418,0.023160659565443078,0.25269639684073825,0.8634114557918785,26,Pyruvic Acid;Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt;Cytidine 5'-Triphosphate;5'-Cytidylic Acid;Uridine 5'-Diphosphate;Inosine-5'-Monophosphate (Imp);Cytidine 5'-Diphosphate;Uric Acid;Uridine,Reactome,Factor2 signed MSEA (metabolite weights)
Glutathione conjugation (Reactome),0.685463200292933,0.9306454108810418,0.018651245502981532,-0.4192269399512729,-0.8356341296994486,5,L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Glutathione synthesis and recycling (Reactome),0.685463200292933,0.9306454108810418,0.018651245502981532,-0.4192269399512729,-0.8356341296994486,5,L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
KEGG:map01100 (KEGG),0.6876830318690784,0.9306454108810418,0.017700955704895667,-0.29489690825788484,-0.8377343853659566,16,"Maleic Acid;2-Furoic Acid;Citraconic Acid;Isobutyric Acid;Mesaconic Acid;2,6-Dihydroxypyridine Hcl;Xylose;D-Threonine;1-Aminocyclopropanecarboxylic Acid;Acrylic Acid",KEGG,Factor2 signed MSEA (metabolite weights)
Metabolism overview (WikiPathways),0.6888927275868025,0.9306454108810418,0.017715725156656235,-0.2875327370204815,-0.8411582948635733,18,Udp-Β-D-Glucose (Sodium Salt);L-Ornithine;3-Hydroxybutyric Acid;D-Glucose;L-Glutamic Acid;Succinic Acid;Citric Acid;L-Glutamine;L-Malic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Glutamate and glutamine metabolism (Reactome),0.6900504355800092,0.9306454108810418,0.021988021670566564,0.31715404676403564,0.8244152051278434,10,Pyruvic Acid;N-Acetyl-1-Aspartylglutamic Acid;L-Aspartic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Synthesis of UDP-N-acetyl-glucosamine (Reactome),0.692138295529619,0.9306454108810418,0.021312027922152418,0.38825084300316126,0.8096215948304218,5,Uridine 5'-Triphosphate Sodium Salt;N-Acetyl-D-Glucosamine 6-Phosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Nucleotide biosynthesis (Reactome),0.7303887738670347,0.9702124407764022,0.021154811289631318,0.29658761584375376,0.7954243512805484,11,"Uridine Monophosphate;D-Fructose-1,6-Bisphosphate;Inosine-5'-Monophosphate (Imp)",Reactome,Factor2 signed MSEA (metabolite weights)
Glucose metabolism (Reactome),0.7313159101329665,0.9702124407764022,0.021081806179909904,0.305659707280846,0.7945366387354899,10,"Pyruvic Acid;D-Fructose-1,6-Bisphosphate",Reactome,Factor2 signed MSEA (metabolite weights)
The phototransduction cascade (Reactome),0.7500915415598682,0.9829318459635331,0.01731930159372415,-0.39229723695068125,-0.7819558547952173,5,Guanosine 5'-Diphosphate (Gdp);S-Adenosyl-L-Homocysteine,Reactome,Factor2 signed MSEA (metabolite weights)
Tyrosine catabolism (Reactome),0.7513731233980228,0.9829318459635331,0.017294261646734064,-0.3914243388739114,-0.7802159298162009,5,L-Ascorbic Acid;L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Na+/Cl- dependent neurotransmitter transporters (Reactome),0.7577071290944123,0.9829318459635331,0.021297202684855503,0.24972799382074612,0.8065671326577171,21,L-Phenylalanine;Γ-Aminobutyric Acid;L-Hydroxyproline;L-Tyrosine;L-Threonine;Tryptophan;Taurine;L-(-)-Methionine;L-Isoleucine,Reactome,Factor2 signed MSEA (metabolite weights)
NAD biosynthesis II from tryptophan (WikiPathways),0.7621923937360179,0.9829318459635331,0.020071690624924345,0.34512427598805373,0.7633444836086235,6,Adenosine Triphosphate (Atp);Tryptophan,WikiPathways,Factor2 signed MSEA (metabolite weights)
Glutathione metabolism (KEGG),0.765600181529385,0.9829318459635331,0.02022003055862687,0.31238698949712285,0.7626204499714182,8,Adenosine Triphosphate (Atp);L-Glutathione (Reduced),KEGG,Factor2 signed MSEA (metabolite weights)
Cysteine and methionine catabolism (WikiPathways),0.776522506619594,0.9882365930168501,0.016281069658365722,-0.2877907575359517,-0.7697317178405868,13,"Adenosine;2-Oxobutanoic Acid;L-Glutamic Acid;Dl-Glutamine;S-Adenosyl-L-Homocysteine;D,L-Serine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Methionine metabolism leading to sulfur amino acids and related disorders (WikiPathways),0.7796640457469621,0.9882365930168501,0.016400553154943712,-0.3293101083763576,-0.76242997798262,8,Adenosine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Metabolism of sphingolipids in ER and Golgi apparatus (WikiPathways),0.7936393205637875,0.9902572262752981,0.01630421737077876,-0.35261375047861027,-0.7469387334585097,6,"D,L-Serine;L-Serine;D-Erythro-Sphinganine;O-Phosphocolamine",WikiPathways,Factor2 signed MSEA (metabolite weights)
GABA metabolism (aka GHB) (WikiPathways),0.7950481430536451,0.9902572262752981,0.019802123916207278,0.28722737484930766,0.746623344619974,10,N-Acetylputrescine;Γ-Aminobutyric Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
tRNA modification in the nucleus and cytosol (Reactome),0.7991051454138702,0.9902572262752981,0.019355752732418994,0.33289849661658266,0.7363035540353252,6,Pyruvic Acid;L-(-)-Methionine,Reactome,Factor2 signed MSEA (metabolite weights)
Tryptophan metabolism (KEGG),0.802013422818792,0.9902572262752981,0.019301077965880417,0.3313747674179013,0.73293337593065,6,Adenosine Triphosphate (Atp);Tryptophan,KEGG,Factor2 signed MSEA (metabolite weights)
Degradation of cysteine and homocysteine (Reactome),0.8125429159990845,0.9902572262752981,0.01944883583107177,0.28851313398734024,0.7276053442941344,9,Pyruvic Acid;Taurine;Hypotaurine,Reactome,Factor2 signed MSEA (metabolite weights)
Vitamin B6-dependent and responsive disorders (WikiPathways),0.8299157817649213,0.9902572262752981,0.015845612346628735,-0.3547312201935482,-0.7070764929804199,5,L-Glutamic Acid;L-Pipecolinic Acid;L-Lysine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Kennedy pathway from sphingolipids (WikiPathways),0.8316314953483095,0.9902572262752981,0.018969850188080246,0.28820116054158607,0.7035763528062476,8,"5'-Cytidylic Acid;Choline;Cytidine 5'-Diphosphocholine;Adenosine 5'-Diphosphate;O-Phosphocolamine;L-Serine;D,L-Serine;S-Adenosyl-L-Homocysteine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Urea cycle and metabolism of amino groups (WikiPathways),0.8333333333333334,0.9902572262752981,0.019093021445475332,0.2756884193666173,0.7166288026985183,10,Phosphocreatine;Sarcosine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Ethanol effects on histone modifications (WikiPathways),0.8398022702306848,0.9902572262752981,0.01567408173818754,-0.34967989848520464,-0.6970078251126673,5,"S-Adenosyl-L-Homocysteine;D,L-Serine;L-Serine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Cannabinoid receptor signaling (WikiPathways),0.8447427293064877,0.9902572262752981,0.018524484041845916,0.3129863736432193,0.6922620006408615,6,Adenosine Triphosphate (Atp);Γ-Aminobutyric Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Lysine degradation (KEGG),0.8546824542518837,0.9902572262752981,0.015126619501126036,-0.31468573199927946,-0.6990696014349463,7,L-Glutamic Acid;2-Oxoadipic Acid;L-Pipecolinic Acid;L-Lysine,KEGG,Factor2 signed MSEA (metabolite weights)
Role of carnosine in muscle contraction (WikiPathways),0.8623057462956271,0.9902572262752981,0.015102384998153463,-0.32044139045985376,-0.678788294593991,6,Histamine,WikiPathways,Factor2 signed MSEA (metabolite weights)
TCA cycle (aka Krebs or citric acid cycle) (WikiPathways),0.8760722347629797,0.9902572262752981,0.01811738641356192,0.28614312543387055,0.6678088816874883,7,Adenosine Triphosphate (Atp);Guanosine-5'-Triphosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.8795679154217422,0.9902572262752981,0.01832509073614871,0.24694290008913738,0.6817578267890718,12,L-Phenylalanine;L-Tyrosine;Tryptophan;L-(-)-Methionine;L-Isoleucine,Reactome,Factor2 signed MSEA (metabolite weights)
Folate metabolism (WikiPathways),0.8839551384756237,0.9902572262752981,0.01819007447164638,0.26238042313479004,0.6617008919926901,9,Adenosine Triphosphate (Atp);L-(-)-Methionine,WikiPathways,Factor2 signed MSEA (metabolite weights)
"Alanine, aspartate and glutamate metabolism (KEGG)",0.8877600387034349,0.9902572262752981,0.018949440458446733,0.2158545570727045,0.7134406066072783,23,Pyruvic Acid;Adenosine Triphosphate (Atp);Γ-Aminobutyric Acid;Inosine-5'-Monophosphate (Imp);Malonic Acid;N-Acetyl-D-Glucosamine 6-Phosphate,KEGG,Factor2 signed MSEA (metabolite weights)
Pyrimidine salvage (Reactome),0.8925367778973807,0.9902572262752981,0.014501075213024893,-0.29473259702628185,-0.6547440134131066,7,Pseudouridine,Reactome,Factor2 signed MSEA (metabolite weights)
Glycosphingolipid metabolism (Reactome),0.8955547524394651,0.9902572262752981,0.014556284179083348,-0.30284163688076887,-0.6415068850355145,6,Guanosine 5'-Diphosphate (Gdp);D-Glucose,Reactome,Factor2 signed MSEA (metabolite weights)
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway (WikiPathways),0.8982602950891874,0.9902572262752981,0.01738391734386477,0.3057692307692308,0.6376222401748661,5,"D-Pantothenic Acid;Nervonic Ceramide;D-Erythro-Sphinganine;L-Serine;D,L-Serine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Amino acid transport across the plasma membrane (Reactome),0.9005805515239478,0.9902572262752981,0.01873514170896808,0.21164179122121085,0.6995166095170906,23,L-Phenylalanine;Γ-Aminobutyric Acid;L-Hydroxyproline;L-Tyrosine;L-Threonine;Tryptophan;Taurine;L-(-)-Methionine;L-Isoleucine,Reactome,Factor2 signed MSEA (metabolite weights)
One-carbon metabolism (WikiPathways),0.9040268456375838,0.9902572262752981,0.017521418159225137,0.2870905587668593,0.6349857415952539,6,"Choline;L-(-)-Methionine;Glycine;L-Serine;D,L-Serine;S-Adenosyl-L-Homocysteine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Organic cation transport (Reactome),0.9060783595752472,0.9902572262752981,0.014576678131957987,-0.3154296607207841,-0.6287377191180541,5,Histamine,Reactome,Factor2 signed MSEA (metabolite weights)
Cytosolic tRNA aminoacylation (Reactome),0.9088535485402326,0.9902572262752981,0.0183173360456645,0.21301775147928992,0.6602745044996684,18,"L-Phenylalanine;L-Tyrosine;L-Threonine;Tryptophan;L-(-)-Methionine;L-Isoleucine;L-Aspartic Acid;L-Histidine;Leucine;Glycine;Asparagine;Dl-Alanine;L-Serine;L-Glutamine;D,L-Serine;L-Lysine;L-Valine;L-Glutamic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
Mitochondrial tRNA aminoacylation (Reactome),0.9088535485402326,0.9902572262752981,0.0183173360456645,0.21301775147928992,0.6602745044996684,18,"L-Phenylalanine;L-Tyrosine;L-Threonine;Tryptophan;L-(-)-Methionine;L-Isoleucine;L-Aspartic Acid;L-Histidine;Leucine;Glycine;Asparagine;Dl-Alanine;L-Serine;L-Glutamine;D,L-Serine;L-Lysine;L-Valine;L-Glutamic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
tRNA Aminoacylation (Reactome),0.9088535485402326,0.9902572262752981,0.0183173360456645,0.21301775147928992,0.6602745044996684,18,"L-Phenylalanine;L-Tyrosine;L-Threonine;Tryptophan;L-(-)-Methionine;L-Isoleucine;L-Aspartic Acid;L-Histidine;Leucine;Glycine;Asparagine;Dl-Alanine;L-Serine;L-Glutamine;D,L-Serine;L-Lysine;L-Valine;L-Glutamic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),0.9219607149177137,0.9902572262752981,0.013834986666186554,-0.23976608187134502,-0.6277635903473325,12,"L-Valine;L-Lysine;D,L-Serine;L-Serine;Dl-Alanine;Glycine;Leucine;Beta-Alanine;L-Histidine;L-Isoleucine;L-(-)-Methionine;Tryptophan",Reactome,Factor2 signed MSEA (metabolite weights)
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.9225126088950023,0.9902572262752981,0.01758341819256273,0.2404379020745509,0.6249980549886424,10,L-Tyrosine;L-Threonine;Tryptophan;L-Isoleucine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Metabolism of cofactors (Reactome),0.9242035884291468,0.9902572262752981,0.014290903307765999,-0.3048711798441728,-0.6076917744578639,5,L-Ascorbic Acid;S-Adenosyl-L-Homocysteine;Citric Acid,Reactome,Factor2 signed MSEA (metabolite weights)
"Cerebral organic acidurias, including diseases (WikiPathways)",0.9255670557146003,0.9902572262752981,0.016945286838471157,0.29205222172997863,0.6090180866107431,5,L-2-Aminoadipic Acid;Tryptophan;L-Aspartic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
"Valine, leucine and isoleucine degradation (KEGG)",0.9343099107347219,0.9942656269316025,0.017373125212004428,0.2397491215459958,0.6046266931277554,9,Adenosine Triphosphate (Atp);L-Isoleucine;Ethyl Acetoacetate,KEGG,Factor2 signed MSEA (metabolite weights)
Aspartate and asparagine metabolism (Reactome),0.9481718139865105,0.9957858324271253,0.013473437731210932,-0.2441860465116279,-0.5883041182832053,9,L-Glutamic Acid;N-Acetyl-L-Aspartic Acid;L-Glutamine;Asparagine;Beta-Alanine;L-Aspartic Acid;N-Acetyl-1-Aspartylglutamic Acid;Hypotaurine;Taurine,Reactome,Factor2 signed MSEA (metabolite weights)
Methionine Metabolism (KEGG),0.9500118455342336,0.9957858324271253,0.017634706298283478,0.20318302283400586,0.6182910735504745,17,Pyruvic Acid;Adenosine Triphosphate (Atp);Sarcosine;Choline,KEGG,Factor2 signed MSEA (metabolite weights)
Purine ribonucleoside monophosphate biosynthesis (Reactome),0.9530225137386988,0.9957858324271253,0.013381663851286234,-0.23536926559457536,-0.5837628164601752,10,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;5'-Xanthylic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
