pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_source,analysis
Acetylcholine synthesis (WikiPathways),0.07158836689038031,0.7000195427008012,0.07941237368878319,0.6733025555249255,1.4892078805181796,6,Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine;Acetylcholine;Choline;Cytidine 5'-Diphosphocholine;Glycerophosphocholine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),0.07326136966908511,0.7000195427008012,0.06946518204884715,-0.5523675879561707,-1.4462273291554477,12,Adenosine;Adenine;Guanine;Guanosine,Reactome,Factor2 signed MSEA (metabolite weights)
Purine metabolism and related disorders (WikiPathways),0.07387140902872777,0.7000195427008012,0.06793701445868107,-0.4569151804092483,-1.412369318334184,22,Adenosine;Adenine;Xanthosine;Guanine;Guanosine;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;Xanthine;5'-Xanthylic Acid;2'-Deoxyadenosine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Pantothenate and CoA Biosynthesis (KEGG),0.07861704470380973,0.7045790329048734,0.07503473757509971,0.7030501338416574,1.4660742683873311,5,Adenosine Triphosphate (Atp);D-Panthenol;D-Pantothenic Acid,KEGG,Factor2 signed MSEA (metabolite weights)
Lactate shuttle in glial cells (WikiPathways),0.08623024830699774,0.7045790329048734,0.07244046740442227,0.626790233076993,1.4628206914603032,7,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Pyrimidine catabolism (Reactome),0.09292744335088121,0.7045790329048734,0.07017632599053192,0.5714797837777902,1.4412229318164143,9,Pyruvic Acid;Uridine Monophosphate;5'-Cytidylic Acid;Uridine;Uracil,Reactome,Factor2 signed MSEA (metabolite weights)
Sphingolipid metabolism: integrated pathway (WikiPathways),0.09430075532158388,0.7045790329048734,0.06964104991540172,0.5707556191818534,1.4393966509020233,9,N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine;Palmitoyl Sphingomyelin;Nervonic Ceramide,WikiPathways,Factor2 signed MSEA (metabolite weights)
Krebs cycle disorders (WikiPathways),0.10064190738193489,0.7045790329048734,0.06736792242893799,0.5446745630962054,1.4158356049511909,10,Pyruvic Acid;Dl-Lactic Acid;Adenosine Triphosphate (Atp);Propionylcarnitine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Arginine and proline metabolism (KEGG),0.10752941176470589,0.7045790329048734,0.06596421754427408,0.4680516596744819,1.372367350889394,15,Pyruvic Acid;Phosphocreatine;Adenosine Triphosphate (Atp),KEGG,Factor2 signed MSEA (metabolite weights)
Orexin receptor pathway (WikiPathways),0.11356297093649086,0.7045790329048734,0.055520939916264604,-0.617106880131387,-1.3708936150216042,7,Progesterone;Arachidonic Acid;D-Glucose;L-Glutamic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Glycolysis and gluconeogenesis (WikiPathways),0.11581597619592585,0.7045790329048734,0.06252454095011548,0.5521519677373398,1.3924798397768585,9,"Pyruvic Acid;D-Glucose 6-Phosphate;D-Fructose-1,6-Bisphosphate;L-(+)-Lactic Acid;Dihydroxyacetone Phosphate;L-Aspartic Acid",WikiPathways,Factor2 signed MSEA (metabolite weights)
Metabolic disorders of biological oxidation enzymes (Reactome),0.11661341853035144,0.7045790329048734,0.05442678567563595,-0.5691106997090758,-1.3711273562961042,9,Progesterone;Arachidonic Acid;Vitamin D3;L-Glutamic Acid;S-Adenosyl-L-Homocysteine,Reactome,Factor2 signed MSEA (metabolite weights)
Omega-3 / omega-6 fatty acid synthesis (WikiPathways),0.11799783158655584,0.7045790329048734,0.05460504008636142,-0.6416184971098265,-1.3591350505879884,6,"All-Cis-4,7,10,13,16-Docosapentaenoic Acid;Docosahexaenoic Acid;Arachidonic Acid;8z,11z,14z-Eicosatrienoic Acid;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid;Linoleic Acid",WikiPathways,Factor2 signed MSEA (metabolite weights)
alpha-Linolenic acid metabolism (KEGG),0.11799783158655584,0.7045790329048734,0.05460504008636142,-0.6416184971098265,-1.3591350505879884,6,"All-Cis-4,7,10,13,16-Docosapentaenoic Acid;Docosahexaenoic Acid;Arachidonic Acid;8z,11z,14z-Eicosatrienoic Acid;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid;Linoleic Acid",KEGG,Factor2 signed MSEA (metabolite weights)
Metabolic reprogramming in pancreatic cancer (WikiPathways),0.118058690744921,0.7045790329048734,0.06144390609188169,0.6008842482701733,1.4023605748084582,7,Pyruvic Acid;Dl-Lactic Acid;Udp-N-Acetylglucosamine;N-Acetyl-D-Glucosamine 6-Phosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
