gene,n_papers,papers
CDKN1A,3,Bramble_2016; Li_2024; Matassa_2025
NDUFA3,3,Bramble_2016; Kelava_2021; Li_2024
RPL38,3,Bramble_2016; Kelava_2021; Li_2024
SEC61G,3,Bramble_2016; Kelava_2021; Li_2024
AEBP1,2,Bramble_2016; Li_2024
ANXA3,2,Bramble_2016; Li_2024
APLP1,2,Bramble_2016; Li_2024
ARL5C,2,Bramble_2016; Li_2024
ATF5,2,Bramble_2016; Li_2024
ATP1B1,2,Bramble_2016; Li_2024
BAG3,2,Bramble_2016; Matassa_2025
BDNF,2,Bramble_2016; Li_2024
CALM2,2,Bramble_2016; Li_2024
CD24,2,Bramble_2016; Li_2024
CEBPG,2,Bramble_2016; Li_2024
CRYAB,2,Li_2024; Matassa_2025
CSTF3,2,Bramble_2016; Li_2024
DBX2,2,Bramble_2016; Matassa_2025
DNAJC7,2,Bramble_2016; Li_2024
DUSP14,2,Bramble_2016; Li_2024
EIF1,2,Bramble_2016; Li_2024
EIF4G2,2,Bramble_2016; Li_2024
ENO1,2,Bramble_2016; Li_2024
FAM135B,2,Bramble_2016; Li_2024
GDF15,2,Bramble_2016; Matassa_2025
GLRB,2,Bramble_2016; Li_2024
GNB1,2,Bramble_2016; Li_2024
HINT1,2,Bramble_2016; Li_2024
HMGB2,2,Bramble_2016; Li_2024
HOPX,2,Bramble_2016; Li_2024
HSPA1B,2,Li_2024; Matassa_2025
HSPA5,2,Bramble_2016; Li_2024
HSPB1,2,Bramble_2016; Li_2024
HSPH1,2,Bramble_2016; Li_2024
HTATIP2,2,Bramble_2016; Li_2024
IFT81,2,Bramble_2016; Li_2024
IP6K2,2,Bramble_2016; Li_2024
KCNC4,2,Bramble_2016; Li_2024
KRCC1,2,Bramble_2016; Li_2024
LARS2,2,Bramble_2016; Li_2024
LMO4,2,Bramble_2016; Li_2024
MERTK,2,Bramble_2016; Li_2024
MIF,2,Bramble_2016; Kelava_2021
MT-CYB,2,Bramble_2016; Li_2024
MT-ND2,2,Bramble_2016; Li_2024
MT-ND3,2,Bramble_2016; Li_2024
MT1B,2,Bramble_2016; Li_2024
