Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Depsides and depsidones,1,Class,15,0.2724904834699518,17.88685717436384,18.446305730977688,0.044431994854284416,Depsides and deps...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Lactams,1,Class,77,0.27660491645109514,18.79078037717506,18.32525281817196,-0.03619188067303817,Lactams,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Organoheterocyclic compounds,6,Class,53,0.28547630885188235,22.90603762317882,23.125691737502496,0.01376860314006883,Organoheterocycli...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Thiocarbonyl compounds,1,Class,91,0.28547630885188235,29.337255877240032,29.09432712685108,-0.011996050928261113,Thiocarbonyl comp...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Hydroxy acids and derivatives,7,Class,90,0.3123214216762162,19.050078849479632,18.815870903254474,-0.017846902227570845,Hydroxy acids and...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Lactones,7,Class,54,0.3123214216762162,20.66212845791958,21.09679063805452,0.030034667265042336,Lactones,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Phenylpropanoic acids,1,Class,90,0.3123214216762162,18.934377077927653,18.865753699422502,-0.005238220851945451,Phenylpropanoic a...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Tetrapyrroles and derivatives,1,Class,63,0.32332000913391507,17.264489796607375,16.70428945850627,-0.04758908320595734,Tetrapyrroles and...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Sulfinic acids and derivatives,1,Class,89,0.3407786135629546,19.68730308457522,19.490976554253002,-0.014459117917521329,Sulfinic acids an...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine nucleotides,16,Class,88,0.3708443333042211,20.08763374882669,19.718643992629758,-0.02674728558909722,Pyrimidine nucleo...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Organic sulfuric acids and derivatives,1,Class,81,0.37217143978212575,21.279352010579938,21.03293734329887,-0.01680387627408908,Organic sulfuric ...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Carboximidic acids and derivatives,2,Class,57,0.40250382378200356,19.25944566050402,19.649575838485575,0.028931991309419775,Carboximidic acid...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Oxazinanes,1,Class,80,0.4060484491047267,27.46314251802978,27.34236448868498,-0.006358709391785226,Oxazinanes,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleotides,11,Class,58,0.4357306600317366,21.62228715891119,21.709982661963153,0.005839437472932036,Purine nucleotides,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Azoles,6,Class,58,0.4357306600317366,20.650882513697347,20.95257804599931,0.02092433044184861,Azoles,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Diazines,7,Class,86,0.4357306600317366,20.681697179306127,20.357114938161384,-0.022821467293736294,Diazines,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Steroids and steroid derivatives,18,Class,86,0.4357306600317366,19.69085843994653,19.623872399523222,-0.004916249954264967,Steroids and ster...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Benzoxazoles,1,Class,86,0.4357306600317366,25.346732246013406,25.14531664517442,-0.011510043113006043,Benzoxazoles,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Stilbenes,1,Class,35,0.45191345827907303,21.806528671542793,21.56760825819421,-0.015893931552781758,Stilbenes,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Pyrrolidines,2,Class,59,0.47048642205878966,24.480290754988477,24.700379783584633,0.012912531134109364,Pyrrolidines,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Pteridines and derivatives,2,Class,59,0.47048642205878966,17.886372578110926,18.222065251902055,0.02682564732089586,Pteridines and de...,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Dioxanes,1,Class,85,0.47048642205878966,18.025411746863277,18.00069417082601,-0.001979671633048865,Dioxanes,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Females
Benzopyrans,2,Class,59,0.47048642205878966,22.43742053040037,22.549988731480635,0.007219883387941048,Benzopyrans,0.7527782752940635,1,FALSE,FALSE,FALSE,Higher in Males
Furans,1,Class,60,0.5067205148778585,17.89013284390475,18.05114665978328,0.012926383864214599,Furans,0.7931277624175177,1,FALSE,FALSE,FALSE,Higher in Males
(5'->5')-dinucleotides,1,Class,83,0.5443701458566099,24.746624739930752,24.58261967592131,-0.009593099068647977,(5'->5')-dinucleo...,0.8339287340782109,1,FALSE,FALSE,FALSE,Higher in Females
Furofurans,1,Class,82,0.5833604667027033,26.377923557956827,26.367875110178062,-5.496872289543273e-4,Furofurans,0.8400390720518927,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine nucleosides,4,Class,62,0.5833604667027033,20.31197224801906,20.743203699653794,0.030308400513132487,Pyrimidine nucleo...,0.8400390720518927,1,FALSE,FALSE,FALSE,Higher in Males
Organonitrogen compounds,32,Class,82,0.5833604667027033,20.819224341450308,20.716684498482095,-0.007123187025577016,Organonitrogen co...,0.8400390720518927,1,FALSE,FALSE,FALSE,Higher in Females
Diarylheptanoids,1,Class,47,0.5974062696275562,21.33557000471526,21.645211237870416,0.020787225690236454,Diarylheptanoids,0.8433970865330205,1,FALSE,FALSE,FALSE,Higher in Males
Organic phosphoric acids and derivatives,5,Class,63,0.623604884395689,19.090114791339573,19.413595810133206,0.02424158267410096,Organic phosphori...,0.8471613523865963,1,FALSE,FALSE,FALSE,Higher in Males
Endocannabinoids,1,Class,81,0.623604884395689,23.838561781036773,23.864595467206332,0.0015746829278491118,Endocannabinoids,0.8471613523865963,1,FALSE,FALSE,FALSE,Higher in Males
"Linear 1,3-diarylpropanoids",2,Class,64,0.6650055421020291,19.99845044998166,20.081035520930886,0.005945447554820332,"Linear 1,3-diaryl...",0.8782187185267134,1,FALSE,FALSE,FALSE,Higher in Males
Triazolopyridazines,1,Class,21,0.6889205558044607,16.678783352637026,15.980313920101185,-0.06171830496254009,Triazolopyridazines,0.8782187185267134,1,FALSE,FALSE,FALSE,Higher in Females
Dihydrofurans,3,Class,79,0.7074539677020747,19.648521759783918,19.585849017101747,-0.004609108298742765,Dihydrofurans,0.8782187185267134,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleosides,9,Class,79,0.7074539677020747,20.63349986860649,20.61556819837555,-0.0012543281368028781,Purine nucleosides,0.8782187185267134,1,FALSE,FALSE,FALSE,Higher in Females
Biotin and derivatives,1,Class,65,0.7074539677020747,22.266338325438287,22.318077561045342,0.003348433332743733,Biotin and deriva...,0.8782187185267134,1,FALSE,FALSE,FALSE,Higher in Males
Fatty Acyls,94,Class,66,0.7508318840891169,20.544432324964795,20.550027615396136,3.9286550154089166e-4,Fatty Acyls,0.8862277976133839,1,FALSE,FALSE,FALSE,Higher in Males
Phenols,6,Class,78,0.7508318840891169,22.66298716147087,22.6580666692477,-3.132658734506518e-4,Phenols,0.8862277976133839,1,FALSE,FALSE,FALSE,Higher in Females
Azolidines,1,Class,66,0.7508318840891169,27.26673785486495,27.344075151610788,0.0040861581410555495,Azolidines,0.8862277976133839,1,FALSE,FALSE,FALSE,Higher in Males
Organic sulfonic acids and derivatives,2,Class,67,0.7950121719642382,19.59364189656456,19.66423831787894,0.005188727265191415,Organic sulfonic ...,0.9085853393877008,1,FALSE,FALSE,FALSE,Higher in Males
Quinolines and derivatives,3,Class,67,0.7950121719642382,22.593745734999164,22.65470891286109,0.003887484259055301,Quinolines and de...,0.9085853393877008,1,FALSE,FALSE,FALSE,Higher in Males
Quinuclidines,1,Class,43,0.8242120391033195,21.027728794235152,21.001256297128435,-0.0018174003137765467,Quinuclidines,0.9162108791345491,1,FALSE,FALSE,FALSE,Higher in Females
Phenylpropanoids and polyketides,2,Class,76,0.8398599725400034,22.13253546033942,22.07052808419327,-0.0040475833831279985,Phenylpropanoids ...,0.9162108791345491,1,FALSE,FALSE,FALSE,Higher in Females
Triazines,1,Class,76,0.8398599725400034,23.52215909311555,23.739083537795786,0.01324374903808791,Triazines,0.9162108791345491,1,FALSE,FALSE,FALSE,Higher in Males
Piperidines,5,Class,75,0.8852339144732017,20.608255853099497,20.638950160540205,0.0021471773524562475,Piperidines,0.9373064976775076,1,FALSE,FALSE,FALSE,Higher in Males
5'-deoxyribonucleosides,3,Class,69,0.8852339144732017,16.51458209932486,16.37749532532528,-0.012025725928828416,5'-deoxyribonucle...,0.9373064976775076,1,FALSE,FALSE,FALSE,Higher in Females
Imidazopyrimidines,9,Class,74,0.9309874465595671,21.603526622450403,21.451161324017527,-0.010211086809835818,Imidazopyrimidines,0.9440999458068849,1,FALSE,FALSE,FALSE,Higher in Females
Cinnamic acids and derivatives,4,Class,74,0.9309874465595671,21.62982058720106,21.817415520773118,0.012458512278019392,Cinnamic acids an...,0.9440999458068849,1,FALSE,FALSE,FALSE,Higher in Males
Lipids and lipid-like molecules,13,Class,70,0.9309874465595671,19.8634249843528,19.811678201440046,-0.003763310662229748,Lipids and lipid-...,0.9440999458068849,1,FALSE,FALSE,FALSE,Higher in Females
Organic acids and derivatives,7,Class,71,0.9769702553219757,19.95985503504469,19.875508596367585,-0.006109464533756708,Organic acids and...,0.9769702553219757,1,FALSE,FALSE,FALSE,Higher in Females
Indolines,1,Sub.Class,65,0.02948936338440756,15.763240803165823,14.090239571945109,-0.16186803093512855,Indolines,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Cyclohexylamines,1,Sub.Class,34,0.03038282197657753,23.632071009620898,24.195870688321456,0.03401478929446406,Cyclohexylamines,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Males
Gamma-keto acids and derivatives,1,Sub.Class,36,0.040404119588223736,23.949551155701123,24.2351783701583,0.01710408241393773,Gamma-keto acids ...,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Males
Cholestane steroids,4,Sub.Class,108,0.040404119588223736,20.177388108326998,19.707765766433607,-0.033975204811006486,Cholestane steroids,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Cinnamic acids,1,Sub.Class,99,0.04547470755522373,18.463708958559344,18.179819864489023,-0.02235448363164062,Cinnamic acids,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Carbonyl compounds,9,Sub.Class,107,0.046386593281398644,20.78914368651394,20.356361494931257,-0.030350617704531593,Carbonyl compounds,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Gamma butyrolactones,4,Sub.Class,105,0.060601969712006154,18.017287830769952,17.649545956249995,-0.02975078656395485,Gamma butyrolactones,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphoinositols,11,Sub.Class,103,0.07825222852623709,21.060820450405007,20.854901888115595,-0.014175114350220045,Glycerophosphoino...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine ribonucleotides,10,Sub.Class,102,0.08853377201422959,19.19874497840698,18.964480820855737,-0.017712128700021996,Pyrimidine ribonu...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
"1,3,5-triazinanes",1,Sub.Class,102,0.08853377201422959,29.346143437905695,29.17559586729183,-0.008408801031552199,"1,3,5-triazinanes",0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
(5'->5')-dinucleotides,1,Sub.Class,101,0.09987740276926413,22.736579948248643,22.274790963702337,-0.029603366450220894,(5'->5')-dinucleo...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pyridinium derivatives,1,Sub.Class,101,0.09987740276926413,23.33741799497944,23.13824710212557,-0.012365379511395064,Pyridinium deriva...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Vitamin D and derivatives,1,Sub.Class,12,0.1252010296103154,23.583621043756487,23.956744596436142,0.022646630727540584,Vitamin D and der...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Tricarboxylic acids and derivatives,3,Sub.Class,98,0.14095521914437142,21.21073917429502,20.92460382615691,-0.01959459039330311,Tricarboxylic aci...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Alpha hydroxy acids and derivatives,2,Sub.Class,97,0.1572127533400039,19.038362470617997,18.656334036255572,-0.029243869844720494,Alpha hydroxy aci...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Indoles,2,Sub.Class,47,0.1572127533400039,20.13501380789293,20.476631280070475,0.024271927761888475,Indoles,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Diphenylmethanes,1,Sub.Class,97,0.1572127533400039,22.88332096132196,22.573866732355686,-0.019642877221087294,Diphenylmethanes,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Estrane steroids,1,Sub.Class,97,0.1572127533400039,16.888740256086727,16.26828387816393,-0.053999649577725045,Estrane steroids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Indolyl carboxylic acids and derivatives,1,Sub.Class,35,0.1697061422725126,18.56092836688932,19.316677386863194,0.05757808923315928,Indolyl carboxyli...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphoserines,21,Sub.Class,96,0.17485330689329268,21.429494398604533,21.30412291111628,-0.00846515476992093,Glycerophosphoser...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleotide sugars,1,Sub.Class,96,0.17485330689329268,21.75111400879669,21.60577964103419,-0.009672000888803546,Purine nucleotide...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
"1,4-benzodiazepines",1,Sub.Class,44,0.18575772936738782,17.659811308003725,18.18647077250967,0.04239567572262063,"1,4-benzodiazepines",0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Fatty alcohol esters,2,Sub.Class,95,0.1939308522824107,19.955037197302516,19.273363243970582,-0.05014462107893166,Fatty alcohol esters,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pregnane steroids,3,Sub.Class,95,0.1939308522824107,21.8880374297496,21.71526785509045,-0.011432854063593501,Pregnane steroids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Benzene and substituted derivatives,1,Sub.Class,95,0.1939308522824107,29.099977642986314,28.952384477704424,-0.007335873292065986,Benzene and subst...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Carbohydrates and carbohydrate conjugates,25,Sub.Class,94,0.21449380778351745,21.337609087439095,21.176147039692033,-0.010958411430775347,Carbohydrates and...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Carboxylic acid derivatives,1,Sub.Class,50,0.21449380778351745,22.83525377827263,23.085104474532,0.015699438385889625,Carboxylic acid d...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Purine nucleosides,2,Sub.Class,50,0.21449380778351745,21.568072634641055,21.940977294024783,0.024730527435812975,Purine nucleosides,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Pyrrole carboxylic acids and derivatives,1,Sub.Class,94,0.21449380778351745,21.74551229156605,21.595319510866464,-0.009999035009746022,Pyrrole carboxyli...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Medium-chain hydroxy acids and derivatives,1,Sub.Class,93,0.2365840933218762,17.776261107412303,17.510952677796226,-0.021694337816126053,Medium-chain hydr...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Cinnamic acid esters,1,Sub.Class,42,0.23721752775378105,17.17133790237418,17.465597618432877,0.024513557014603685,Cinnamic acid esters,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Sesterterpenoids,1,Sub.Class,85,0.25487157590150916,20.119892036680042,19.726899755067247,-0.028458321207960453,Sesterterpenoids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Alpha-keto acids and derivatives,1,Sub.Class,92,0.26023620261718894,23.06182027985462,22.805359676982107,-0.01613346607045099,Alpha-keto acids ...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pyranones and derivatives,1,Sub.Class,92,0.26023620261718894,18.027087875424076,17.770089286773157,-0.02071543004655933,Pyranones and der...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Benzoic acids and derivatives,8,Sub.Class,92,0.26023620261718894,23.279767065453903,23.083988206984138,-0.012184123799385342,Benzoic acids and...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Benzofuranones,1,Sub.Class,92,0.26023620261718894,17.140237544758545,16.578481360075898,-0.04807524616897549,Benzofuranones,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Caprolactams,1,Sub.Class,77,0.27660491645109514,18.79078037717506,18.32525281817196,-0.03619188067303817,Caprolactams,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Peptoid-peptide hybrids,1,Sub.Class,91,0.28547630885188235,17.984726332232594,17.889247879580942,-0.007679473402372645,Peptoid-peptide h...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Thiocarbamic acid derivatives,1,Sub.Class,91,0.28547630885188235,29.337255877240032,29.09432712685108,-0.011996050928261113,Thiocarbamic acid...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphocholines,110,Sub.Class,90,0.3123214216762162,20.81406439830042,20.713069936909804,-0.007017315218282268,Glycerophosphocho...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Bilirubins,1,Sub.Class,63,0.32332000913391507,17.264489796607375,16.70428945850627,-0.04758908320595734,Bilirubins,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Tetracarboxylic acids and derivatives,1,Sub.Class,55,0.3407786135629546,14.683408114108063,14.734375778843818,0.004999076137109399,Tetracarboxylic a...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Cyclic pyrimidine nucleotides,2,Sub.Class,89,0.3407786135629546,21.15889226748988,20.76752126910216,-0.02693506797969892,Cyclic pyrimidine...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Sulfinic acids,1,Sub.Class,89,0.3407786135629546,19.68730308457522,19.490976554253002,-0.014459117917521329,Sulfinic acids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Ethers,10,Sub.Class,89,0.3407786135629546,22.79487979423068,22.73712734994392,-0.0036598083361342386,Ethers,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Hydroxycinnamic acids and derivatives,2,Sub.Class,56,0.3708443333042211,24.49941161420151,24.646045424885234,0.008609076484457199,Hydroxycinnamic a...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Pyridinecarboxylic acids and derivatives,4,Sub.Class,56,0.3708443333042211,18.063831135316132,18.46992928790477,0.03207443832058283,Pyridinecarboxyli...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Hybrid peptides,2,Sub.Class,88,0.3708443333042211,21.166490087118557,20.690017161776716,-0.032847213787024106,Hybrid peptides,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
