pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Sphingolipid metabolism: integrated pathway (WikiPathways),0.009032681885367055,0.8844792247074743,0.1948872974336822,-0.7053095752618268,-1.7027636753494062,9,"Adenosine 5'-Diphosphate;O-Phosphocolamine;Palmitoyl Sphingomyelin;D-Erythro-Sphinganine;D,L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Sphingolipid metabolism overview (WikiPathways),0.014546684709066306,0.8844792247074743,0.15535473237528252,-0.7525856052025328,-1.5925050867970032,6,"Adenosine 5'-Diphosphate;O-Phosphocolamine;D-Erythro-Sphinganine;D,L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Propanoate metabolism (KEGG),0.02184266710461488,0.8844792247074743,0.12449997625338785,-0.6596274237987854,-1.5924774820927772,9,L-Glutamic Acid;Adenosine 5'-Diphosphate;Biotin;Beta-Alanine,"Sex (limma t-statistic, positive = higher in males)",KEGG
Purinergic signaling (WikiPathways),0.03352506162695152,0.8844792247074743,0.10009850312420068,-0.6191837141708969,-1.5441518635305564,10,Adenosine 5'-Diphosphate;Uridine 5'-Triphosphate Sodium Salt;Adenosine 3'5'-Cyclic Monophosphate;Meglumine;Udp-Β-D-Glucose (Sodium Salt),"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Pyruvate metabolism (Reactome),0.05390304026294166,0.8844792247074743,0.07840404137192353,-0.5879344121915742,-1.4662207636307258,10,"L-Glutamic Acid;Adenosine 5'-Diphosphate;Adenosine 3'5'-Cyclic Monophosphate;L-Malic Acid;Nicotinamide;D-Fructose-1,6-Bisphosphate","Sex (limma t-statistic, positive = higher in males)",Reactome
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.05697250745279894,0.8844792247074743,0.07649292498331117,-0.6297124921096265,-1.4660819085728443,8,L-Glutamic Acid;Γ-Aminobutyric Acid;L(+)-Ornithine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Nucleotide salvage defects (Reactome),0.06147144240077444,0.8844792247074743,0.08945608635508519,0.7197494537787508,1.531268829119378,5,Adenine;2'-Deoxyadenosine;Hypoxanthtine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Glutathione conjugation (Reactome),0.06166950596252129,0.8844792247074743,0.0744947003424623,-0.7198040252340449,-1.4337564130752902,5,L-Glutamic Acid;Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Glutathione synthesis and recycling (Reactome),0.06166950596252129,0.8844792247074743,0.0744947003424623,-0.7198040252340449,-1.4337564130752902,5,L-Glutamic Acid;Adenosine 5'-Diphosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Sphingolipid pathway (WikiPathways),0.06456558773424191,0.8844792247074743,0.07273832314898826,-0.7153698403670403,-1.4249240909890641,5,"O-Phosphocolamine;D-Erythro-Sphinganine;D,L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence (WikiPathways),0.06660988074957411,0.8844792247074743,0.07156731649489641,-0.71343268112702,-1.4210655206196858,5,L-Malic Acid;Nicotinamide,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.06765381669645136,0.8844792247074743,0.08752676165983822,0.5577789471560094,1.4990704844486014,10,L-Glutamine;L-Threonine;L-Isoleucine;Dl-Alanine;Leucine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
