Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Propionylcarnitine,0.5914406747825004,19.113347712214267,5.852296123728829,6.884245685294583e-6,0.00413054741117675,3.837097087234125,C18-Pos-001104,Lipids and lipid-like molecules,Fatty Acyls,Increases with GW,**
Pe(21:0_21:5),-0.09747058774634386,20.098870050691282,-4.655305420116186,1.2175740497419497e-4,0.03652722149225849,1.2387894782856526,C8-Pos-004916,Lipids and lipid-like molecules,Glycerophospholipids,Decreases with GW,*
Pc(15:1cho_22:2),0.2231505257232464,15.177072328192617,4.571974286530777,2.363648185079623e-4,0.04603600904735068,0.6609041304628276,C8-Pos-004631,Lipids and lipid-like molecules,Glycerophospholipids,Increases with GW,*
Pe(26:4_19:6cooh),-0.33474072398198457,23.51644232377141,-4.582004295976755,3.069067269823379e-4,0.04603600904735068,0.4796914131823735,C8-Pos-005302,Lipids and lipid-like molecules,Glycerophospholipids,Decreases with GW,*
Dl-Valine,0.19646980152609245,15.568734103312568,4.135415577701998,4.7002236615705694e-4,0.056402683938846836,0.021844929422035086,Amide-Pos-000236,Organic acids and derivatives,Carboxylic acids and derivatives,Increases with GW,*
Peg N8,0.6905408718584912,17.028558103303713,3.88515224088819,9.201040215172704e-4,0.09201040215172704,-0.5737841975151738,C8-Pos-001222,Organic oxygen compounds,Organooxygen compounds,Increases with GW,*
N-Acetyl-Serine,0.3444793667255797,18.782513832313835,3.4265632449924874,0.0024131956867140124,0.13642744494894085,-1.4753269485306895,Amide-Neg-000288,Organic acids and derivatives,Carboxylic acids and derivatives,Increases with GW,
Pe(21:4cooh_24:6),1.0163503532973175,27.429297554537893,3.4577389488196224,0.002636200489045828,0.13642744494894085,-1.4890050966132273,C8-Pos-005313,Lipids and lipid-like molecules,Glycerophospholipids,Increases with GW,
D-Panthenol,-0.5405061611808236,15.640626858390384,-3.7153815093980063,0.0023058924384437326,0.13642744494894085,-1.5994488769657824,C18-Pos-001025,Organic oxygen compounds,Organooxygen compounds,Decreases with GW,
L-(+)-Lactic Acid,0.4152101582484046,18.519230477889604,3.382839223193814,0.0029559279738937184,0.13642744494894085,-1.5996358945274416,Amide-Neg-000066,Organic acids and derivatives,Hydroxy acids and derivatives,Increases with GW,
5-Methylcytidine,0.1725196704649133,23.89088597287179,3.3685188040065164,0.0027716836776550662,0.13642744494894085,-1.6003965183757591,Amide-Pos-001025,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Increases with GW,
Glycerol Monooleate,-0.5639549869898627,20.328782045918544,-3.363006364549502,0.0028083145608894635,0.13642744494894085,-1.612244939252867,C8-Pos-000806,Lipids and lipid-like molecules,Glycerolipids,Decreases with GW,
Palmitoleic Acid,-0.5383541613896612,19.655427133911733,-3.3604958621247936,0.002825153229762581,0.13642744494894085,-1.6176392685720344,C8-Pos-000148,Lipids and lipid-like molecules,Fatty Acyls,Decreases with GW,
"D-Fructose 1,6-Bisphosphate",0.2594005819346055,21.508365380180546,3.22125053209958,0.003930069590628327,0.16058176507087438,-1.9150225872251125,Amide-Neg-001874,Organic oxygen compounds,Organooxygen compounds,Increases with GW,
Oahfa(15:1_25:3),0.4243121189666173,19.43835599148379,3.1848413149969503,0.004282139399968575,0.16058176507087438,-1.9921487361195949,C8-Neg-002832,Lipids and lipid-like molecules,Fatty acyls,Increases with GW,
D-Histidine Methyl Ester,-0.2891309432506648,21.90631037966981,-3.149463011360582,0.004653394435263476,0.16058176507087438,-2.066818580281585,Amide-Pos-000604,Organic acids and derivatives,Carboxylic acids and derivatives,Decreases with GW,
"D,L-Serine",0.18705461395327982,18.084983967286743,3.1214602019274142,0.004969138926274351,0.16058176507087438,-2.125723931161963,Amide-Neg-000119,Organic acids and derivatives,Carboxylic acids and derivatives,Increases with GW,
Pi(16:1_18:3),0.3112114090562693,17.02622195658041,3.094175038823862,0.005296638106789589,0.16058176507087438,-2.1829459731849368,C8-Neg-003377,Lipids and lipid-like molecules,Glycerophospholipids,Increases with GW,
Asp-Pro-Asn,0.21694712824084111,19.876146568431416,3.090681189448866,0.005340049120859518,0.16058176507087438,-2.190260575509272,Amide-Pos-001387,Organic acids and derivatives,Carboxylic acids and derivatives,Increases with GW,
Histamine,0.2053026113772632,18.280519718653387,3.0896661230021976,0.005352725502362479,0.16058176507087438,-2.1923851391528304,Amide-Neg-000145,Organic nitrogen compounds,Organonitrogen compounds,Increases with GW,
Dg(2:0_18:2),0.0957756964515997,19.33769179800047,3.0387865379747745,0.006026649174909599,0.17218997642598854,-2.2985573273074666,C8-Pos-001468,Lipids and lipid-like molecules,Glycerolipids,Increases with GW,
Cl(12:0cooh_22:0_24:1_21:2),0.12738119052363947,19.26297918330438,3.057792508047747,0.007975412885797709,0.18119188426823288,-2.391517688147259,C8-Neg-003274,Lipids and lipid-like molecules,Glycerophospholipids,Increases with GW,
Biotin,-0.19830474471220844,22.305327178827543,-3.033966419128422,0.007491327064159723,0.18119188426823288,-2.4344189462955286,C18-Pos-001159,Organoheterocyclic compounds,Biotin and derivatives,Decreases with GW,
Dodecyl Sulfate,0.20270726151727214,22.147613430449507,2.9528414961268226,0.0073543159030565125,0.18119188426823288,-2.476405774054032,C8-Neg-000223,Organic acids and derivatives,Organic sulfuric acids and derivatives,Increases with GW,
Pc(15:1cooh_27:7),0.16719020580429883,20.433080982103256,2.9496635083082796,0.007408430718786942,0.18119188426823288,-2.482944312264318,C8-Pos-005208,Lipids and lipid-like molecules,Glycerophospholipids,Increases with GW,
1-Methyladenosine,-0.25845159001553575,18.06710546842314,-2.9119304150104637,0.008336125294119553,0.18119188426823288,-2.552507548518177,Amide-Pos-001132,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Decreases with GW,
Peg N7,0.16729030433100042,20.859868215411925,2.9056680545527245,0.008197893409919757,0.18119188426823288,-2.5731736646520025,C18-Pos-002054,Organic oxygen compounds,Organooxygen compounds,Increases with GW,
