Name,VIP_comp1,Compound.ID,Super.Class,Class
Pc(28:6_10:0cooh),2.6578414761239104,C8-Pos-005016,Lipids and lipid-like molecules,Glycerophospholipids
Uric Acid,2.040980429042389,C18-Pos-000742,Organoheterocyclic compounds,Imidazopyrimidines
1-Myristoyl-Sn-Glycero-3-Phosphocholine,1.9936002435382076,Amide-Pos-001743,Lipids and lipid-like molecules,Glycerophospholipids
Anserine,1.9784123043052984,Amide-Pos-000913,Organic acids and derivatives,Peptidomimetics
Pe(22:3_26:5),1.940045081239677,C8-Neg-003594,Lipids and lipid-like molecules,Glycerophospholipids
Pc(22:3cho_28:6),1.917967511127395,C8-Pos-005761,Lipids and lipid-like molecules,Glycerophospholipids
Glycerol Monopalmitate,1.9097554886411623,C8-Pos-000593,Lipids and lipid-like molecules,Glycerolipids
Ps 22:4_22:5,1.9019391608034952,C8-Pos-005189,Lipids and lipid-like molecules,Glycerophospholipids
Pe(19:1cooh_28:3),1.8623588467483645,C8-Neg-003656,Lipids and lipid-like molecules,Glycerophospholipids
Pc(12:1_28:3),1.83730477928682,C8-Neg-003585,Lipids and lipid-like molecules,Glycerophospholipids
Asp-Asp,1.8276290324852396,Amide-Pos-000987,Organic acids and derivatives,Carboxylic acids and derivatives
Dl-Dipalmitoylphosphatidylcholine,1.8240803901318268,C8-Pos-003901,Lipids and lipid-like molecules,Glycerophospholipids
L-Valine,1.7746756093056613,Amide-Neg-000214,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(17:4cooh_23:5),1.745747862890267,C8-Pos-005012,Lipids and lipid-like molecules,Glycerophospholipids
2-(5-Oxovaleryl)Phosphatidylcholine,1.735254130668499,C8-Pos-002923,Lipids and lipid-like molecules,Glycerophospholipids
Tg(5:0_15:0cho_28:3),1.7349498652126871,C8-Pos-004667,Lipids and lipid-like molecules,Glycerolipids
Bmp 22:5_22:6,1.7275133597487884,C8-Pos-004964,Lipids and lipid-like molecules,Glycerophospholipids
