Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Uridine 5'-Monophosphate,22.476894330582613,Amide-Pos-000380,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Ps(16:1_18:1),22.469760565540284,C8-Neg-000119,Lipids and lipid-like molecules,Glycerophospholipids
Minoxidil,22.459695281111262,C8-Pos-000488,Organic nitrogen compounds,Organonitrogen compounds
Pi 16:1_20:4,22.4593287643851,C8-Neg-000080,Lipids and lipid-like molecules,Glycerophospholipids
Eicosapentaenoic Acid Methyl Ester,22.456962666038407,C8-Pos-000544,Lipids and lipid-like molecules,Fatty Acyls
Arachidic Acid,22.4400231878604,C8-Neg-000062,Lipids and lipid-like molecules,Fatty Acyls
Cytidine Triphosphate,22.42894443406625,Amide-Pos-000539,Organic oxygen compounds,Organooxygen compounds
Pc 18:0_22:5,22.414721893223266,C8-Pos-000061,Lipids and lipid-like molecules,Glycerophospholipids
Delta-Tridecalactone,22.413490173875505,C8-Pos-000630,Organoheterocyclic compounds,Lactones
Tetraglyme,22.403523349854474,C18-Pos-000028,Organic oxygen compounds,Organooxygen compounds
Pc O-38:4,22.38756253050251,C8-Pos-000163,Lipids and lipid-like molecules,Glycerophospholipids
1-Palmitoyl-2-Azelaoylphosphatidylcholine,22.374361323509973,C8-Pos-000603,Lipids and lipid-like molecules,Glycerophospholipids
Guanosine,22.350816369583477,Amide-Pos-000102,Organic compounds,"Nucleosides, nucleotides, and analogues"
Thiamine,22.345287504580387,Amide-Pos-000406,Organoheterocyclic compounds,Diazines
Phosphatidylglyceride 22:6-22:5,22.328501253926447,C8-Neg-000103,Lipids and lipid-like molecules,Glycerophospholipids
L-Homoarginine,22.31618843116515,Amide-Pos-000228,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 16:1_16:2,22.31002564316354,C8-Pos-000021,Lipids and lipid-like molecules,Glycerophospholipids
Docosanamide,22.295378836956502,C8-Pos-000291,Lipids and lipid-like molecules,Fatty Acyls
Biotin,22.292207943241813,C18-Pos-000181,Organoheterocyclic compounds,Biotin and derivatives
Pe 18:0_24:5,22.266094418001522,C8-Pos-000417,Lipids and lipid-like molecules,Glycerophospholipids
1-Palmitoyl-2-Stearoyl-Sn-Glycero-3-Phosphocholine,22.21151561055277,C8-Pos-000083,Lipids and lipid-like molecules,Glycerophospholipids
L-Threonine,22.208194822869103,Amide-Pos-000151,Organic acids and derivatives,Carboxylic acids and derivatives
D-Carnitine,22.201609485404745,Amide-Pos-000107,Organic nitrogen compounds,Organonitrogen compounds
Gluconic Acid,22.19317098419653,Amide-Neg-000474,Organic oxygen compounds,Organooxygen compounds
Pc 22:4_22:4,22.18206037205279,C8-Pos-000208,Lipids and lipid-like molecules,Glycerophospholipids
6-[1-Hydroxy-1-(3-Methyl-5-Oxooxolan-2-Yl)Ethyl]-4-Methoxy-3-Methylpyran-2-One,22.15942652915478,C8-Pos-000407,Organic compounds,Organoheterocyclic compounds
Acaranoic Acid,22.159081065689925,C8-Pos-000554,Organoheterocyclic compounds,Lactones
Cytidine 2'_3'-Cyclic Phosphate,22.158503584433188,Amide-Neg-000563,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Ps 20:4_22:6,22.15841918101971,C8-Pos-000226,Lipids and lipid-like molecules,Glycerophospholipids
"2,5-Di-Tert-Butylhydroquinone",22.149076754179532,C8-Neg-000203,Benzenoids,Benzene and substituted derivatives
13-Oxooctadecanoic Acid,22.134056906035475,C8-Pos-000420,Lipids and lipid-like molecules,Fatty Acyls
2-[2-(Dimethylamino)Ethoxy]Ethanol,22.13128747531235,Amide-Pos-000193,Organic nitrogen compounds,Organonitrogen compounds
Oleamide,22.122224015271133,C18-Pos-000298,Lipids and lipid-like molecules,Fatty Acyls
Pipecolic Acid,22.11733132398722,Amide-Neg-000564,Organic acids and derivatives,Carboxylic acids and derivatives
