Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
"1-Hydroxy-2,5-Pyrrolidinedione",25.409562800923045,Amide-Neg-000243,Organoheterocyclic compounds,Pyrrolidines
N-Acetyl-D-Galactosamine-6-Phosphate,25.29744503727978,Amide-Neg-000561,Organic oxygen compounds,Organooxygen compounds
D-Mannitol 1-Phosphate,25.255088004801543,Amide-Pos-000548,Organic oxygen compounds,Organooxygen compounds
Asparagine,25.25447285755687,Amide-Pos-000280,Organic acids and derivatives,Carboxylic acids and derivatives
"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",25.246024445593914,C8-Pos-000186,Organoheterocyclic compounds,Benzoxazoles
"3-Furancarboxylic Acid, Tetrahydro-4-Methylene-2-Octyl-5-Oxo-, (2r,3s)-",25.237983033715416,C18-Neg-000216,Organic compounds,Organoheterocyclic compounds
Pe O-26:3_13:1,25.22462092419589,C8-Pos-000248,Lipids and lipid-like molecules,Glycerophospholipids
Pc 18:3_18:4,24.922681153537614,C8-Pos-000314,Lipids and lipid-like molecules,Glycerophospholipids
Pc 16:2_16:3,24.914582751596132,C8-Pos-000317,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 38:4,24.889011997387897,C8-Pos-000197,Lipids and lipid-like molecules,Glycerophospholipids
Pe 16:1_16:1,24.857730819212524,C8-Pos-000504,Lipids and lipid-like molecules,Glycerophospholipids
"N-Benzyl-N-Isopropyl-3,5-Dimethyl-4-Isoxazolesulfonamide",24.84062302143611,C18-Pos-000224,Benzenoids,Benzene and substituted derivatives
Phosphatidylethanolamine 18:0-18:1,24.835235457379635,C8-Neg-000159,Lipids and lipid-like molecules,Glycerophospholipids
Α-Cyano-3-Hydroxycinnamic Acid,24.818854422846364,Amide-Neg-000556,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
Levoglucosan,24.80216901411029,Amide-Neg-000058,Organic compounds,Organoheterocyclic compounds
"N,N-Diethylethanolamine",24.800331668653698,Amide-Pos-000022,Organic nitrogen compounds,Organonitrogen compounds
Nonaethylene Glycol,24.76156046556132,C18-Pos-000197,Organic oxygen compounds,Organooxygen compounds
Cholest-4-En-3-One,24.7608978020394,C8-Pos-000270,Lipids and lipid-like molecules,Steroids and steroid derivatives
L-Glutarylcarnitine,24.75916142682534,Amide-Pos-000385,Lipids and lipid-like molecules,Fatty Acyls
Dipropyleneglycol Dibenzoate,24.717061905640257,C8-Pos-000107,Benzenoids,Benzene and substituted derivatives
Udp-N-Acetylglucosamine,24.66635658933027,Amide-Pos-000314,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Nicotinamide Adenine Dinucleotide (Nad+),24.66462220792603,Amide-Pos-000291,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides
6-Gingerol,24.643716769150483,C18-Neg-000137,Benzenoids,Phenols
Azithromycin,24.640212088942203,C8-Pos-000273,Organic oxygen compounds,Organooxygen compounds
"7,9-Dihydroxy-3,6-Dimethyl-10-Methylenedecahydrocyclodeca[B]Furan-2(3h)-One",24.637896393118346,C8-Pos-000441,Lipids and lipid-like molecules,Prenol lipids
3-[4-Methyl-1-(2-Methylpropanoyl)-3-Oxocyclohexyl]Butanoic Acid,24.600125482326735,C18-Pos-000216,Lipids and lipid-like molecules,Prenol lipids
Hymexazol,24.576636977690246,Amide-Pos-000253,Organoheterocyclic compounds,Azoles
Succinic Acid,24.559869096425928,C18-Neg-000059,Organic acids and derivatives,Carboxylic acids and derivatives
Pe 38:7,24.52847189019659,C8-Neg-000113,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Diarachidonoyl-Sn-Glycero-3-Phosphocholine",24.520864781870028,C8-Pos-000097,Lipids and lipid-like molecules,Glycerophospholipids
Pe 42:10,24.49110328706135,C8-Neg-000165,Lipids and lipid-like molecules,Glycerophospholipids
Glutaric Anhydride,24.470950081819808,Amide-Neg-000066,Organoheterocyclic compounds,Lactones
