Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Pe O-28:2_7:0,0.02937472779923383,23.710560238755953,0.14567108099712411,0.8853909154672263,0.997319430907246,-4.741146372218989,C8-Pos-000134,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Sm 8:1;2o/24:1,0.044308243882860664,23.799816815038437,0.14286495746671535,0.8875829348248669,0.997319430907246,-4.741254775595703,C8-Pos-000503,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
Malonic Acid,-0.021222632919672718,23.983111990261683,-0.14108618977297466,0.8889729040640955,0.997319430907246,-4.741322402486144,Amide-Neg-000303,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Tris(2-Butoxyethyl) Phosphate,-0.009751343383798898,29.604721478473216,-0.13293842046680523,0.8953443265390981,0.997319430907246,-4.741621372577402,C8-Pos-000156,Organic acids and derivatives,Organic phosphoric acids and derivatives,Higher in Females,
D-Ribose 5-Phosphate,0.023019407424655986,24.194260042974516,0.12823730641936995,0.8990238178153399,0.997319430907246,-4.7417858049295045,Amide-Neg-000438,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Pc 15:1_15:1,-0.041372664785234214,23.411616191611582,-0.12584393054969317,0.9008979694503454,0.997319430907246,-4.741867250213057,C8-Pos-000041,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Lpe O-18:1,0.0202273696073559,17.95559838601245,0.12396956986133696,0.9023661130180104,0.997319430907246,-4.741929964772219,C8-Pos-000280,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Υ-L-Glutamyl-L-Glutamic Acid,-0.03626467987854463,17.841255290131368,-0.12071373019607198,0.9049171782992599,0.997319430907246,-4.742036670187716,Amide-Pos-000489,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,0.039552301876012406,21.590829846493236,0.11970221603958461,0.905709949141906,0.997319430907246,-4.742069244154672,C8-Pos-000096,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
"Cholan-24-Oic Acid, 12-Hydroxy-3-Oxo-, Methyl Ester (With Partial Stereo Definitions)",-0.025171499631728038,21.08330318513427,-0.1191654937230387,0.9061306440911092,0.997319430907246,-4.742086417240277,C8-Pos-000432,Lipids and lipid-like molecules,Steroids and steroid derivatives,Higher in Females,
1-[4-Hydroxy-3-(3-Methylbut-2-Enyl)Phenyl]Ethanone,0.0639635389706231,21.499555091994065,0.11535644595432872,0.9091170582868044,0.997319430907246,-4.742206079483466,C8-Pos-000507,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Phosphatidylethanolamine Lyso Alkenyl 16:0,-0.02791112595462137,27.76833781046305,-0.11277051776564029,0.9111452892314997,0.997319430907246,-4.742285106132474,C8-Neg-000060,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Pc 16:2_22:6,-0.009587270979157195,27.58920166366475,-0.11132094886568314,0.9122825053636121,0.997319430907246,-4.742328623137981,C8-Pos-000182,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Pi 20:4_20:4,-0.04118018733136457,19.27639461973915,-0.10726519353542328,0.9154653346358884,0.997319430907246,-4.742447393526847,C8-Neg-000074,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
