Name,VIP_comp1,Compound.ID,Super.Class,Class
Tryptophan,0.7835354896070326,Amide-Pos-000761,Organoheterocyclic compounds,Indoles and derivatives
Ser-Ser,0.7826065124645393,Amide-Pos-000616,Organic acids and derivatives,Carboxylic acids and derivatives
Lpi(O-14:1),0.7807563788228572,C8-Neg-001716,Lipids and lipid-like molecules,Glycerophospholipids
Bismepa(18:0_19:1),0.7781226509612811,C8-Pos-003992,Lipids and lipid-like molecules,"Derivatized lipids (biotinylation, diazomethane)"
Cyclohexylamine,0.7763689794309929,Amide-Pos-000085,Organic nitrogen compounds,Organonitrogen compounds
Pc(19:4cho_29:7),0.775342509415852,C8-Pos-005546,Lipids and lipid-like molecules,Glycerophospholipids
Pc(O-29:1_5:0),0.7684881582646664,C8-Pos-004203,Lipids and lipid-like molecules,Glycerophospholipids
Caprolactam,0.76749316324305,C18-Pos-000207,Organoheterocyclic compounds,Lactams
Methyl Palmitate,0.7672961394305706,C8-Pos-000327,Lipids and lipid-like molecules,Fatty Acyls
Diosgenin,0.7671820786584007,C8-Pos-001474,Lipids and lipid-like molecules,Prenol lipids
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,0.7670653790241175,Amide-Pos-002309,Lipids and lipid-like molecules,Glycerophospholipids
Propham,0.7662779691705929,C18-Pos-000820,Benzenoids,Benzene and substituted derivatives
Meglutol,0.7651460203598893,C18-Neg-000218,Lipids and lipid-like molecules,Fatty Acyls
Ala-Pro-Asn,0.7640411995788884,C8-Neg-000301,Organic acids and derivatives,Carboxylic acids and derivatives
Malonic Acid,0.7621517593057071,Amide-Neg-000116,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(9:0cho_26:1),0.7557671497454201,C8-Pos-004612,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoleic Acid,0.7542627840288991,C8-Pos-000148,Lipids and lipid-like molecules,Fatty Acyls
L-Glutathione Oxidized Hexhydrate,0.7532246963447811,C18-Pos-001845,Organic acids and derivatives,Carboxylic acids and derivatives
"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",0.752363324978629,C8-Pos-001637,Organoheterocyclic compounds,Benzoxazoles
4-Dodecylbenzenesulfonic Acid,0.7492660970880378,C8-Neg-000519,Benzenoids,Benzene and substituted derivatives
Pc(11:2cho_11:2),0.748544084515244,C8-Pos-002985,Lipids and lipid-like molecules,Glycerophospholipids
Glycerol Monooleate,0.7447904244650728,C8-Pos-000806,Lipids and lipid-like molecules,Glycerolipids
2-Aminocaprylate,0.7446575830111644,C18-Pos-000695,Organic acids and derivatives,Carboxylic acids and derivatives
Dl-Lactic Acid,0.7414828254538185,Amide-Neg-000051,Organic acids and derivatives,Hydroxy acids and derivatives
Yrquylsqfnxrba-Izzdovswsa-N,0.7338337863246074,C18-Neg-000934,Lipids and lipid-like molecules,Prenol lipids
"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",0.7334513512974421,C8-Pos-000610,Organic oxygen compounds,Organooxygen compounds
Dg(2:0_18:2),0.7333438589461231,C8-Pos-001468,Lipids and lipid-like molecules,Glycerolipids
Pc(22:3cho_28:6),0.7316330977732977,C8-Pos-005761,Lipids and lipid-like molecules,Glycerophospholipids
D-(+)-Arabitol,0.7314723887443945,Amide-Neg-000527,Organic oxygen compounds,Organooxygen compounds
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.7295425063973973,C18-Pos-004537,Lipids and lipid-like molecules,Glycerophospholipids
L(+)-Ornithine,0.7248839297428024,Amide-Pos-000376,Organic acids and derivatives,Carboxylic acids and derivatives
1-Methylhistidine,0.7229238689253962,Amide-Pos-000599,Organic acids and derivatives,Carboxylic acids and derivatives
(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,0.7222793360888029,C18-Pos-000888,Organic acids and derivatives,Carboxylic acids and derivatives
Citric Acid,0.7210555507963252,Amide-Neg-000876,Organic acids and derivatives,Carboxylic acids and derivatives
Stearoyl Ethanolamide,0.7193892744392213,C8-Pos-000709,Organic nitrogen compounds,Organonitrogen compounds
Pi(19:4_19:4),0.7176375906876604,C8-Pos-005132,Lipids and lipid-like molecules,Glycerophospholipids
Uridine Monophosphate,0.7169333356981902,C18-Pos-002017,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Pyrrole-2-Carboxylic Acid,0.7167947165991748,Amide-Neg-000142,Organoheterocyclic compounds,Pyrroles
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.716597390674816,Amide-Pos-001743,Lipids and lipid-like molecules,Glycerophospholipids
D-Glyceric Acid,0.7156092121924764,Amide-Neg-000135,Organic oxygen compounds,Organooxygen compounds
Tetraglyme,0.7139140851609638,C18-Pos-001141,Organic oxygen compounds,Organooxygen compounds
Lpc 22:6-Sn1,0.7137474447403189,C8-Pos-002720,Lipids and lipid-like molecules,Glycerophospholipids
Peg N7,0.7135107322884948,C18-Pos-002054,Organic oxygen compounds,Organooxygen compounds
Rjipnphmqgdubw-Lrankocbsa-N,0.7119902008907115,C8-Pos-000500,Lipids and lipid-like molecules,Prenol lipids
Oleoyl Ethanolamide,0.7102497253733128,C8-Pos-000689,Organic nitrogen compounds,Organonitrogen compounds
3-Ketocarbofuran,0.7093742736205972,Amide-Pos-001016,Organoheterocyclic compounds,Benzofurans
Dl-Pyroglutamic Acid,0.7074279483620145,Amide-Neg-000291,Organic acids and derivatives,Carboxylic acids and derivatives
Thiamine,0.7069076990093159,Amide-Pos-001056,Organoheterocyclic compounds,Diazines
1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine,0.7062237330295829,C18-Pos-003617,Lipids and lipid-like molecules,Glycerophospholipids
Pro-Asp,0.7042994453137424,Amide-Pos-000866,Organic acids and derivatives,Carboxylic acids and derivatives
3-Methylhistidine,0.7016386779288941,Amide-Pos-000601,Organic acids and derivatives,Carboxylic acids and derivatives
Lpc(20:1),0.6979184627775711,C8-Neg-002450,Lipids and lipid-like molecules,Glycerophospholipids
L-Kynurenine,0.6973280931352371,C18-Pos-001046,Organic oxygen compounds,Organooxygen compounds
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0.6970707279421825,C8-Pos-004336,Lipids and lipid-like molecules,Glycerophospholipids
D-Tyrosine,0.6960664456959099,Amide-Neg-000781,Organic acids and derivatives,Carboxylic acids and derivatives
Propionylcarnitine,0.6953665867532324,C18-Pos-001104,Lipids and lipid-like molecules,Fatty Acyls
"5,5-Dimethyl-2-{[(2-Phenylacetyl)Amino]Methyl}-1,3-Thiazolane-4-Carboxylic Acid",0.6932212064968926,C18-Neg-001236,Organic acids and derivatives,Carboxylic acids and derivatives
2'-Deoxyadenosine,0.6920012833275345,Amide-Pos-000996,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Pe(21:0_21:5),0.6915023228748215,C8-Pos-004916,Lipids and lipid-like molecules,Glycerophospholipids
Nicotinamide Adenine Dinucleotide (Nad+),0.6907619804531847,C18-Pos-002114,"Nucleosides, nucleotides, and analogues",(5'->5')-dinucleotides
Pc(12:1_28:3),0.6903195069440105,C8-Neg-003585,Lipids and lipid-like molecules,Glycerophospholipids
5'-Xanthylic Acid,0.6891028895732004,Amide-Neg-001943,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Tg(2:0_11:0_23:4),0.6865381300172191,C8-Pos-003290,Lipids and lipid-like molecules,Glycerolipids
Cytidine-5'-Monophospho-N-Acetylneuraminic Acid,0.6823686121211061,Amide-Neg-002218,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Citrulline,0.6792105405326895,Amide-Pos-000621,Organic acids and derivatives,Carboxylic acids and derivatives
Taurine,0.6792053242424424,Amide-Pos-000156,Organic acids and derivatives,Organic sulfonic acids and derivatives
Myristyl Sulfate,0.675147571177799,C8-Neg-000367,Organic acids and derivatives,Organic sulfuric acids and derivatives
3-(Ethenyloxy)Propan-1-Amine,0.6747509199241868,Amide-Pos-000094,Organic oxygen compounds,Organooxygen compounds
Dl-P-Hydroxyphenyllactic Acid,0.6731048455249408,Amide-Neg-000783,Benzenoids,Benzene and substituted derivatives
Prolinamide,0.6729351114645378,Amide-Pos-000230,Organic acids and derivatives,Carboxylic acids and derivatives
"2-(6-Hydroxy-1-Methyl-2-Methylidene-9-Propan-2-Yl-5-Oxatricyclo[5.4.0.03,8]Undecan-4-Yl)Acetic Acid",0.672713863732529,C18-Neg-000965,Lipids and lipid-like molecules,Prenol lipids
Cl(23:1_19:4cho_22:4_22:4cho),0.6709220490307406,C8-Neg-003382,Lipids and lipid-like molecules,Glycerophospholipids
Octanedioic Acid,0.6698955577038184,C18-Neg-000283,Lipids and lipid-like molecules,Fatty Acyls
D-Glucose,0.6687625094385553,Amide-Neg-001099,Organic oxygen compounds,Organooxygen compounds
Sqdg(14:0_30:6),0.6686386884920046,C8-Neg-003807,Lipids and lipid-like molecules,Glycerolipids
Dg(4:0_34:6),0.6683078891178297,C8-Pos-003357,Lipids and lipid-like molecules,Glycerolipids
Peg N13,0.6674369905675043,C8-Pos-000470,Organic oxygen compounds,Organooxygen compounds
Tg(5:0_10:0_6:1cho),0.6645423326719552,C8-Pos-001736,Lipids and lipid-like molecules,Glycerolipids
L-Glutathione Oxidized,0.6636781810270547,C18-Pos-001837,Organic acids and derivatives,Carboxylic acids and derivatives
Ps(18:0_24:6),0.6605882968565785,C8-Neg-003479,Lipids and lipid-like molecules,Glycerophospholipids
Pc(28:6_10:0cooh),0.6565228718949381,C8-Pos-005016,Lipids and lipid-like molecules,Glycerophospholipids
Gly-Met-Arg,0.6562102239520589,C8-Pos-001359,Organic acids and derivatives,Carboxylic acids and derivatives
Sarcosine,0.6558805458839896,Amide-Pos-000068,Organic acids and derivatives,Carboxylic acids and derivatives
Creatinine,0.6522242630053308,Amide-Pos-000193,Organic acids and derivatives,Carboxylic acids and derivatives
Oahfa(15:1_25:3),0.6498538329695093,C8-Neg-002832,Lipids and lipid-like molecules,Fatty acyls
Pi(29:7_11:0),0.6489025228182626,C8-Pos-005326,Lipids and lipid-like molecules,Glycerophospholipids
"4-Hydroxy-6-[2-(2-Methyl-1,2,4a,5,6,7,8,8a-Octahydronaphthalen-1-Yl)Ethyl]Oxan-2-One",0.6486951442709978,C8-Pos-000612,Organoheterocyclic compounds,Lactones
Ps(18:3_24:4),0.6477866390400228,C8-Pos-005046,Lipids and lipid-like molecules,Glycerophospholipids
"2,6-Dihydroxypyridine Hcl",0.6477769110125562,Amide-Neg-000141,Organoheterocyclic compounds,Pyridines and derivatives
Glutaric Anhydride,0.6449354190992967,Amide-Neg-000171,Organoheterocyclic compounds,Lactones
Peg N14,0.6444692042392551,C8-Pos-003314,Organic oxygen compounds,Organooxygen compounds
Hypotaurine,0.6432993181093746,Amide-Pos-000072,Organic acids and derivatives,Sulfinic acids and derivatives
Phloretic Acid,0.6395906539375519,C18-Pos-000567,Phenylpropanoids and polyketides,Phenylpropanoic acids
2-(5-Oxovaleryl)Phosphatidylcholine,0.6393344060579846,C8-Pos-002923,Lipids and lipid-like molecules,Glycerophospholipids
Pc(10:0cooh_30:8),0.6390282064344691,C8-Pos-005152,Lipids and lipid-like molecules,Glycerophospholipids
"5,5-Dimethyloxazolidine-2,4-Dione",0.625394599438605,Amide-Neg-000296,Organoheterocyclic compounds,Azolidines
Histamine,0.6228764625528913,Amide-Neg-000145,Organic nitrogen compounds,Organonitrogen compounds
Phosphocreatine,0.6210543861913782,Amide-Neg-001041,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-L-Aspartic Acid,0.6206773551700007,Amide-Neg-000557,Organic acids and derivatives,Carboxylic acids and derivatives
Pi(16:1_18:3),0.6203134489813693,C8-Neg-003377,Lipids and lipid-like molecules,Glycerophospholipids
Leucine,0.617589183216228,Amide-Pos-000363,Organic acids and derivatives,Carboxylic acids and derivatives
Glycine,0.6165196631527384,Amide-Neg-000011,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-Neuraminic Acid,0.6164811540375416,Amide-Pos-001317,Organic oxygen compounds,Organooxygen compounds
Lpe 22:3,0.6130883869888355,C8-Pos-002412,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 18:1,0.6114739732575404,C8-Pos-002045,Lipids and lipid-like molecules,Glycerophospholipids
Pc(32:2_4:0),0.6108326796632427,C8-Pos-004593,Lipids and lipid-like molecules,Glycerophospholipids
2-Methylsuccinic Acid,0.6027537470739819,Amide-Neg-000333,Lipids and lipid-like molecules,Fatty Acyls
Acetyl-D-Alanine,0.6017206109090366,Amide-Neg-000316,Organic acids and derivatives,Carboxylic acids and derivatives
Γ-Aminobutyric Acid,0.6006279132834714,Amide-Neg-000114,Organic acids and derivatives,Carboxylic acids and derivatives
Methyl L-Tryptophanate,0.5996392004480154,C18-Pos-001113,Organic acids and derivatives,Carboxylic acids and derivatives
D-Lysine,0.5987496043591961,Amide-Pos-000316,Organic acids and derivatives,Carboxylic acids and derivatives
Galaxolidone,0.5981050217444314,C8-Pos-000335,Organoheterocyclic compounds,Benzopyrans
Pc(15:1cooh_27:7),0.5909320265833417,C8-Pos-005208,Lipids and lipid-like molecules,Glycerophospholipids
L-Glutamine,0.5853074956687567,Amide-Neg-000486,Organic acids and derivatives,Carboxylic acids and derivatives
Maleic Acid,0.5836652078342328,Amide-Neg-000196,Organic acids and derivatives,Carboxylic acids and derivatives
Monolaurin,0.5787257205682044,C8-Pos-000245,Lipids and lipid-like molecules,Glycerolipids
N-Formyl-L-Methionine,0.5745965936210604,Amide-Neg-000753,Organic acids and derivatives,Carboxylic acids and derivatives
D-Sphingosine,0.5690238873270075,C8-Pos-000382,Organic nitrogen compounds,Organonitrogen compounds
Asparagine,0.5664630291259556,Amide-Pos-000372,Organic acids and derivatives,Carboxylic acids and derivatives
Acetylcholine,0.564495800642309,Amide-Pos-000467,Organic nitrogen compounds,Organonitrogen compounds
Tg(49:11_2:0),0.5623422969013707,C8-Pos-004921,Lipids and lipid-like molecules,Glycerolipids
Citroflex 2,0.5611180279727191,C8-Pos-000350,Organic acids and derivatives,Carboxylic acids and derivatives
4-Piperidinecarboxamide,0.5594022763998343,Amide-Pos-000314,Organoheterocyclic compounds,Piperidines
Cytarabine,0.552003892458644,Amide-Pos-000937,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Uridine 5'-Diphosphate,0.5508631101665776,Amide-Pos-001617,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Glutathionesulfonic Acid,0.5501772097799157,Amide-Pos-001446,Organic acids and derivatives,Carboxylic acids and derivatives
4-Quinolinol,0.542833502568436,Amide-Pos-000461,Organoheterocyclic compounds,Quinolines and derivatives
Bis(Methylbenzylidene)Sorbitol,0.5403291599293872,C8-Pos-001076,Phenylpropanoids and polyketides,Cinnamyl alcohols
Inosine-5'-Monophosphate (Imp),0.5387537216188253,C18-Pos-002294,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Docosatrienoic Acid,0.538553930154411,C8-Neg-000566,Lipids and lipid-like molecules,Fatty Acyls
D-(+)-Glucose,0.5379935677947059,Amide-Neg-000605,Organic oxygen compounds,Organooxygen compounds
"D-Myo-Inositol-1,2-Diphosphate",0.5359927292689877,Amide-Pos-001360,Organic oxygen compounds,Organooxygen compounds
L-2-Aminoadipic Acid,0.5358949483620532,Amide-Pos-000447,Organic acids and derivatives,Carboxylic acids and derivatives
2-Arachidonoyl Glycerol,0.5356757160011159,C8-Pos-001012,Lipids and lipid-like molecules,Endocannabinoids
Guanosine-5'-Monophosphate,0.5306247821031173,C18-Pos-002454,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"Dodecanamide,N-[3-(Dimethyloxidoamino)Propyl]",0.5303600996892711,Amide-Pos-001195,Lipids and lipid-like molecules,Fatty Acyls
(±)5-Hepe,0.5294667587784683,C8-Pos-000501,Lipids and lipid-like molecules,Fatty Acyls
Phosphoserine,0.5287648019328959,Amide-Pos-000781,Organic acids and derivatives,Carboxylic acids and derivatives
D-Mannose,0.5267521946585859,Amide-Neg-001092,Organic oxygen compounds,Organooxygen compounds
Glycerol Monomyristate,0.5237471565797589,C8-Pos-000407,Lipids and lipid-like molecules,Glycerolipids
Pe(O-16:2_22:3),0.520543668005424,C8-Pos-004273,Lipids and lipid-like molecules,Glycerophospholipids
Pe 21:2_21:2,0.5183720317407794,C8-Pos-004750,Lipids and lipid-like molecules,Glycerophospholipids
2-Oxoadipic Acid,0.516407342882737,Amide-Neg-000587,Organic acids and derivatives,Keto acids and derivatives
Creatine,0.5163310197966648,Amide-Pos-000200,Organic acids and derivatives,Carboxylic acids and derivatives
"N,N-Dimethyl-Beta-Alanine Hcl",0.5128106268004774,Amide-Pos-000235,Organic nitrogen compounds,Organonitrogen compounds
Glycerol Monopalmitate,0.5028748173413373,C8-Pos-000593,Lipids and lipid-like molecules,Glycerolipids
Cystathionine,0.5009095556203759,Amide-Pos-000836,Organic acids and derivatives,Carboxylic acids and derivatives
"(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate",0.4979980182100998,C8-Neg-002321,Lipids and lipid-like molecules,Glycerophospholipids
L-Valine,0.4927014361891126,Amide-Neg-000214,Organic acids and derivatives,Carboxylic acids and derivatives
Tg(11:0_9:2cho_26:8),0.4878130979093034,C8-Pos-004421,Lipids and lipid-like molecules,Glycerolipids
Pyruvic Acid,0.48700221633780366,Amide-Neg-000032,Organic acids and derivatives,Keto acids and derivatives
Ps(23:1_17:2),0.48235205968908895,C8-Neg-003419,Lipids and lipid-like molecules,Glycerophospholipids
Pe(15:0_27:7),0.4817590225568761,C8-Pos-004870,Lipids and lipid-like molecules,Glycerophospholipids
"D-Fructose 1,6-Bisphosphate",0.4802170728763083,Amide-Neg-001874,Organic oxygen compounds,Organooxygen compounds
D-Asparagine,0.4799931473113638,Amide-Neg-000331,Organic acids and derivatives,Carboxylic acids and derivatives
Dehydroascorbic Acid,0.47263947347259777,Amide-Neg-000678,Organoheterocyclic compounds,Lactones
Uracil,0.4716750114446773,Amide-Pos-000180,Organoheterocyclic compounds,Diazines
