Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
3-Hydroxy-1-Methyl-3-(2-Oxopropyl)Indol-2-One,-0.08884674376982651,26.24632732248825,-1.5535236155327736,0.13338397360122253,0.5541708062973184,-4.912231230482686,Amide-Pos-000918,Organoheterocyclic compounds,Indoles and derivatives
D-Pantothenic Acid,0.12058223995351829,22.97142323479664,1.5457061718710248,0.13525813448359691,0.5541708062973184,-4.923005285346303,C18-Pos-000992,Organic oxygen compounds,Organooxygen compounds
Ps(22:3_24:7),-0.04202874975337534,19.589027476526876,-1.540297724672106,0.13656737913720712,0.5541708062973184,-4.930433539456832,C8-Neg-003619,Lipids and lipid-like molecules,Glycerophospholipids
D-Phenylalanine,-0.11284167081539416,17.082142525113365,-1.5319967697324615,0.13859703478992516,0.5541708062973184,-4.941793506368425,Amide-Pos-000583,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(15:1cooh_27:7),-0.06679581761203368,21.44358400183127,-1.4094032553706874,0.1740720793986335,0.5888788429705658,-4.948786905062887,C8-Pos-005208,Lipids and lipid-like molecules,Glycerophospholipids
Pc(18:3cho_26:8),-0.06623292389741205,23.60943570944349,-1.5257453377094827,0.14014181967590314,0.5541708062973184,-4.950315799263427,C8-Neg-003730,Lipids and lipid-like molecules,Glycerophospholipids
Sarcosine,0.054976643175851554,28.298653956644646,1.5098970316892693,0.14468338470893585,0.5541708062973184,-4.952997026822849,Amide-Pos-000068,Organic acids and derivatives,Carboxylic acids and derivatives
Palmitoyl Sphingomyelin,0.03596503050997744,16.259095647091943,1.5228777182518287,0.1408551315913493,0.5541708062973184,-4.954215622643137,C8-Pos-003642,Lipids and lipid-like molecules,Sphingolipids
Meglutol,0.15178253090592,20.53046012574183,1.5148218465634893,0.14287489584611468,0.5541708062973184,-4.965139270577314,C18-Neg-000218,Lipids and lipid-like molecules,Fatty Acyls
Hypoxanthtine,0.052150222594009234,17.069776749851354,1.5114253674212703,0.14373351345510266,0.5541708062973184,-4.969730699933359,Amide-Pos-000411,Organoheterocyclic compounds,Imidazopyrimidines
Uracil,0.07165523544933664,28.070766608394795,1.5064535885852697,0.14499794311947117,0.5541708062973184,-4.97643648537691,Amide-Pos-000180,Organoheterocyclic compounds,Diazines
Pe(15:0_27:7),0.08753569686020662,17.437654073302543,1.5038341621210896,0.14566775479815228,0.5541708062973184,-4.979962229958907,C8-Pos-004870,Lipids and lipid-like molecules,Glycerophospholipids
Pc(O-24:5_10:0),-0.1590014124273933,18.133616820399016,-1.4926350789562206,0.1491208153140776,0.559203057427791,-4.987779396192751,C8-Pos-003944,Lipids and lipid-like molecules,Glycerophospholipids
Methyl Palmitate,0.31618672715505347,16.754567292385225,1.214041135058514,0.24234241492678044,0.6761790907054452,-5.002266057668329,C8-Pos-000327,Lipids and lipid-like molecules,Fatty Acyls
1-Linoleoyl Glycerol,0.047329663738587956,16.436550010241703,1.4285999553682,0.16716061495911702,0.581187904271958,-5.005842172432064,C8-Pos-000787,Lipids and lipid-like molecules,Fatty Acyls
Choline,-0.09975220066588389,20.24258237283656,-1.473242137119178,0.15367825997683623,0.5722062871477945,-5.020766300893598,Amide-Pos-000097,Organic nitrogen compounds,Organonitrogen compounds
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,-0.12087116495013872,22.001250056430926,-1.4614676617818778,0.15685482194259187,0.5799209966187375,-5.036287171127489,Amide-Pos-002276,Lipids and lipid-like molecules,Glycerophospholipids
5'-S-Methyl-5'-Thioadenosine,0.06472570159523643,18.45047300561391,1.4038321871806982,0.17498114191125383,0.5888788429705658,-5.036483666613329,C8-Pos-000483,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine,-0.04163396767243274,20.755242127638617,-1.4499058849551816,0.16002529763836434,0.581187904271958,-5.051427405546834,C18-Pos-003970,Lipids and lipid-like molecules,Glycerophospholipids
Pro-Asp,0.10046814507995709,16.042300102409403,1.4440193855832733,0.16221524519894587,0.581187904271958,-5.052491595336578,Amide-Pos-000866,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-D-Glucosamine 6-Phosphate,-0.031335290741237955,19.265921556898114,-1.4398886853659714,0.1628136910163244,0.581187904271958,-5.0644643372247975,Amide-Pos-001139,Organic oxygen compounds,Organooxygen compounds
Pc 38:4,-0.13833949747322236,18.924895549731495,-1.4346003715198965,0.16546105887541807,0.581187904271958,-5.069583864906716,C8-Pos-004446,Lipids and lipid-like molecules,Glycerophospholipids
Pg(20:3_20:4),-0.08813093998175447,14.986340540755295,-1.4345115992976243,0.1643264564238389,0.581187904271958,-5.07143137528539,C8-Neg-003343,Lipids and lipid-like molecules,Glycerophospholipids
Phosphocreatine,-0.0648137595648667,25.44427414172497,-1.4231016383201025,0.1675737622923759,0.581187904271958,-5.0861431860347865,Amide-Neg-001041,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(19:1_15:0),-0.06596718249065757,18.886191296787484,-1.4206861948150515,0.1682677360939764,0.581187904271958,-5.089245041058064,C8-Pos-004340,Lipids and lipid-like molecules,Glycerophospholipids
Succinic Acid,0.1314625138287556,22.65830815018987,1.41655143808814,0.16946100279080353,0.5814838331056984,-5.094544574216996,Amide-Neg-000221,Organic acids and derivatives,Carboxylic acids and derivatives
Pe(P-19:4_23:5),-0.10272640370431953,14.862259701668862,-1.3020426544172785,0.21253490736074926,0.6394323449415843,-5.098159414547313,C8-Pos-004505,Lipids and lipid-like molecules,Glycerophospholipids
Bmp 22:5_22:6,0.023345361711326756,24.44558998539255,1.4111818523224813,0.17102069334166886,0.5830250909375075,-5.101407500418715,C8-Pos-004964,Lipids and lipid-like molecules,Glycerophospholipids
Pi(22:0_12:1),-0.2114548323985929,18.692760594886767,-1.2177875677936927,0.2434244726539603,0.6761790907054452,-5.109414766154387,C8-Neg-003398,Lipids and lipid-like molecules,Glycerophospholipids
Ps(23:2_21:0),0.2644287771134944,17.893376796478552,1.2941173746695875,0.21292463996536537,0.6394323449415843,-5.111028581830833,C8-Neg-003596,Lipids and lipid-like molecules,Glycerophospholipids
2-Aminocaprylate,0.08134566289443641,26.161378818514855,1.380559817263782,0.18068164210816118,0.5928616381674039,-5.120518257980842,C18-Pos-000695,Organic acids and derivatives,Carboxylic acids and derivatives
Ps(18:3_24:4),-0.03268701185950301,16.506266062923135,-1.359396205686773,0.1877898212217155,0.612358112679507,-5.122964226820536,C8-Pos-005046,Lipids and lipid-like molecules,Glycerophospholipids
Dehydroascorbic Acid,0.12396824429240211,24.06493628046783,1.3811944522522845,0.17994213193449882,0.5928616381674039,-5.139331971607374,Amide-Neg-000678,Organoheterocyclic compounds,Lactones
Pc(15:1cho_22:2),0.11154113237811933,18.8450422580304,1.1648253987381434,0.262274330957036,0.708515572341268,-5.15126945725391,C8-Pos-004631,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Glutamine,0.10540579084040971,21.014850792745293,1.2141655382851637,0.23955667429831634,0.6761790907054452,-5.160855048346116,Amide-Pos-000475,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(17:3_20:1),0.09696653753635355,25.168665855894453,1.0072345186181135,0.3309079770931481,0.7710100219149247,-5.178610856301697,C8-Neg-003462,Lipids and lipid-like molecules,Glycerophospholipids
Uridine 5'-Diphosphoglucuronic Acid,-0.11999213522312488,21.86717273457482,-1.3149991843763391,0.20146803786584302,0.6294348050999213,-5.180461705027697,Amide-Neg-001626,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
I-Inositol,0.04988216674885372,17.577378766749927,1.3455948248131353,0.19100611817246774,0.6190013088922566,-5.183459514813816,Amide-Neg-000766,Organic oxygen compounds,Organooxygen compounds
Glucose 1-Phosphate,-0.03335866354812501,23.74938234637351,-1.3369620253020984,0.1937677798752637,0.6240986775123524,-5.194012699435607,C18-Pos-001412,Organic oxygen compounds,Organooxygen compounds
Myristic Acid,0.042067588330473714,16.862215407085294,1.3259336312664975,0.1978772154729329,0.6282104033252278,-5.199597644754782,C8-Neg-000086,Lipids and lipid-like molecules,Fatty Acyls
N-Beta-Alanyl-L-Histidine,0.05289622730814536,20.36572150806297,1.3275846674280163,0.1968028442483248,0.6282104033252278,-5.205410372615002,Amide-Neg-001170,Organic acids and derivatives,Peptidomimetics
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0.13611047931674278,16.717613789506146,1.321980902079359,0.1986341465752149,0.6282104033252278,-5.212188700121088,C8-Pos-004099,Lipids and lipid-like molecules,Glycerophospholipids
Gly-Met-Arg,0.05599751946757208,19.833893270387165,1.317283349570547,0.2001794840103679,0.6293067611104379,-5.217851951162409,C8-Pos-001359,Organic acids and derivatives,Carboxylic acids and derivatives
Pe(O-17:3_21:1),0.03924097302158332,20.45850624105968,1.3099274385260509,0.2026180610702604,0.6294348050999213,-5.226685316852376,C8-Pos-004072,Lipids and lipid-like molecules,Glycerophospholipids
O-Dodecanoylcarnitine,-0.14954519620564244,26.007402696546727,-1.157261579450498,0.26316292686961384,0.708515572341268,-5.228333256950643,Amide-Pos-001381,Lipids and lipid-like molecules,Fatty Acyls
L-Ergothioneine,-0.03385192914562814,24.815699559392545,-1.3061698594399351,0.20387259558199752,0.6296065451796983,-5.231181226144524,Amide-Pos-000860,Organic acids and derivatives,Carboxylic acids and derivatives
Xylose,0.08190244054434609,14.993318801974777,0.9727273616648099,0.34988058806393085,0.7717954148469064,-5.232219052330395,Amide-Neg-000340,Organic oxygen compounds,Organooxygen compounds
1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine,0.04695373253985468,21.383388762541163,1.2964870973755418,0.2071330534798225,0.6359348133152446,-5.242715364966489,C18-Pos-003617,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 34:1,-0.11998415648025912,15.76163907355415,-1.2510947104783594,0.22347395106613954,0.6411137940422036,-5.255127461436771,C8-Pos-003647,Lipids and lipid-like molecules,Glycerophospholipids
Citrulline,0.04752769474728722,21.190626169152733,1.2827018003797155,0.21184417226021676,0.6394323449415843,-5.259008789801585,Amide-Pos-000621,Organic acids and derivatives,Carboxylic acids and derivatives
Glutathionesulfonic Acid,0.04174582056743529,24.958270341413854,1.274605587057534,0.21464918840799005,0.6394323449415843,-5.268507886113615,Amide-Pos-001446,Organic acids and derivatives,Carboxylic acids and derivatives
Bismepa(18:0_19:1),-0.04376352821022813,21.551715347015925,-1.2736327253983966,0.21498815399832275,0.6394323449415843,-5.269645818638596,C8-Pos-003992,Lipids and lipid-like molecules,"Derivatized lipids (biotinylation, diazomethane)"
1-Myristoyl-Sn-Glycero-3-Phosphocholine,0.0776152036043583,16.59679639332836,1.2583733942519404,0.22206456099146127,0.6411137940422036,-5.271452589936178,Amide-Pos-001743,Lipids and lipid-like molecules,Glycerophospholipids
Lpe 18:1,-0.05935616504909417,18.306150296594375,-1.2719367518078508,0.2155800477231627,0.6394323449415843,-5.27162775822658,C8-Pos-002045,Lipids and lipid-like molecules,Glycerophospholipids
"2,3-Dihydroxypropyl 13-Methyltetradecanoate",-0.05789139439997746,20.25940264543238,-1.264737714266896,0.21810640615141905,0.6410944311300137,-5.280015175379421,C8-Pos-000764,Lipids and lipid-like molecules,Glycerolipids
N-Acetyl-L-Methionine,0.10218596967082304,21.084548384610773,1.1005287800341057,0.28416832807455017,0.7385562982135586,-5.2800979595629745,Amide-Neg-000866,Organic acids and derivatives,Carboxylic acids and derivatives
Cytidine 2'_3'-Cyclic Phosphate,0.05421416249251224,21.801883968335446,1.2602280523751157,0.21970047065861542,0.6410944311300137,-5.285248224326039,Amide-Neg-001726,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Tryptophan,0.06559757229629935,18.25724756459248,1.259936579439058,0.21980380495886187,0.6410944311300137,-5.2855858934578714,Amide-Pos-000761,Organoheterocyclic compounds,Indoles and derivatives
Ps(23:1_17:2),-0.054824138412360224,25.893779436061074,-0.9669189925845918,0.3489113747046144,0.7717954148469064,-5.289137813598986,C8-Neg-003419,Lipids and lipid-like molecules,Glycerophospholipids
Lpc(20:1),-0.04189982213148768,16.270344747073242,-1.24983653563265,0.22340746452831667,0.6411137940422036,-5.297244761659872,C8-Neg-002450,Lipids and lipid-like molecules,Glycerophospholipids
Gdp-L-Fucose,-0.10697285920573041,16.356582369794896,-0.8698354461589467,0.3990532287729234,0.8047083159972757,-5.310362364963854,Amide-Pos-001983,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Pi 36:4,0.14975717135546932,15.518151405119061,1.0976603218008636,0.28859242263845075,0.7388024699728116,-5.328703664238756,C8-Pos-005112,Lipids and lipid-like molecules,Glycerophospholipids
Pc(O-29:1_5:0),-0.08126988596908606,22.72092258751562,-1.2212851315907622,0.23383740160948746,0.6671991078531572,-5.329759736232618,C8-Pos-004203,Lipids and lipid-like molecules,Glycerophospholipids
Citraconic Acid,-0.023122918745136556,29.68323074666641,-1.2053181821428511,0.23982806207238297,0.6761790907054452,-5.347656217710661,Amide-Neg-000307,Lipids and lipid-like molecules,Fatty Acyls
Pi 38:6,-0.1482348902732722,18.28417383914946,-1.0977031034768028,0.28763452674943524,0.7388024699728116,-5.3476860267394635,C8-Neg-003536,Lipids and lipid-like molecules,Glycerophospholipids
Pc(32:2_4:0),0.06632016028643226,19.844525470376002,1.2009741393998963,0.24147765621723713,0.6761790907054452,-5.3524894033398525,C8-Pos-004593,Lipids and lipid-like molecules,Glycerophospholipids
Isobutyric Acid,-0.05800813520382316,16.22309550780783,-0.8447401561876131,0.4147733598768393,0.8047083159972757,-5.36159258291405,Amide-Neg-000078,Organic acids and derivatives,Carboxylic acids and derivatives
L-Aspartic Acid,-0.03150093780737831,21.398300323843852,-1.1808129759001194,0.24924483543236084,0.6887028347473129,-5.374719332817228,C18-Pos-000393,Organic acids and derivatives,Carboxylic acids and derivatives
Pa(29:1_20:6),-0.08600356430332246,17.149763070941507,-1.1745171716314478,0.25170798951238826,0.6918675104398108,-5.381593040244505,C8-Neg-003516,Lipids and lipid-like molecules,Glycerophospholipids
5-(Z-Heptadec-8-Enyl) Resorcinol,0.2613581668043733,17.112177553283434,0.9073910399675931,0.3795480909031693,0.7930539903482663,-5.393520412049066,C8-Pos-000887,Benzenoids,Phenols
Pe 18:0_24:5,-0.06177023750488947,20.73877215456379,-1.1608379634320285,0.2571219338594427,0.7030677878969137,-5.396415681225391,C8-Pos-004731,Lipids and lipid-like molecules,Glycerophospholipids
Tg(39:10_9:2cho),-0.08849522808652183,20.861827888952696,-0.7716338134305993,0.454124238870085,0.8137038409788213,-5.415822083605172,C8-Pos-004650,Lipids and lipid-like molecules,Glycerolipids
Pc(27:6_8:1cooh),0.04357963205491902,20.286967870830587,1.089639501815279,0.28821521112044873,0.7388024699728116,-5.422606611673695,C8-Neg-003407,Lipids and lipid-like molecules,Glycerophospholipids
Pc O-42:6,-0.08098448057115287,17.570092206184412,-1.1333162490424624,0.26927848765753726,0.7153749141245846,-5.423016786895416,C8-Pos-004947,Lipids and lipid-like molecules,Glycerophospholipids
Pe(19:4_19:4),-0.06384634890483454,21.169327297955217,-1.080260551197429,0.2917240880580393,0.7397469443114296,-5.425613920954435,C8-Pos-004114,Lipids and lipid-like molecules,Glycerophospholipids
Uric Acid,-0.05495691048272042,15.640626858390384,-0.4084704451508381,0.6883411165507167,0.9212461240589666,-5.426121137267386,C18-Pos-000742,Organoheterocyclic compounds,Imidazopyrimidines
Dl-Carnitine,-0.042527824480271564,20.80522069009124,-1.132435786674041,0.26863633089447003,0.7153749141245846,-5.426698744687634,Amide-Pos-000562,Organic nitrogen compounds,Organonitrogen compounds
L-Lysine,0.034710103823810026,21.55796557101122,0.9993777449400617,0.3301667371878021,0.7710100219149247,-5.428038454708508,Amide-Neg-000484,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(6:0cooh_30:1),-0.04623447214976196,17.768175621643103,-1.1296188932862805,0.26979853904127193,0.7153749141245846,-5.429665727495993,C8-Pos-004874,Lipids and lipid-like molecules,Glycerophospholipids
2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine,0.028873053339260997,24.61059199210195,1.1236028355490657,0.27229294608584614,0.7183607874124083,-5.435980222340536,Amide-Pos-001270,Organic oxygen compounds,Organooxygen compounds
Dl-P-Hydroxyphenyllactic Acid,-0.017124138183319256,19.282932540613796,-1.1167235948602003,0.2751657696702086,0.7205252524465197,-5.443163753078578,Amide-Neg-000783,Benzenoids,Benzene and substituted derivatives
Cytarabine,0.05360420667314143,23.89088597287179,1.1150732208213616,0.27585823950809607,0.7205252524465197,-5.444881253761778,Amide-Pos-000937,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Lpc(23:6),-0.056487212636697974,24.542058022911828,-1.0844780038422908,0.2898920167893318,0.7388024699728116,-5.4543473875512065,C8-Neg-002622,Lipids and lipid-like molecules,Glycerophospholipids
Dg(2:0_18:2),0.09386674420107823,16.745763175725383,0.9891797536934662,0.3350024517223852,0.7710100219149247,-5.459755549446832,C8-Pos-001468,Lipids and lipid-like molecules,Glycerolipids
Dl-Lactic Acid,-0.03302027441129846,20.036309412195305,-1.0715380611366987,0.29458280650345453,0.7397469443114296,-5.489362080635653,Amide-Neg-000051,Organic acids and derivatives,Hydroxy acids and derivatives
Lpi(O-14:1),0.05569171518180843,20.23872422434562,1.0687691540398727,0.29580368801572743,0.7397469443114296,-5.49213711229955,C8-Neg-001716,Lipids and lipid-like molecules,Glycerophospholipids
9-Methoxy-9-Oxononanoic Acid,-0.02426263220744882,22.418030019013734,-1.0685538365140526,0.29589877772457185,0.7397469443114296,-5.492352634158118,C8-Pos-000007,Lipids and lipid-like molecules,Fatty Acyls
L-Malic Acid,-0.08054776712664402,16.48631069597615,-0.6537045563118552,0.5256254928265245,0.8497031263431707,-5.498944718312759,Amide-Neg-000195,Organic acids and derivatives,Hydroxy acids and derivatives
Pe(18:0_22:6),0.04718170814730876,17.161060434601847,1.0597307632274968,0.2998139951970912,0.7433161054533821,-5.5011502945019135,Amide-Pos-002316,Lipids and lipid-like molecules,Glycerophospholipids
L-Saccharopine,-0.1562805128877501,17.247103736209564,-1.0589591802370775,0.30015812258308,0.7433161054533821,-5.501916515815276,Amide-Pos-001107,Organic acids and derivatives,Carboxylic acids and derivatives
Tg(5:0_10:0_6:1cho),0.019654558311519042,25.934231050445256,1.051749868940312,0.303387020864427,0.747784910581334,-5.509051293415476,C8-Pos-001736,Lipids and lipid-like molecules,Glycerolipids
Mesaconic Acid,-0.08892099595403564,22.516181260624183,-0.8125031026071384,0.4311251690930078,0.8076202275475332,-5.515769618836524,Amide-Neg-000314,Lipids and lipid-like molecules,Fatty Acyls
Pe(16:1_20:4),-0.06378834019355105,18.88333322879051,-1.0391996639681786,0.30906639134336455,0.7582236236227401,-5.521366225217961,C8-Pos-003942,Lipids and lipid-like molecules,Glycerophospholipids
L-Isoleucine,-0.06990017238699489,23.541961252943338,-0.7001162551599559,0.49532090788804295,0.8324440478420547,-5.522212925337723,C18-Pos-000375,Organic acids and derivatives,Carboxylic acids and derivatives
Crotonic Acid,-0.13880524147933973,16.777797043403623,-0.8353776283504687,0.41660862746527216,0.8047083159972757,-5.533172799759283,Amide-Pos-000010,Lipids and lipid-like molecules,Fatty Acyls
3-Hydroxybutyrylcarnitine,0.020327766960213916,26.660416999124518,0.4979966336768129,0.6274833627740102,0.89620480836246,-5.53414387308331,C18-Pos-001343,Lipids and lipid-like molecules,Fatty Acyls
N-Acetylglutamic Acid,-0.025032176750756682,25.514469076573562,-1.019999231333206,0.3178990689018128,0.7700539753260529,-5.53994638577168,C18-Pos-000763,Organic acids and derivatives,Carboxylic acids and derivatives
2'-Guanylic Acid,-0.048742654401233564,25.491394485969067,-1.0198021118043221,0.31799065252213937,0.7700539753260529,-5.54013549979935,C18-Neg-001640,Organic oxygen compounds,Organooxygen compounds
"D-Fructose-1,6-Bisphosphate",0.057400889372270995,24.66371752204624,1.0175030276204566,0.31906018671553005,0.7700539753260529,-5.542338750019304,Amide-Neg-001873,Organic oxygen compounds,Organooxygen compounds
Stearoyl Ethanolamide,-0.049301618317354634,19.6664916409109,-1.0122971346660659,0.321491214164874,0.7700539753260529,-5.547310866505432,C8-Pos-000709,Organic nitrogen compounds,Organonitrogen compounds
L-Valine,0.06817517534598365,18.44418668202673,1.0085423414132748,0.324156054375348,0.7700539753260529,-5.5480002814394,Amide-Neg-000214,Organic acids and derivatives,Carboxylic acids and derivatives
4-Piperidinecarboxamide,-0.07878176590423991,18.656947824296065,-1.0027888154919689,0.3263944059206312,0.7710100219149247,-5.548734875293797,Amide-Pos-000314,Organoheterocyclic compounds,Piperidines
Inosine,-0.048923039501517086,20.38973336867576,-1.007437636417301,0.32377206341702347,0.7700539753260529,-5.551931117685957,Amide-Pos-001079,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Tg(29:3cooh_2:0),-0.06329032711951392,20.99775517683387,-1.0073353858940575,0.323820175772668,0.7700539753260529,-5.552028115837887,C8-Pos-003050,Lipids and lipid-like molecules,Glycerolipids
Arachidonic Acid,0.2195312813260929,20.43145907744653,0.8895324246319736,0.38428912720694,0.7930539903482663,-5.556003886247441,C8-Neg-000422,Lipids and lipid-like molecules,Fatty Acyls
2'-Deoxyadenosine,-0.06917248651732477,21.892960672898315,-0.9579339347548577,0.3489927892875154,0.7717954148469064,-5.5605453935085185,Amide-Pos-000996,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Dgdg(6:0_28:2),-0.06868678789993114,19.392302506841254,-0.9961675640035392,0.32910483874369745,0.7710100219149247,-5.562568043493398,C8-Neg-003637,Lipids and lipid-like molecules,Glycerolipids
Pc(18:1_22:6),-0.019017058674981796,18.639715475178985,-0.7710918045734071,0.4512343227562302,0.8137038409788213,-5.566964971544296,C8-Pos-004991,Lipids and lipid-like molecules,Glycerophospholipids
"2-Methyl-5-{2-[2-(4-Methyl-3,6-Dioxocyclohexa-1,4-Dienyl)Ethoxy]Ethyl}Benzo-1,4-Quinone",-0.01778693734572562,24.22517002742292,-0.9852498355942921,0.33432832209488594,0.7710100219149247,-5.5727678459178955,C8-Pos-000610,Organic oxygen compounds,Organooxygen compounds
Linoleic Acid,-0.06083326137484934,19.631793218598848,-0.8543436849706859,0.4025534848745802,0.8047083159972757,-5.572918890978083,C8-Neg-000295,Lipids and lipid-like molecules,Fatty Acyls
Rjipnphmqgdubw-Lrankocbsa-N,-0.01951628816278675,21.716805182829,-0.9787409192093373,0.33746935924357657,0.7710100219149247,-5.578799661596072,C8-Pos-000500,Lipids and lipid-like molecules,Prenol lipids
Tg(20:1_24:5_20:6),-0.06969343844230223,13.690683802301042,-0.8278267718735218,0.41804283509814355,0.8047083159972757,-5.578897267035496,C8-Pos-005843,Lipids and lipid-like molecules,Glycerolipids
1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine,0.06087131874588337,22.460570071204145,0.9782734351740984,0.33769572902220235,0.7710100219149247,-5.579231465660961,Amide-Pos-002228,Lipids and lipid-like molecules,Glycerophospholipids
Pc(26:6_21:6cho),0.05553214481158781,22.72168300806923,0.977810877701596,0.33791981530465665,0.7710100219149247,-5.5796585325920685,C8-Pos-005464,Lipids and lipid-like molecules,Glycerophospholipids
Pseudouridine,0.10320221262270475,14.227722516017376,0.9449236552287119,0.35495844526112486,0.7797204341510066,-5.579867578285093,Amide-Neg-001331,"Nucleosides, nucleotides, and analogues",Nucleoside and nucleotide analogues
Pet(20:0_23:6),0.03121410133167728,19.199705742292696,0.973964328521541,0.3397872124575555,0.7710100219149247,-5.583202756632103,C8-Pos-004891,Lipids and lipid-like molecules,Glycerophospholipids
Hexanoylcarnitine,0.0625518745016964,22.478795425635894,0.9720626931743992,0.3407130001605001,0.7710100219149247,-5.584950184811264,Amide-Pos-001033,Lipids and lipid-like molecules,Fatty Acyls
N-Acetyl-L-Aspartic Acid,-0.0361753667324273,22.4089838676188,-0.6111908238760696,0.5491568421744297,0.8595764932882678,-5.587138563634614,Amide-Neg-000557,Organic acids and derivatives,Carboxylic acids and derivatives
Spongouridin,0.026477584522824043,22.73705791418148,0.9624652384115515,0.34541159940645816,0.7717954148469064,-5.59372139089979,Amide-Neg-001329,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Xanthine,0.07394714784489013,21.816487822189508,0.9623899128110747,0.345448649311876,0.7717954148469064,-5.593789914661368,Amide-Neg-000523,Organoheterocyclic compounds,Imidazopyrimidines
Ethyl Acetoacetate,0.08466423462379478,20.46485542405414,0.956122431731182,0.34854083094519495,0.7717954148469064,-5.599474126869307,Amide-Neg-000104,Organic acids and derivatives,Keto acids and derivatives
Pyruvic Acid,-0.031023984735545483,19.111985002816148,-0.40789659497741654,0.6905299419271491,0.9212461240589666,-5.600630157695826,Amide-Neg-000032,Organic acids and derivatives,Keto acids and derivatives
N-Formyl-L-Methionine,0.07638661117045241,20.862612980513582,0.774226944128135,0.44942752482430703,0.8136187949405558,-5.602827836751269,Amide-Neg-000753,Organic acids and derivatives,Carboxylic acids and derivatives
L-Pipecolinic Acid,0.05066950307765622,20.674258901858412,0.8418617260640447,0.40981677273618045,0.8047083159972757,-5.605126373038045,Amide-Pos-000331,Organic acids and derivatives,Carboxylic acids and derivatives
Guanosine-5'-Triphosphate,-0.03130769922378124,21.36522412059556,-0.9301758034727711,0.3623727866444407,0.7926904707847141,-5.612414862732586,Amide-Pos-001865,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Pe 20:2_20:2,-0.04050532810972806,16.64140722105302,-0.5373442240000589,0.6001035530321666,0.8723351047169697,-5.61843850576223,C8-Pos-004303,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Alanine,0.07113399066713354,15.84686601857736,0.9252411259547351,0.36404898433912225,0.7930527667138555,-5.626980145404503,Amide-Neg-000047,Organic acids and derivatives,Carboxylic acids and derivatives
Glu-Glu-Glu,-0.08746229889576422,18.810575731236774,-0.9149953450301324,0.3692942072730887,0.7930539903482663,-5.635921191264374,Amide-Pos-001625,Organic acids and derivatives,Carboxylic acids and derivatives
Ps(18:0_24:6),0.027709234291092386,25.329120919366712,0.912122659752198,0.37077377745716256,0.7930539903482663,-5.638411464461712,C8-Neg-003479,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Xylose,-0.06190732886532973,22.42401056256808,-0.9076463265212098,0.3730870922656938,0.7930539903482663,-5.642277402121799,Amide-Neg-000332,Organic oxygen compounds,Organooxygen compounds
"N6,N6,N6-Trimethyl-L-Lysine",-0.053543143760461015,24.69071967628978,-0.9056089173620419,0.3741431419324339,0.7930539903482663,-5.6440311326226995,Amide-Pos-000686,Organic acids and derivatives,Carboxylic acids and derivatives
Pi(16:1_18:3),0.03635337440528447,18.50846130694177,0.8860000871008852,0.38519765245487225,0.7930539903482663,-5.644529019730768,C8-Neg-003377,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dieicosenoyl-Sn-Glycero-3-Phosphocholine",-0.07046113391018138,16.797404136621164,-0.9018316321951539,0.3761062177467639,0.7930539903482663,-5.647272787434388,C8-Pos-004898,Lipids and lipid-like molecules,Glycerophospholipids
Pc(15:2cho_22:2),-0.05260623649405293,20.678954137346683,-0.8904474510105732,0.3824436538860626,0.7930539903482663,-5.648417186119838,C8-Pos-004614,Lipids and lipid-like molecules,Glycerophospholipids
Ps 40:5,-0.125240466811934,17.184922621082478,-0.9004709343686326,0.3768150335494229,0.7930539903482663,-5.648437444868803,C8-Neg-003404,Lipids and lipid-like molecules,Glycerophospholipids
Lithocholic Acid,0.025060479972617726,21.095594468981183,0.8990220200321714,0.3775707658085591,0.7930539903482663,-5.649675809337075,C8-Neg-000679,Lipids and lipid-like molecules,Steroids and steroid derivatives
