Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Pc(30:8_11:3cooh),0.11241112686153017,16.187917992376494,2.4934663748073778,0.019940192651798076,0.3489533714064663,-3.3393585441385767,C8-Neg-003628,Lipids and lipid-like molecules,Glycerophospholipids
Sqdg(2:0_28:0),0.08668848709277223,19.26297918330438,2.4767411798894834,0.024061353795374076,0.3724323273351007,-3.3820802235753766,C8-Neg-003216,Lipids and lipid-like molecules,Glycerolipids
Pi(29:7_11:0),-0.1885651326154144,23.51644232377141,-2.44331749555342,0.02508383581922149,0.3724323273351007,-3.4085943090991657,C8-Pos-005326,Lipids and lipid-like molecules,Glycerophospholipids
Pa(18:1_20:0),0.22919052189896094,16.52553434533489,2.402113181549246,0.029696733990262607,0.3724323273351007,-3.41121304635379,C8-Pos-004019,Lipids and lipid-like molecules,Glycerophospholipids
1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,0.09252621888084939,29.300223310658545,2.431343375977191,0.02287830683773636,0.3724323273351007,-3.4578384430525593,C18-Neg-001407,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Pi(18:0_22:6),0.5758909965735756,27.429297554537893,2.3967185343060504,0.025926369315596002,0.3724323273351007,-3.4956973959076376,C8-Pos-005434,Lipids and lipid-like molecules,Glycerophospholipids
Pc(11:1_29:4),-0.1606650878695876,20.77472030519866,-2.4078663073630935,0.02408918926907893,0.3724323273351007,-3.5021652062923936,C8-Pos-005020,Lipids and lipid-like molecules,Glycerophospholipids
L-N-Acetylhistidine,0.20356928816973474,20.16674609345465,2.398287270170154,0.024600004833730107,0.3724323273351007,-3.520179135513182,Amide-Neg-000933,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(20:4cooh_23:6),-0.10373081192872957,19.414064248563797,-2.3598083308047375,0.026754003090407773,0.3724323273351007,-3.5921131248065388,C8-Neg-003538,Lipids and lipid-like molecules,Glycerophospholipids
Pe 16:0_18:1,-0.12336524378056463,19.92711281894775,-2.3545027326537546,0.027064227739042265,0.3724323273351007,-3.601977241053881,C8-Pos-003759,Lipids and lipid-like molecules,Glycerophospholipids
Nicotinamide,0.09165835794952616,26.74314289764745,2.34426181019829,0.027672376570761766,0.3724323273351007,-3.620979369214498,C18-Pos-000286,Organoheterocyclic compounds,Pyridines and derivatives
Pe(17:5cho_22:6),0.040303247408782494,19.512881161218967,2.3147222346822405,0.029497381616526545,0.3724323273351007,-3.6755094464803837,C8-Pos-004333,Lipids and lipid-like molecules,Glycerophospholipids
L-Pyroglutamic Acid,0.10695531829982792,20.502607834756574,2.297393745919409,0.03061853023738542,0.3724323273351007,-3.707301381614561,Amide-Pos-000317,Organic acids and derivatives,Carboxylic acids and derivatives
O-Phosphocolamine,0.057023529555678444,19.750215685546483,2.292365040933973,0.030951093473364496,0.3724323273351007,-3.716499867939169,Amide-Neg-000449,Organic acids and derivatives,Organic phosphoric acids and derivatives
Pe(7:0_16:0cho),0.05713928508699461,19.33769179800047,2.279172798666353,0.03183925544728704,0.3724323273351007,-3.7405718512495665,C8-Pos-002819,Lipids and lipid-like molecules,Glycerophospholipids
Lpc(16:2),-0.1916566390971125,26.972544125299127,-2.2779496229043623,0.0319227709144372,0.3724323273351007,-3.742799428426275,C8-Neg-001880,Lipids and lipid-like molecules,Glycerophospholipids
Meso-Erythritol,-0.04646442107440438,24.247547378814406,-2.235625946403161,0.03537025888220834,0.39010439496263977,-3.819177819765636,Amide-Neg-000252,Organic oxygen compounds,Organooxygen compounds
"5,5-Dimethyloxazolidine-2,4-Dione",0.18275098113564203,18.782513832313835,2.2257935852086397,0.035674859538913715,0.39010439496263977,-3.8370850560295673,Amide-Neg-000296,Organoheterocyclic compounds,Azolidines
Cholest-4-En-3-One,-0.0705202690142965,21.759034118432886,-2.2237853512339885,0.035827024213105185,0.39010439496263977,-3.8406878869744188,C8-Pos-001061,Lipids and lipid-like molecules,Steroids and steroid derivatives
Pc(19:1cooh_23:3),0.32808851411057677,15.593595430269243,2.132709912875765,0.051128427221276904,0.4316632043236906,-3.84318486210605,C8-Neg-003578,Lipids and lipid-like molecules,Glycerophospholipids
Creatine,0.0663278074498695,19.176597814729476,2.2071384286466014,0.0371111900862469,0.39010439496263977,-3.870473110177674,Amide-Pos-000200,Organic acids and derivatives,Carboxylic acids and derivatives
Pi(20:4_20:4),0.46127285777353016,18.847622350326215,2.206607809936435,0.037152799520251405,0.39010439496263977,-3.8714201582563335,C8-Pos-005440,Lipids and lipid-like molecules,Glycerophospholipids
N2-Methylguanosine,0.67405170605802,24.57907822303517,2.146406330133132,0.04984223190004199,0.4316632043236906,-3.887977860392406,C18-Pos-001733,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Pe(O-14:0_32:0),-0.26789966405399546,19.700029480800854,-2.066938103845609,0.06100731080270904,0.44792711641574967,-3.8920396838047684,C8-Pos-005110,Lipids and lipid-like molecules,Glycerophospholipids
Pc(P-12:1_26:4),-0.1296227562501242,18.17773955062562,-2.162802243451713,0.04073690589230478,0.41935050183254924,-3.9490970154909704,C8-Pos-004445,Lipids and lipid-like molecules,Glycerophospholipids
Pc(21:2cho_19:4),-0.41126338748817165,17.094115746203638,-2.1408149981515354,0.044788413539386326,0.4316632043236906,-3.953557216841828,C8-Pos-004942,Lipids and lipid-like molecules,Glycerophospholipids
Hypotaurine,0.09959962476910836,31.244817260300426,2.1532905676312244,0.04155517512247706,0.41954744114039344,-3.965829437430702,Amide-Pos-000072,Organic acids and derivatives,Sulfinic acids and derivatives
2-Aminoisobutyric Acid,0.12520687225285157,16.342981711275062,2.1344449984504066,0.04368534013441529,0.4316632043236906,-4.002212496047201,Amide-Pos-000144,Organic acids and derivatives,Carboxylic acids and derivatives
"All-Cis-4,7,10,13,16-Docosapentaenoic Acid",-0.12189164677033254,19.1197338021375,-2.1107222835606754,0.04540126596099608,0.4316632043236906,-4.040117189744327,C8-Neg-000540,Lipids and lipid-like molecules,Fatty Acyls
L-Glutamine,0.07557251237313843,18.28718261719877,2.085475982637608,0.047830199004613536,0.4316632043236906,-4.083708506588237,Amide-Neg-000486,Organic acids and derivatives,Carboxylic acids and derivatives
Putrescine,-0.19203180919562238,24.682350109492706,-2.08357627455122,0.04801758393230669,0.4316632043236906,-4.0869743680397885,Amide-Pos-000025,Organic nitrogen compounds,Organonitrogen compounds
Pe(21:4cooh_24:6),-0.20574038441174514,16.592413916996303,-2.0748225544980836,0.04888953791325164,0.4316632043236906,-4.101997277747147,C8-Pos-005313,Lipids and lipid-like molecules,Glycerophospholipids
Adenosine Triphosphate (Atp),-0.19371577406839915,18.091461725447964,-2.04092343194605,0.05343283880978167,0.4316632043236906,-4.126491700252411,Amide-Neg-001422,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Ps(22:0_22:4),-0.08443584832415334,24.017392615838457,-2.045056172381415,0.05196116425455532,0.4316632043236906,-4.152760165260636,C8-Neg-003577,Lipids and lipid-like molecules,Glycerophospholipids
Palmitic Acid,0.09043922507561955,19.14618005705981,1.9939706331429765,0.05929870031861625,0.44474025238962184,-4.158749627281923,C8-Pos-000342,Lipids and lipid-like molecules,Fatty Acyls
Cl(12:0cooh_22:0_24:1_21:2),0.16593392864854176,17.02622195658041,2.037810945213527,0.052734311370726046,0.4316632043236906,-4.165040205605139,C8-Neg-003274,Lipids and lipid-like molecules,Glycerophospholipids
Pc(16:1cooh_23:3),0.09356783981253677,15.177072328192617,1.981633584695784,0.061430004537017094,0.44792711641574967,-4.195335984526494,C8-Pos-004801,Lipids and lipid-like molecules,Glycerophospholipids
Cyclic Adp-Ribose,0.1750814858304635,21.219348801191362,2.017552965213397,0.05495056118813468,0.4316632043236906,-4.199216618939604,C18-Pos-004919,Organic oxygen compounds,Organooxygen compounds
Levulinic Acid,0.042422741564268965,27.882618067044536,2.0173373183051613,0.05497459092750799,0.4316632043236906,-4.1995791607855715,Amide-Neg-000094,Organic acids and derivatives,Keto acids and derivatives
2-Furoic Acid,0.10804983236654145,18.280519718653387,2.016876761746701,0.055025942367596815,0.4316632043236906,-4.200353350766673,Amide-Neg-000149,Organoheterocyclic compounds,Furans
Vitamin D3,0.05765666447473706,18.827034040639184,2.016316688800593,0.05508844702797575,0.4316632043236906,-4.201294661859722,C8-Pos-001060,Lipids and lipid-like molecules,Steroids and steroid derivatives
N-Acetylputrescine,0.07543019877214258,20.928021088792192,2.006087847498983,0.05674394363244405,0.4380966236328401,-4.22064516666115,Amide-Pos-000336,Organic acids and derivatives,Carboximidic acids and derivatives
Pc(18:1_16:2),-0.055169906509274926,19.88825807069088,-1.9672411445303017,0.06673655887664587,0.45613910438446925,-4.226523923033746,C8-Pos-004302,Lipids and lipid-like molecules,Glycerophospholipids
Tg(15:0_15:0_24:6),0.08964599074986421,20.433080982103256,1.9861143063521458,0.05855356330225209,0.44474025238962184,-4.251786386176493,C8-Pos-005260,Lipids and lipid-like molecules,Glycerolipids
Palmitoyl Ethanolamide,-0.12787745093146902,18.430373008910543,-1.9007846709109595,0.07346080392972466,0.45613910438446925,-4.267936799028654,C8-Pos-000497,Organic acids and derivatives,Carboximidic acids and derivatives
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.10004030448767773,24.17326218969132,1.8239152236802127,0.09314091772859813,0.48639444000892995,-4.307715715777905,Amide-Pos-002307,Lipids and lipid-like molecules,Glycerophospholipids
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",-0.1327890158316102,18.11662878155701,-1.9376559363448371,0.06451577824569989,0.45613910438446925,-4.3316780296231165,C8-Pos-000495,Lipids and lipid-like molecules,Steroids and steroid derivatives
Pc(20:2cho_22:5),0.16571857956495184,15.880915081134116,1.8911215885911599,0.07317872832390562,0.45613910438446925,-4.343695416231052,C8-Neg-003470,Lipids and lipid-like molecules,Glycerophospholipids
Glycolic Acid,0.1065128950354241,18.58864610802909,1.9031736865386009,0.06907674211756688,0.45613910438446925,-4.387670731378566,Amide-Neg-000015,Organic acids and derivatives,Hydroxy acids and derivatives
L-(-)-Methionine,-0.08525056941942366,21.06685969004434,-1.902158584799177,0.06921517549782388,0.45613910438446925,-4.389308113541635,C18-Pos-000574,Organic acids and derivatives,Carboxylic acids and derivatives
5-Methylcytidine,0.13795045143464865,26.01832005652673,1.8937105544448483,0.07090681348709357,0.45613910438446925,-4.3982841603305385,Amide-Pos-001025,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Pro-Glu,0.1123808401528793,17.728169866198748,1.8914944283331894,0.07068418697674608,0.45613910438446925,-4.4064714882660665,Amide-Pos-000960,Organic acids and derivatives,Carboxylic acids and derivatives
2-Oxobutanoic Acid,0.1654268886290912,21.696379868668057,1.8791324839536006,0.07242102490084333,0.45613910438446925,-4.42627981631938,Amide-Neg-000108,Organic acids and derivatives,Keto acids and derivatives
Tg(O-25:8_2:0_19:4),-0.22095819265204722,20.999748106066686,-1.8715182227503249,0.07350920770213298,0.45613910438446925,-4.438433612381596,C8-Pos-004104,Lipids and lipid-like molecules,Glycerolipids
Acetylcholine,0.11286125197791382,22.565054766485417,1.8711303662628702,0.07356501629927552,0.45613910438446925,-4.439051741812232,Amide-Pos-000467,Organic nitrogen compounds,Organonitrogen compounds
Cer(D15:2_7:0),-0.05216965396565188,22.940995450134178,-1.8676540745717045,0.07406686589411013,0.45613910438446925,-4.444587756502849,C8-Pos-001073,Lipids and lipid-like molecules,Sphingolipids
Ps 22:6_22:6,0.20910072807089686,19.183475774438502,1.8596481840064252,0.0752339506788617,0.45613910438446925,-4.457308562720188,C8-Neg-003529,Lipids and lipid-like molecules,Glycerophospholipids
2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,0.10876103207419036,25.25662601456853,1.8573313186133331,0.07557466373757424,0.45613910438446925,-4.460982438275787,Amide-Neg-002264,Lipids and lipid-like molecules,Glycerophospholipids
Ps(18:2_22:4),-0.17786031592513202,18.741832806743627,-1.8482091732575596,0.07692918869030983,0.45613910438446925,-4.4754148451093725,C8-Neg-003393,Lipids and lipid-like molecules,Glycerophospholipids
Pe 21:2_21:2,-0.06333780675052939,19.62623668017055,-1.8456505187334171,0.07731287507921063,0.45613910438446925,-4.479453588077279,C8-Pos-004750,Lipids and lipid-like molecules,Glycerophospholipids
