pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Pyrimidine metabolism (WikiPathways),0.0015402844882260154,0.3065166131569771,0.45505986738722953,-0.7112924934613319,-1.8430268275348003,11,Cytidine 5'-Diphosphate;Beta-Alanine;Uridine 5'-Triphosphate Sodium Salt;Uracil;Uridine 5'-Diphosphate;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Biomarkers for pyrimidine metabolism disorders (WikiPathways),0.00657354149548069,0.6540673788003286,0.229089382980959,-0.6334509531982574,-1.7515630198805892,14,Cytidine 5'-Diphosphate;L-Glutathione (Reduced);Beta-Alanine;Uridine 5'-Triphosphate Sodium Salt;Uracil;Uridine 5'-Diphosphate;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Pyrimidine metabolism and related diseases (WikiPathways),0.014691478942213516,0.9745347698334965,0.15181288128745332,-0.5749194143731741,-1.6584183646320303,16,Cytidine 5'-Diphosphate;Beta-Alanine;Uridine 5'-Triphosphate Sodium Salt;Uracil;Uridine 5'-Diphosphate;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Lysine degradation (KEGG),0.024402029475718772,0.9982838931110566,0.14318464218377616,0.7030677830243988,1.6838655974916772,7,L-Saccharopine;L-Pipecolinic Acid;L-Lysine;L-Glutamic Acid;2-Oxoadipic Acid;D-Lysine,"Sex (limma t-statistic, positive = higher in males)",KEGG
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.04373036965450592,0.9982838931110566,0.10640946434982042,0.6660175098870957,1.5951292312124539,7,L-Lysine;Γ-Aminobutyric Acid;D-(+)-Tryptophan;L-Glutamic Acid;D-Glucose;L-Ornithine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Lysine catabolism (Reactome),0.045663203672384634,0.9982838931110566,0.10408454673923595,0.6640043548485173,1.5903076726177805,7,L-Saccharopine;L-Pipecolinic Acid;L-Lysine;L-Glutamic Acid;2-Oxoadipic Acid;Guanosine 5'-Diphosphate (Gdp),"Sex (limma t-statistic, positive = higher in males)",Reactome
Cannabinoid receptor signaling (WikiPathways),0.062215841110313475,0.9982838931110566,0.08838864914529622,0.6746187551413096,1.5348808293757843,6,2-Arachidonoyl Glycerol;Γ-Aminobutyric Acid;Arachidonic Acid;L-Glutamic Acid;Adenosine 3'5'-Cyclic Monophosphate,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Interconversion of nucleotide di- and triphosphates (Reactome),0.06378431694887392,0.9982838931110566,0.07185502986680807,-0.553075783582392,-1.4677482958946382,12,Cytidine 5'-Diphosphate;L-Glutathione (Reduced);Uridine 5'-Triphosphate Sodium Salt;Uridine 5'-Diphosphate;Uridine Monophosphate,"Sex (limma t-statistic, positive = higher in males)",Reactome
Vitamin B6-dependent and responsive disorders (WikiPathways),0.07328098976921246,0.9982838931110566,0.08099720461931634,0.7126641804028476,1.5103683963005712,5,L-Saccharopine;L-Pipecolinic Acid;L-Lysine;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Acetylcholine synthesis (WikiPathways),0.07603844833504977,0.9982838931110566,0.0670487152800428,-0.6660297644628583,-1.4148880696384076,6,Glycerophosphocholine;Cytidine 5'-Diphosphocholine;Dl-Dipalmitoylphosphatidylcholine;Choline,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Organic cation/anion/zwitterion transport (Reactome),0.0779331514324693,0.9982838931110566,0.06596421754427408,-0.632301444328883,-1.4123111010073663,7,Histamine;Choline;Dl-Carnitine;L-Ergothioneine;Creatinine,"Sex (limma t-statistic, positive = higher in males)",Reactome
