Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
D-(+)-Tryptophan,11.64531025639359,19.113347712214267,3.652909891990436,0.0014057685895552704,0.3079704592630273,-1.1242211787841159,C18-Pos-001015,Organoheterocyclic compounds,Indoles and derivatives,Higher in Males,
Pc(9:0cho_26:1),4.005360649870399,19.62623668017055,3.472625084444125,0.0021681114332419886,0.3079704592630273,-1.451763059162679,C8-Pos-004612,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pe(21:4cooh_24:6),-9.040943499082767,23.51644232377141,-3.55207269544532,0.0026688623828785515,0.3079704592630273,-1.756321723965792,C8-Pos-005313,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
5'-Cytidylic Acid,5.953399798013117,20.859868215411925,3.278200187109955,0.0034441678724315083,0.3079704592630273,-1.8024845278505532,C18-Pos-002009,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Higher in Males,
Glycerophosphocholine,5.189642467271849,23.89088597287179,3.212489652597416,0.00402224643578687,0.3079704592630273,-1.920171860723101,Amide-Pos-001017,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
S-Adenosyl-L-Homocysteine,-18.00574255845932,15.640626858390384,-4.345367502069463,6.787612717196324e-4,0.3079704592630273,-1.98564588808078,C18-Pos-000925,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,Higher in Females,
Tg(39:10_9:2cho),4.8017441269249685,15.177072328192617,3.267510820380442,0.004292412376770982,0.3079704592630273,-2.0195016499328617,C8-Pos-004650,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
(2r)-3-Hydroxyisovaleroylcarnitine,3.6751166803293374,26.054315701558952,3.130953845367059,0.004871237492736811,0.3079704592630273,-2.065457196407466,C18-Pos-001425,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
Cl(18:0_20:1cho_23:1_21:2),57.0613058982131,15.263164794344641,3.394178914004445,0.004825864704582071,0.3079704592630273,-2.3034270876687493,C8-Neg-003309,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,3.6287767032732563,17.708060207325516,2.968376102575668,0.007109487254261423,0.3997418892354782,-2.3522098746861806,Amide-Pos-002283,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Dihydroxyacetone Phosphate,13.847505639596376,15.933017970004407,2.8836414785095434,0.009202782127156655,0.43636525252934466,-2.5563351962864482,Amide-Neg-000658,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Hyflavin,3.1403728583750543,26.6293042310774,2.816699992649222,0.01006413837657889,0.44049959509795295,-2.6154408996546663,Amide-Pos-001528,Organoheterocyclic compounds,Pteridines and derivatives,Higher in Males,
Pe(16:1_20:4),7.668642885030111,21.571051086718445,3.254547345838643,0.007727874835835255,0.3997418892354782,-2.619194076505524,C8-Pos-003942,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pe(22:3_26:5),3.8514135996994714,17.97499355341092,2.7049083261639457,0.012955035246453873,0.5217746778691682,-2.8062659385021957,C8-Neg-003594,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pe(O-20:1_22:6),2.7804806445929007,29.011150134498223,2.677581793994304,0.013772795785070365,0.5217746778691682,-2.852451142803429,C8-Pos-004759,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
