Name,VIP_predictive,Compound.ID,Super.Class,Class
L-Aspartic acid,2.09918105459077,Amide-Neg-000085,Organic acids and derivatives,Carboxylic acids and derivatives
ERYTHRITOL,2.095939707371225,Amide-Neg-000519,Organic oxygen compounds,Organooxygen compounds
2-Amino-4-methylpyrimidine,2.0957463923518524,Amide-Pos-000241,Organoheterocyclic compounds,Diazines
L-Phenylalanine,2.0910571800528315,Amide-Pos-000118,Organic acids and derivatives,Carboxylic acids and derivatives
PC 19:1_19:1,2.0864173405197652,C8-Pos-000144,Lipids and lipid-like molecules,Glycerophospholipids
LysoPE(18:0/0:0),2.0819402436974364,C18-Pos-000222,Lipids and lipid-like molecules,Glycerophospholipids
Uridine 5'-triphosphate,2.069437922200065,Amide-Neg-000576,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
3-(Ethenyloxy)propan-1-amine,2.055374477748865,Amide-Pos-000229,Organic oxygen compounds,Organooxygen compounds
2-Oxoglutaric acid,2.0545817581437715,Amide-Neg-000099,Organic acids and derivatives,Keto acids and derivatives
CMPF,2.0062466339073244,C18-Neg-000214,Lipids and lipid-like molecules,Fatty Acyls
Ethyl hydrogen malonate,2.002437379119591,Amide-Neg-000104,Organic acids and derivatives,Carboxylic acids and derivatives
O-Acetylserine,1.9934307479961253,Amide-Neg-000304,Organic acids and derivatives,Carboxylic acids and derivatives
5-(Hydroxymethyl)-3-(1-hydroxy-8-methylnonyl)oxolan-2-one,1.982894947650674,C8-Pos-000654,Lipids and lipid-like molecules,Fatty Acyls
2-Docosahexaenoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine,1.9821145147796608,C8-Neg-000031,Lipids and lipid-like molecules,Glycerophospholipids
Glutathionesulfonic acid,1.9777994331060027,Amide-Pos-000524,Organic acids and derivatives,Carboxylic acids and derivatives
PS 18:2_22:5,1.9749380875310272,C8-Pos-000102,Lipids and lipid-like molecules,Glycerophospholipids
Riboflavin,1.9590308607725728,Amide-Pos-000486,Organoheterocyclic compounds,Pteridines and derivatives
S-Adenosylhomocysteine,1.9531289799354985,Amide-Pos-000512,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
LPC 14:0-SN2,1.950223710906996,C8-Pos-000098,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine",1.9470312152702702,C8-Pos-000010,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoyl ethanolamide,1.9469789430718585,C8-Pos-000241,Organic acids and derivatives,Carboximidic acids and derivatives
Putrescine,1.935296869021033,Amide-Pos-000358,Organic nitrogen compounds,Organonitrogen compounds
PS 20:4_22:6,1.9242931828333965,C8-Pos-000226,Lipids and lipid-like molecules,Glycerophospholipids
Monoerucin,1.8598252569506888,C8-Pos-000231,Lipids and lipid-like molecules,Glycerolipids
Heptanoylcarnitine,1.8551111515002474,C8-Pos-000668,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylethanolamine 16:0-22:4,1.8487884433208828,C8-Neg-000104,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-L-glutamine,1.8445692618602483,Amide-Neg-000605,Organic acids and derivatives,Carboxylic acids and derivatives
gamma-Glu-Glu,1.8441736652817462,Amide-Pos-000399,Organic acids and derivatives,Carboxylic acids and derivatives
UDP-glucose Disodium Salt,1.8361053956694025,Amide-Pos-000411,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,1.8345418589132476,C8-Pos-000053,Lipids and lipid-like molecules,Glycerophospholipids
LPE 16:1,1.8299926804870104,C8-Neg-000155,Lipids and lipid-like molecules,Glycerophospholipids
D-α-Tocopherol,1.8244382751241381,C8-Pos-000662,Lipids and lipid-like molecules,Prenol lipids
"(Z,E)-Tetradeca-9,12-dienol",1.8234205958673637,C8-Pos-000233,Lipids and lipid-like molecules,Fatty Acyls
D-Mannitol 1-phosphate,1.8130142004995282,Amide-Pos-000548,Organic oxygen compounds,Organooxygen compounds
Spectral Match to Prostaglandin F2.alpha. dimethylamine from NIST14,1.8017873726465512,C8-Pos-000572,Organic oxygen compounds,Organooxygen compounds
1-(1Z-Octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,1.792459723134251,C8-Pos-000211,Lipids and lipid-like molecules,Glycerophospholipids
LPE 18:2,1.76467397737048,C8-Pos-000472,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylethanolamine 18:0-22:4,1.7531312784657194,C8-Neg-000091,Lipids and lipid-like molecules,Glycerophospholipids
"N,N-Bis(2-hydroxyethyl)dodecanamide",1.7460754392321276,C18-Pos-000273,Lipids and lipid-like molecules,Fatty Acyls
1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,1.7378848301142698,C8-Pos-000096,Lipids and lipid-like molecules,Glycerophospholipids
Cer 18:2;2O/16:0,1.7333274311364868,C8-Pos-000364,Lipids and lipid-like molecules,Sphingolipids
DL-α-Aminocaprylic acid,1.7227884442901362,C18-Pos-000279,Organic acids and derivatives,Carboxylic acids and derivatives
Uridine 5'-diphosphogalactose,1.7196039338732023,Amide-Neg-000485,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
"8-Hydroxy-16-methyloxacyclohexadeca-3,11,13-trien-2-one",1.7094034381684255,C8-Pos-000477,Phenylpropanoids and polyketides,Macrolides and analogues
PE 16:1_22:5,1.7055595998465312,C8-Pos-000089,Lipids and lipid-like molecules,Glycerophospholipids
7-Methylguanine,1.7054311923528687,Amide-Pos-000208,Organoheterocyclic compounds,Imidazopyrimidines
3-Phosphoglycerate,1.6960359857764402,Amide-Pos-000520,Organic oxygen compounds,Organooxygen compounds
Bis(7-methyloctyl) adipate,1.690759780134867,C8-Pos-000410,Lipids and lipid-like molecules,Fatty Acyls
"δ-Ribono-1,4-lactone",1.6903590758878706,Amide-Neg-000061,Organic oxygen compounds,Organooxygen compounds
Hypoxanthine,1.680252197737245,Amide-Pos-000019,Organoheterocyclic compounds,Imidazopyrimidines
4-Piperidinecarboxamide,1.6799108546040697,Amide-Pos-000352,Organoheterocyclic compounds,Piperidines
2'-Deoxyadenosine,1.6749846987035157,Amide-Pos-000194,"Nucleosides, nucleotides, and analogues",Purine nucleosides
PC 8:0_8:0,1.6743761022152492,C8-Pos-000482,Lipids and lipid-like molecules,Glycerophospholipids
Hexadecanedioic acid,1.6698001285276871,C18-Neg-000210,Lipids and lipid-like molecules,Fatty Acyls
PC 14:0_15:0,1.664236398696612,C8-Pos-000221,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylglyceride 18:1-22:6,1.660233819590515,C8-Neg-000111,Lipids and lipid-like molecules,Glycerophospholipids
Dibenzoylmethane,1.6562294321593642,C8-Pos-000588,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
2-Ethylhexyldiphenyl phosphate,1.6461803034198665,C8-Pos-000650,Organic acids and derivatives,Organic phosphoric acids and derivatives
1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,1.6359710377877543,C8-Pos-000046,Lipids and lipid-like molecules,Glycerophospholipids
PS 20:4_22:4,1.6242460734230968,C8-Neg-000055,Lipids and lipid-like molecules,Glycerophospholipids
N-Lauryldiethanolamine,1.6111726630964929,C18-Pos-000114,Organic nitrogen compounds,Organonitrogen compounds
Glycerol 3-phosphate,1.6095872499435087,Amide-Neg-000546,Lipids and lipid-like molecules,Glycerophospholipids
Isocytosine,1.6074963331957624,Amide-Pos-000504,Organoheterocyclic compounds,Diazines
"7,9-Di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione",1.6012663088942924,C8-Pos-000323,Organic compounds,Organoheterocyclic compounds
LPC 22:6-SN2,1.6008351661455522,C8-Pos-000242,Lipids and lipid-like molecules,Glycerophospholipids
1-Hydroxy-2-(3-pyridinyl)ethylidene bisphosphonic acid,1.5981090546675283,Amide-Pos-000218,Organic compounds,Organic acids and derivatives
2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine,1.5891011380172897,Amide-Pos-000310,Lipids and lipid-like molecules,Glycerophospholipids
PC O-32:0,1.5864695284576167,C8-Pos-000306,Lipids and lipid-like molecules,Glycerophospholipids
Linoleoylcarnitine,1.5833270940937054,C8-Pos-000159,Lipids and lipid-like molecules,Fatty Acyls
"Spectral Match to L-Methionine, N-acetyl- from NIST14",1.5755520961966765,C18-Pos-000263,Organic acids and derivatives,Carboxylic acids and derivatives
PG 40:6,1.5746455475225138,C8-Neg-000153,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine 5'-diphosphate,1.5690137055341205,Amide-Pos-000541,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
"1,3,5-Tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",1.5683741329515155,C8-Pos-000101,Benzenoids,Benzene and substituted derivatives
Ethyl oleate,1.5585913511267724,C8-Pos-000358,Lipids and lipid-like molecules,Fatty Acyls
PS 16:4_26:4,1.5486153283665418,C8-Pos-000203,Lipids and lipid-like molecules,Glycerophospholipids
PE 16:0_22:5,1.5434777186472974,C8-Pos-000060,Lipids and lipid-like molecules,Glycerophospholipids
Miltefosine,1.537701050006053,C8-Pos-000366,Organic nitrogen compounds,Organonitrogen compounds
Phosphatidylethanolamine 18:1-22:6,1.537083044408296,C8-Neg-000044,Lipids and lipid-like molecules,Glycerophospholipids
Cyclo(leucylprolyl),1.5368889515789537,C8-Pos-000591,Organic acids and derivatives,Carboxylic acids and derivatives
(R)-Ketamine,1.535808729273215,C8-Pos-000202,Benzenoids,Benzene and substituted derivatives
Cer 18:1;2O/18:0,1.5308324178848234,C8-Pos-000404,Lipids and lipid-like molecules,Sphingolipids
Betaine,1.5296924566319121,Amide-Pos-000052,Organic acids and derivatives,Carboxylic acids and derivatives
PC O-32:6,1.5289697338342803,C8-Pos-000556,Lipids and lipid-like molecules,Glycerophospholipids
Ethyldiethanolamine,1.5272353104436696,Amide-Pos-000349,Organic nitrogen compounds,Organonitrogen compounds
PC 18:0_22:5,1.5259421214200684,C8-Pos-000061,Lipids and lipid-like molecules,Glycerophospholipids
L-Tyrosine methyl ester,1.5195089785039606,C18-Pos-000300,Organic acids and derivatives,Carboxylic acids and derivatives
Isethionate,1.5161409401668742,Amide-Neg-000081,Organic acids and derivatives,Organic sulfonic acids and derivatives
Adenosine 5'-monophosphate,1.5080655890089756,Amide-Pos-000075,"Nucleosides, nucleotides, and analogues",Purine nucleotides
PE(16:0_16:1),1.5011498626794357,C8-Neg-000189,Lipids and lipid-like molecules,Glycerophospholipids
PC O-34:0,1.4982931178583458,C8-Pos-000513,Lipids and lipid-like molecules,Glycerophospholipids
Bis(4-ethylbenzylidene)sorbitol,1.4943177473137255,C18-Pos-000262,Organoheterocyclic compounds,Dioxanes
Phosphatidylethanolamine lyso 22:6,1.4920763264745667,C8-Neg-000024,Lipids and lipid-like molecules,Glycerophospholipids
5-Methyl D-glutamate,1.4867511821433566,Amide-Pos-000168,Organic acids and derivatives,Carboxylic acids and derivatives
Acaranoic acid,1.4859256965558176,C8-Pos-000554,Organoheterocyclic compounds,Lactones
"1,2-Didocosahexaenoyl-sn-glycero-3-phosphocholine",1.4782371539837096,C8-Pos-000322,Lipids and lipid-like molecules,Glycerophospholipids
D-(-)-Mannitol,1.471778055253298,Amide-Neg-000399,Organic oxygen compounds,Organooxygen compounds
"N,N'-Diphenylurea",1.4643074904458753,C8-Pos-000439,Benzenoids,Benzene and substituted derivatives
1-Methyladenine,1.457994870154357,Amide-Pos-000562,Organoheterocyclic compounds,Imidazopyrimidines
PS 22:5_22:5,1.4533496892456568,C8-Pos-000071,Lipids and lipid-like molecules,Glycerophospholipids
"Bis(p,p'-tert-octylphenyl)amine",1.4530877188094455,C8-Pos-000605,Organic compounds,Benzenoids
LPE O-16:1,1.4505996787524649,C8-Pos-000141,Lipids and lipid-like molecules,Glycerophospholipids
Bis(methylbenzylidene)sorbitol,1.446418574404281,C8-Pos-000051,Phenylpropanoids and polyketides,Cinnamyl alcohols
Prolinamide,1.4374369532801807,Amide-Pos-000220,Organic acids and derivatives,Carboxylic acids and derivatives
PC O-30:0,1.4358122366192723,C8-Pos-000486,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetylalanine,1.4340705946644263,Amide-Neg-000251,Organic acids and derivatives,Carboxylic acids and derivatives
Cytidine 5'-diphosphocholine,1.4316909146402272,Amide-Pos-000238,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Monocaprin,1.4282056361680333,C8-Pos-000613,Lipids and lipid-like molecules,Glycerolipids
"N,N-Dimethylguanosine",1.419503663629851,Amide-Pos-000429,Organic compounds,"Nucleosides, nucleotides, and analogues"
Methyltestosterone,1.4156611716943959,C8-Pos-000522,Lipids and lipid-like molecules,Steroids and steroid derivatives
Phosphatidylinositol lyso 16:0,1.4071959530761,C8-Neg-000161,Lipids and lipid-like molecules,Glycerophospholipids
"5-[(1S,2R,4aR)-5-(Hydroxymethyl)-1,2,4a-trimethyl-1,2,3,4,4a,7,8,8a-octahydro-1-naphthalenyl]-3-methylpentanoic acid",1.4049721576212062,C8-Neg-000099,Lipids and lipid-like molecules,Prenol lipids
Phosphatidylethanolamine 18:1-22:4,1.4048820522064347,C8-Neg-000109,Lipids and lipid-like molecules,Glycerophospholipids
Dibutyl sebacate,1.3969713526967282,C8-Pos-000259,Lipids and lipid-like molecules,Fatty Acyls
"Spectral Match to 1-Heptadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",1.39649656279582,C8-Pos-000308,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine",1.394920900009848,C8-Pos-000110,Lipids and lipid-like molecules,Glycerophospholipids
PE 34:4,1.3941548018536143,C8-Neg-000185,Lipids and lipid-like molecules,Glycerophospholipids
PC O-40:6,1.3926381025048404,C8-Pos-000396,Lipids and lipid-like molecules,Glycerophospholipids
"1-Hydroxy-2,5-pyrrolidinedione",1.3874300647866755,Amide-Neg-000243,Organoheterocyclic compounds,Pyrrolidines
1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,1.3805763150018917,C8-Pos-000029,Lipids and lipid-like molecules,Glycerophospholipids
Hypotaurine,1.3711281257645636,Amide-Pos-000158,Organic acids and derivatives,Sulfinic acids and derivatives
Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,1.3670119071419427,Amide-Pos-000483,Lipids and lipid-like molecules,Glycerophospholipids
1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine,1.3628600127078219,C8-Pos-000019,Lipids and lipid-like molecules,Glycerophospholipids
"L-Threonic acid-1,4-lactone",1.3624770402775237,Amide-Neg-000017,Organoheterocyclic compounds,Lactones
Myristic acid,1.359666374924619,C8-Neg-000087,Lipids and lipid-like molecules,Fatty Acyls
OXOADIPATE,1.3491139296042334,Amide-Neg-000286,Organic compounds,Organic acids and derivatives
Phosphatidylethanolamine 18:1-20:4,1.3384665267778149,C8-Neg-000026,Lipids and lipid-like molecules,Glycerophospholipids
1-Deoxy-1-(methylamino)-D-galactitol,1.33779843786055,Amide-Pos-000223,Organic oxygen compounds,Organooxygen compounds
Glyoxylic acid,1.3367584890912427,Amide-Neg-000574,Organic acids and derivatives,Carboxylic acids and derivatives
"1,3-Diphenylacetone",1.3337372640943859,C8-Pos-000608,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
PC 13:0_24:5,1.3307409604886304,C8-Pos-000345,Lipids and lipid-like molecules,Glycerophospholipids
Glycolic acid,1.3295938597928731,Amide-Neg-000185,Organic acids and derivatives,Hydroxy acids and derivatives
Crotonic acid,1.3290133182806254,Amide-Pos-000166,Lipids and lipid-like molecules,Fatty Acyls
Oxacyclohexadecen-2-one,1.3264161800193164,C8-Pos-000571,Phenylpropanoids and polyketides,Macrolides and analogues
LPE 20:4,1.326278353953222,C8-Pos-000081,Lipids and lipid-like molecules,Glycerophospholipids
Cytosine,1.325393199124639,Amide-Pos-000137,Organoheterocyclic compounds,Diazines
Oleamide,1.3245249892168522,C18-Pos-000298,Lipids and lipid-like molecules,Fatty Acyls
PC 17:2_17:2,1.3206743359375028,C8-Pos-000024,Lipids and lipid-like molecules,Glycerophospholipids
LPS 18:0,1.3140141174890254,C8-Neg-000066,Lipids and lipid-like molecules,Glycerophospholipids
PE O-16:1_22:3,1.3134383679841468,C8-Neg-000183,Lipids and lipid-like molecules,Glycerophospholipids
PC 19:2_20:5,1.3001240355966648,C8-Pos-000346,Lipids and lipid-like molecules,Glycerophospholipids
Cer 18:1;2O/14:0,1.2992844821042875,C8-Pos-000555,Lipids and lipid-like molecules,Sphingolipids
Solanidine,1.293887078784354,C8-Pos-000378,Lipids and lipid-like molecules,Steroids and steroid derivatives
7-Oxocholesterol,1.291063979746667,C8-Pos-000100,Lipids and lipid-like molecules,Steroids and steroid derivatives
Phosphatidylethanolamine 18:0-18:1,1.28711253640677,C8-Neg-000159,Lipids and lipid-like molecules,Glycerophospholipids
Docosahexaenoic acid,1.2862966504106192,C8-Neg-000002,Lipids and lipid-like molecules,Fatty Acyls
PS 20:1_22:6,1.2829635207037393,C8-Neg-000078,Lipids and lipid-like molecules,Glycerophospholipids
LPE 24:4,1.2773690346923403,C8-Pos-000520,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylglyceride 22:6-22:5,1.276977260575126,C8-Neg-000103,Lipids and lipid-like molecules,Glycerophospholipids
Arachidic acid,1.2750302612075624,C8-Neg-000062,Lipids and lipid-like molecules,Fatty Acyls
Anacardic acid,1.2724089642743026,C8-Neg-000213,Benzenoids,Benzene and substituted derivatives
6-Oxohexanoic acid,1.2687172883787903,Amide-Neg-000245,Lipids and lipid-like molecules,Fatty Acyls
"1,2-Dilinolenoyl-sn-glycero-3-phosphoethanolamine",1.2657916224224137,C8-Pos-000295,Lipids and lipid-like molecules,Glycerophospholipids
L-Cystathionine,1.2634180197886584,Amide-Pos-000309,Organic acids and derivatives,Carboxylic acids and derivatives
7-Aminonimetazepam,1.2619161036555777,C8-Pos-000592,Organoheterocyclic compounds,Benzodiazepines
Methyl Deoxycholate,1.2602144362587597,C8-Pos-000363,Lipids and lipid-like molecules,Steroids and steroid derivatives
α-Asp-Gly,1.254772465437718,Amide-Pos-000534,Organic acids and derivatives,Carboxylic acids and derivatives
PC 14:1_20:5,1.2543931500597891,C8-Pos-000584,Lipids and lipid-like molecules,Glycerophospholipids
1-Aminocyclohexanecarboxylic acid,1.2523005405881793,Amide-Pos-000461,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine lyso 18:2,1.250693106139654,C8-Neg-000199,Lipids and lipid-like molecules,Glycerophospholipids
PC 22:5_22:5,1.2496625677063455,C8-Pos-000275,Lipids and lipid-like molecules,Glycerophospholipids
"Cytidine 2',3'-cyclic monophosphoric acid",1.2446952931291146,Amide-Pos-000378,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
D-(+)-Pipecolinic acid,1.2440035019894211,Amide-Pos-000155,Organic acids and derivatives,Carboxylic acids and derivatives
LPC 20:3-SN1,1.2432481924491652,C8-Pos-000361,Lipids and lipid-like molecules,Glycerophospholipids
Terpestacin,1.2422585775823507,C8-Pos-000391,Organic oxygen compounds,Organooxygen compounds
Adenine,1.2416516806087083,Amide-Pos-000035,Organoheterocyclic compounds,Imidazopyrimidines
Uridine,1.2387289937475794,Amide-Pos-000394,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Guanosine monophosphate (GMP),1.2352849932352674,C18-Neg-000041,"Nucleosides, nucleotides, and analogues",Purine nucleotides
LPE 22:5,1.2303040427430785,C8-Pos-000139,Lipids and lipid-like molecules,Glycerophospholipids
D-(+)-Proline,1.228104885932967,Amide-Pos-000065,Organic acids and derivatives,Carboxylic acids and derivatives
Dehydropipernonaline,1.2246971415109562,C8-Pos-000517,Organoheterocyclic compounds,Benzodioxoles
S-Adenosylmethionine,1.2198973264994135,Amide-Pos-000320,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
PE 20:2_20:2,1.219321927753681,C8-Pos-000121,Lipids and lipid-like molecules,Glycerophospholipids
1-Oleoyl-sn-glycero-3-phosphoethanolamine,1.215718142597764,C8-Pos-000109,Lipids and lipid-like molecules,Glycerophospholipids
PE 40:5,1.2135907539442827,C8-Neg-000135,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-D-galactosamine-6-phosphate,1.2132332215459858,Amide-Neg-000561,Organic oxygen compounds,Organooxygen compounds
Propionylcarnitine,1.2128736161753804,Amide-Pos-000457,Lipids and lipid-like molecules,Fatty Acyls
PE 20:4_22:4,1.211873221031882,C8-Neg-000143,Lipids and lipid-like molecules,Glycerophospholipids
2-[2-(Dimethylamino)ethoxy]ethanol,1.2092600052055145,Amide-Pos-000193,Organic nitrogen compounds,Organonitrogen compounds
Docosanamide,1.2075725846035599,C8-Pos-000291,Lipids and lipid-like molecules,Fatty Acyls
Lupeol,1.2033677474121782,C8-Pos-000269,Lipids and lipid-like molecules,Prenol lipids
N-Oleoyl-D-erythro-sphingosylphosphorylcholine,1.2004777347008775,Amide-Pos-000503,Organic compounds,Lipids and lipid-like molecules
PC 20:4_20:5,1.1965488360566536,C8-Pos-000359,Lipids and lipid-like molecules,Glycerophospholipids
LPE 20:1,1.1947046368363103,C8-Pos-000550,Lipids and lipid-like molecules,Glycerophospholipids
"Spectral Match to 1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphoserine from NIST14",1.1929258893630905,C8-Pos-000399,Lipids and lipid-like molecules,Glycerophospholipids
5-Methylcytidine,1.1893630538882662,Amide-Pos-000460,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
Xanthosine,1.1857580426269616,C18-Pos-000214,"Nucleosides, nucleotides, and analogues",Purine nucleosides
Tetraethylene glycol monomethyl ether,1.1809560121582288,C18-Pos-000223,Organic oxygen compounds,Organooxygen compounds
N-(Octadecanoyl)sphing-4-enine-1-phosphocholine,1.1761198108645492,C8-Pos-000099,Organic compounds,Lipids and lipid-like molecules
PE 18:0_20:3,1.173463783898676,C8-Neg-000081,Lipids and lipid-like molecules,Glycerophospholipids
2-(5-Oxovaleryl)phosphatidylcholine,1.1724217687111127,C8-Pos-000442,Lipids and lipid-like molecules,Glycerophospholipids
5-Aminovaleric acid,1.1710078216436217,Amide-Neg-000123,Organic acids and derivatives,Carboxylic acids and derivatives
5-(6-Methyl-7-oxooctyl)furan-2(5H)-one,1.1681958858339976,C18-Pos-000258,Organoheterocyclic compounds,Dihydrofurans
(R)-Pantetheine,1.1654896643939094,C18-Pos-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Glycerophosphate(2),1.1636334170420017,Amide-Pos-000479,Lipids and lipid-like molecules,Glycerophospholipids
1-Linoleoyl-sn-glycero-3-phosphorylcholine,1.161744640825599,C8-Pos-000263,Lipids and lipid-like molecules,Glycerophospholipids
Acetyl-β-methylcholine,1.1596897936727084,Amide-Pos-000176,Organic nitrogen compounds,Organonitrogen compounds
LPS 22:6,1.1556224453749615,C8-Neg-000121,Lipids and lipid-like molecules,Glycerophospholipids
L-(+)-Citrulline,1.1548081860315071,Amide-Pos-000341,Organic acids and derivatives,Carboxylic acids and derivatives
Pipecolic acid,1.154386598372665,Amide-Neg-000564,Organic acids and derivatives,Carboxylic acids and derivatives
Stearic acid,1.1527269271506497,C8-Pos-000293,Lipids and lipid-like molecules,Fatty Acyls
Uric acid,1.1524019539458656,Amide-Neg-000536,Organoheterocyclic compounds,Imidazopyrimidines
2-Aminoisobutyric acid,1.1520696762429792,Amide-Pos-000099,Organic acids and derivatives,Carboxylic acids and derivatives
L-Isoleucine,1.15063654189627,Amide-Pos-000404,Organic acids and derivatives,Carboxylic acids and derivatives
PE 42:10,1.1503094164377263,C8-Neg-000165,Lipids and lipid-like molecules,Glycerophospholipids
Ethyl palmitoleate,1.1493008727345513,C8-Pos-000290,Lipids and lipid-like molecules,Fatty Acyls
PC 16:2_16:3,1.1471392681566754,C8-Pos-000317,Lipids and lipid-like molecules,Glycerophospholipids
2-Arachidonoyl glycerol,1.145256320106936,C8-Pos-000093,Lipids and lipid-like molecules,Endocannabinoids
4-Oxoproline,1.1414989781217855,Amide-Neg-000183,Organic acids and derivatives,Carboxylic acids and derivatives
2-Furoic acid,1.1405850449862505,Amide-Neg-000150,Organoheterocyclic compounds,Furans
Ethyl myristate,1.13888996352003,C8-Pos-000162,Lipids and lipid-like molecules,Fatty Acyls
PE 18:0_24:5,1.1374099447669932,C8-Pos-000417,Lipids and lipid-like molecules,Glycerophospholipids
LPC 20:1-SN1,1.1360216152965907,C8-Pos-000333,Lipids and lipid-like molecules,Glycerophospholipids
PMeOH 16:0_18:1,1.134966401475532,C8-Neg-000115,Lipids and lipid-like molecules,Glycerophospholipids
6-[1-Hydroxy-1-(3-methyl-5-oxooxolan-2-yl)ethyl]-4-methoxy-3-methylpyran-2-one,1.1315486099106102,C8-Pos-000407,Organic compounds,Organoheterocyclic compounds
5'-S-Methyl-5'-thioadenosine,1.1300974427029449,C18-Pos-000233,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
"2-(2H-Benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol",1.1277936038208893,C8-Pos-000047,Phenylpropanoids and polyketides,Diarylheptanoids
4-Hydroxybenzaldehyde,1.1265692813037564,Amide-Neg-000217,Organic oxygen compounds,Organooxygen compounds
PC 18:3_18:4,1.1230669553275294,C8-Pos-000314,Lipids and lipid-like molecules,Glycerophospholipids
