Name,VIP_predictive,Compound.ID,Super.Class,Class
L-(-)-Malic acid,3.066618107782823,Amide-Neg-000382,Organic acids and derivatives,Hydroxy acids and derivatives
PE O-18:2_22:4,2.6097270069647602,C8-Pos-000254,Lipids and lipid-like molecules,Glycerophospholipids
Levoglucosan,2.607182971226454,Amide-Neg-000058,Organic compounds,Organoheterocyclic compounds
PC 10:0_21:2,2.6015459805368057,C8-Pos-000262,Lipids and lipid-like molecules,Glycerophospholipids
CHOLINE,2.588015885921641,Amide-Pos-000002,Organic nitrogen compounds,Organonitrogen compounds
PE 22:4_22:5,2.5653230520812254,C8-Pos-000227,Lipids and lipid-like molecules,Glycerophospholipids
DL-β-Leucine,2.5339327426587563,Amide-Neg-000139,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-DL-glutamic acid,2.4856647379963155,C18-Neg-000066,Organic acids and derivatives,Carboxylic acids and derivatives
2'-Deoxyguanosine 5'-monophosphate (dGMP),2.4017558632749325,Amide-Neg-000119,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Guanine,2.3469180849886797,Amide-Pos-000116,Organic compounds,Organoheterocyclic compounds
"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine",2.318585543998408,C8-Pos-000023,Lipids and lipid-like molecules,Glycerophospholipids
Tiglate,2.212903772066609,Amide-Neg-000365,Lipids and lipid-like molecules,Fatty Acyls
DIETHYL 2-METHYL-3-OXOSUCCINATE,2.170251297157601,C8-Pos-000607,Organic acids and derivatives,Keto acids and derivatives
1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine,2.1453249576240827,C8-Pos-000022,Lipids and lipid-like molecules,Glycerophospholipids
N6-Me-Adenosine,2.1092139974384776,Amide-Pos-000299,"Nucleosides, nucleotides, and analogues",Purine nucleosides
PC 16:1_18:2,2.107726706942405,C8-Pos-000044,Lipids and lipid-like molecules,Glycerophospholipids
