Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,-0.031500937807378324,21.398300323843852,-1.1860524206121499,0.24721100654889258,0.6931149716324091,-5.303073157842315,C18-Pos-000888,Organic acids and derivatives,Carboxylic acids and derivatives
Ps(24:2_20:5),0.06365306009270197,16.767372742650487,1.1414636737007193,0.2659495504492205,0.7169776941720685,-5.309352146084906,C8-Neg-003554,Lipids and lipid-like molecules,Glycerophospholipids
Pc(19:4cho_29:7),0.08705645607837917,15.420371274768867,0.9242603332987136,0.3710071900266366,0.8072032562487759,-5.310745413780882,C8-Pos-005546,Lipids and lipid-like molecules,Glycerophospholipids
Pc(19:1cooh_23:3),-0.08600356430332237,17.149763070941507,-1.1751007930089,0.2514812240238979,0.701808067043436,-5.314940709870544,C8-Neg-003578,Lipids and lipid-like molecules,Glycerophospholipids
Dg(25:3_25:7),-0.061770237504889365,20.73877215456379,-1.1620371830299707,0.25664620194374876,0.7129061165104132,-5.3289695241458075,C8-Pos-004529,Lipids and lipid-like molecules,Glycerolipids
Fentanyl,0.2613581668043732,17.112177553283434,0.9073375662869357,0.37958067013848495,0.8072032562487759,-5.330517872682793,C8-Pos-000786,Organoheterocyclic compounds,Piperidines
Lpe 34:1,0.04306381175671207,21.066786545729617,1.1556345754352795,0.25920603340686393,0.7155630663479384,-5.33579443526693,C8-Pos-003647,Lipids and lipid-like molecules,Glycerophospholipids
Ps 40:5,-0.4357474637109732,15.263164794344641,-0.8580498279346432,0.4043669834614192,0.8164350736804741,-5.344744996930012,C8-Neg-003404,Lipids and lipid-like molecules,Glycerophospholipids
Pe(P-19:4_23:5),-0.0884952280865219,20.861827888952696,-0.7722277776529215,0.4537896370601955,0.8250720673821735,-5.352887913126677,C8-Pos-004505,Lipids and lipid-like molecules,Glycerophospholipids
Pc(17:3_20:1),0.04357963205491902,20.286967870830587,1.0923064445795165,0.28707143263175255,0.7450013293878434,-5.354102233351152,C8-Neg-003462,Lipids and lipid-like molecules,Glycerophospholipids
