Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction
PE 18:1_16:2,C8-Neg-000194,61,0.7818140034887688,21.802327060015642,21.908324169262265,0.006997004131038955,0.9968772717540041,1,FALSE,FALSE,Higher in Males
PE O-18:2_18:1,C8-Neg-000195,75,0.8852339144732017,18.50706451515149,18.32530060110142,-0.014239217347505016,1,1,FALSE,FALSE,Higher in Females
2-Hydroxymyristic acid,C8-Neg-000196,75,0.8852339144732017,22.150665024828076,22.14748848353099,-2.069061584463284e-4,1,1,FALSE,FALSE,Higher in Females
Phosphatidylethanolamine lyso 18:2,C8-Neg-000199,102,0.02889808892436387,19.95946148970506,19.1111211014387,-0.06266038445657103,0.962267616477685,1,FALSE,FALSE,Higher in Females
FAHFA 11:0/7:0,C8-Neg-000200,33,0.5635746202609722,21.0787295618587,21.17289977496495,0.0064309531510066175,0.962267616477685,1,FALSE,FALSE,Higher in Males
"2-[(2S,4aR,8aS)-2-Hydroxy-4a-methyl-8-methylenedecahydro-2-naphthalenyl]acrylic acid",C8-Neg-000201,12,0.1252010296103154,23.583621043756487,23.956744596436142,0.022646630727540584,0.962267616477685,1,FALSE,FALSE,Higher in Males
"2,5-di-tert-Butylhydroquinone",C8-Neg-000203,93,0.2365840933218762,19.357898338617858,19.267543969754158,-0.0067496463398721675,0.962267616477685,1,FALSE,FALSE,Higher in Females
"2-[(2S,4aR,8aS)-2-hydroxy-4a-methyl-8-methylidene-3,4,5,6,7,8a-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid",C8-Neg-000204,84,0.5067205148778585,20.31071026482556,20.17184398778025,-0.009897719090937881,0.962267616477685,1,FALSE,FALSE,Higher in Females
Heneicosanoic acid,C8-Neg-000208,16,0.5203168005073668,13.865986054591573,14.251220782895686,0.039535293507696787,0.962267616477685,1,FALSE,FALSE,Higher in Males
Anacardic acid,C8-Neg-000213,96,0.17485330689329268,18.080881243581956,17.844326345150588,-0.018999556813270434,0.962267616477685,1,FALSE,FALSE,Higher in Females
Calcitriol,C8-Neg-000216,8,0.07414553111140686,22.314687837322314,22.862582896265636,0.03499477626960346,0.962267616477685,1,FALSE,FALSE,Higher in Males
1-Palmitoylglycerol,C8-Pos-000001,8,0.12820527503039153,20.53490304350242,21.38751520512403,0.05869074479536837,0.962267616477685,1,FALSE,FALSE,Higher in Males
Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,C8-Pos-000002,21,0.28982196982861336,21.729503007388253,22.222725658206585,0.03238059890203315,0.962267616477685,1,FALSE,FALSE,Higher in Males
Erucamide,C8-Pos-000003,44,0.967435545139537,18.764090048431505,18.754610574113283,-7.290226288875314e-4,1,1,FALSE,FALSE,Higher in Females
2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine,C8-Pos-000004,60,0.5067205148778585,19.078089539845855,19.167727890281547,0.0067626239484119485,0.962267616477685,1,FALSE,FALSE,Higher in Males
1-Stearoylglycerol,C8-Pos-000005,54,0.7913367801006606,16.3776015440895,15.995748481754397,-0.03403559221743042,0.9968772717540041,1,FALSE,FALSE,Higher in Females
PC 14:0_16:1,C8-Pos-000007,77,0.7950121719642382,25.57911771879382,25.59653583977978,9.820700270935573e-4,0.9968772717540041,1,FALSE,FALSE,Higher in Males
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine",C8-Pos-000008,68,0.8398599725400034,15.654472974732007,15.726900181130294,0.006659399925431082,0.9968772717540041,1,FALSE,FALSE,Higher in Males
1-Palmitoyl-sn-glycero-3-phosphocholine,C8-Pos-000009,82,0.5833604667027033,18.60116384287365,18.596283499573843,-3.785661447167545e-4,0.962267616477685,1,FALSE,FALSE,Higher in Females
"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine",C8-Pos-000010,42,0.011298345511121282,22.048905564249594,20.84976139088615,-0.08067617362929638,0.962267616477685,1,FALSE,FALSE,Higher in Females
1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine,C8-Pos-000011,67,0.7950121719642382,23.82782636420906,23.852470954936003,0.0014913762703586868,0.9968772717540041,1,FALSE,FALSE,Higher in Males
"1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine",C8-Pos-000012,90,0.3123214216762162,27.213785549431854,27.21962887306427,3.0974114516303436e-4,0.962267616477685,1,FALSE,FALSE,Higher in Males
"Didodecyl 3,3'-thiodipropionate oxide",C8-Pos-000013,90,0.3123214216762162,22.374122390067747,22.245928896259336,-0.008289754104445478,0.962267616477685,1,FALSE,FALSE,Higher in Females
"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",C8-Pos-000014,85,0.11503496229473925,20.855822446880538,20.573441049570643,-0.019667091139773288,0.962267616477685,1,FALSE,FALSE,Higher in Females
DL-Dipalmitoylphosphatidylcholine,C8-Pos-000018,63,0.623604884395689,25.84814064729713,25.880175569214426,0.001786898637886336,0.962267616477685,1,FALSE,FALSE,Higher in Males
1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine,C8-Pos-000019,86,0.4357306600317366,21.210551940863397,21.104270004617664,-0.007247235731955588,0.962267616477685,1,FALSE,FALSE,Higher in Females
Palmitoyleicosapentaenoyl phosphatidylcholine,C8-Pos-000020,52,0.8602588271965479,17.574521011527118,17.620452981666862,0.0037656435361093153,1,1,FALSE,FALSE,Higher in Males
PC 16:1_16:2,C8-Pos-000021,66,0.7508318840891169,19.87538225747988,19.867654056692814,-5.610762601471676e-4,0.9892971093001639,1,FALSE,FALSE,Higher in Females
1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine,C8-Pos-000022,36,0.040404119588223736,22.84468127524524,24.575570063193148,0.10536656772042297,0.962267616477685,1,FALSE,FALSE,Higher in Males
"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine",C8-Pos-000023,19,0.5005594978181392,15.005975677251984,16.381206780488892,0.12650451727838652,0.962267616477685,1,FALSE,FALSE,Higher in Males
