Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
map00270;R-HSA-1237112;R-HSA-1614635;R-HSA-163841;R-HSA-351202;R-HSA-5358493;R-HSA-6782315;R-HSA-6782861;R-HSA-6790901;WP3580;WP4485,1,Pathways,95,0.1939308522824107,19.126264106918796,18.805726166617767,-0.024383086746271085,map00270;R-HSA-12...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
R-HSA-163754;R-HSA-2393930;R-HSA-5663084;R-HSA-6791465;R-HSA-71336;R-HSA-73843;R-HSA-74259;R-HSA-8956319;WP134;WP3602;WP4224;WP4290;WP4297;WP4792;WP5043;WP5220,1,Pathways,32,0.19651192023450081,21.09397879342237,21.385571084082187,0.01980648855080308,R-HSA-163754;R-HS...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
map00310;map00780;R-HSA-196780;R-HSA-264876;R-HSA-2980736;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-420499;R-HSA-442660;R-HSA-5223345;R-HSA-5619094;R-HSA-5619113;R-HSA-5660883;R-HSA-5689603;R-HSA-71064;WP4228;WP661,1,Pathways,50,0.21449380778351745,21.641965145680143,21.99101049869887,0.023082392819953265,map00310;map00780...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
WP100;WP2289;WP2525;WP4313;WP5233,2,Pathways,94,0.21449380778351745,20.57285977537649,20.494945749857067,-0.005474181620352777,WP100;WP2289;WP25...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
WP4313,2,Pathways,50,0.21449380778351745,21.848822650159512,22.040140831046863,0.012577901923690276,WP4313,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
R-HSA-70635;WP4571;WP4583;WP4595;WP497,1,Pathways,50,0.21449380778351745,22.638964476301016,22.855775893390344,0.013750825775007853,R-HSA-70635;WP457...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
R-HSA-112310,1,Pathways,50,0.21449380778351745,21.422759820249485,21.630766209388252,0.013940420154985214,R-HSA-112310,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
map00062;map00071;map00100;map00120;map00561;R-HSA-112310;R-HSA-1368082;R-HSA-1368108;R-HSA-1592230;R-HSA-163560;R-HSA-1655829;R-HSA-192456;R-HSA-1989781;R-HSA-202131;R-HSA-203615;R-HSA-2151201;R-HSA-2187335;R-HSA-2426168;R-HSA-2453902;R-HSA-2980736;R-HSA-373760;R-HSA-381340;R-HSA-381771;R-HSA-400206;R-HSA-400253;R-HSA-400451;R-HSA-400508;R-HSA-400511;R-HSA-422356;R-HSA-425397;R-HSA-434313;R-HSA-434316;R-HSA-444209;R-HSA-5619108;R-HSA-6806667;R-HSA-75105;R-HSA-75876;R-HSA-75896;R-HSA-804914;R-HSA-8848584;R-HSA-8935690;R-HSA-8963743;R-HSA-8979227;R-HSA-9009391;R-HSA-9648002;R-HSA-9707564;R-HSA-9707616;R-HSA-975634;R-HSA-9843745;R-HSA-9845614;WP357;WP3602;WP3965;WP4724;WP4853;WP4949;WP5181;WP5315,1,Pathways,26,0.2303310675923686,18.305424296916165,18.53033197850604,0.017617514168106158,map00062;map00071...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
map00760;R-HSA-110362;R-HSA-110373;R-HSA-1592230;R-HSA-170834;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2151201;R-HSA-2173793;R-HSA-2173795;R-HSA-2408508;R-HSA-2995383;R-HSA-2995410;R-HSA-3371453;R-HSA-3371556;R-HSA-427359;R-HSA-4641257;R-HSA-5250941;R-HSA-5336415;R-HSA-5339562;R-HSA-5685939;R-HSA-5693538;R-HSA-5693567;R-HSA-5693607;R-HSA-5696394;R-HSA-5696398;R-HSA-5696399;R-HSA-6807070;R-HSA-70268;R-HSA-71403;R-HSA-73884;R-HSA-73933;R-HSA-8948751;R-HSA-9614085;R-HSA-9617629;R-HSA-9635486;R-HSA-9637679;R-HSA-9637698;R-HSA-9683610;R-HSA-9683701;R-HSA-9694631;R-HSA-9694635;R-HSA-9730414;R-HSA-9772573;R-HSA-9854311;R-HSA-9856649;R-HSA-9861718;WP2848;WP3644;WP3645;WP4210;WP5046;WP5346,1,Pathways,93,0.2365840933218762,19.8302249646735,19.59035155664918,-0.01755775678939699,map00760;R-HSA-11...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
R-HSA-73614;R-HSA-8956321;WP4485,1,Pathways,78,0.24853467917305802,14.508387577663695,13.890924442041795,-0.06274457717524547,R-HSA-73614;R-HSA...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
