Name,pathway_id,pathway_label,pathway_source
Adenosine Diphosphate (Adp),R-HSA-112399,IRS-mediated signalling,reactome
Adenosine Diphosphate (Adp),R-HSA-112409,RAF-independent MAPK1/3 activation,reactome
Adenosine Diphosphate (Adp),R-HSA-112411,MAPK1 (ERK2) activation,reactome
Adenosine Diphosphate (Adp),R-HSA-114452,Activation of BH3-only proteins,reactome
Adenosine Diphosphate (Adp),R-HSA-114508,Effects of PIP2 hydrolysis,reactome
Adenosine Diphosphate (Adp),R-HSA-114516,Disinhibition of SNARE formation,reactome
Adenosine Diphosphate (Adp),R-HSA-114604,GPVI-mediated activation cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-114608,Platelet degranulation,reactome
Adenosine Diphosphate (Adp),R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),reactome
Adenosine Diphosphate (Adp),R-HSA-1169091,Activation of NF-kappaB in B cells,reactome
Adenosine Diphosphate (Adp),R-HSA-1169092,Activation of RAS in B cells,reactome
Adenosine Diphosphate (Adp),R-HSA-1170546,Prolactin receptor signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1181150,Signaling by NODAL,reactome
Adenosine Diphosphate (Adp),R-HSA-1221632,Meiotic synapsis,reactome
Adenosine Diphosphate (Adp),R-HSA-1226099,Signaling by FGFR in disease,reactome
Adenosine Diphosphate (Adp),R-HSA-1227986,Signaling by ERBB2,reactome
Adenosine Diphosphate (Adp),R-HSA-1227990,Signaling by ERBB2 in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-1236382,Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,reactome
Adenosine Diphosphate (Adp),R-HSA-1236394,Signaling by ERBB4,reactome
Adenosine Diphosphate (Adp),R-HSA-1236974,ER-Phagosome pathway,reactome
Adenosine Diphosphate (Adp),R-HSA-1236975,Antigen processing-Cross presentation,reactome
Adenosine Diphosphate (Adp),R-HSA-1250196,SHC1 events in ERBB2 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1250342,PI3K events in ERBB4 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1250347,SHC1 events in ERBB4 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1251932,PLCG1 events in ERBB2 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1266695,Interleukin-7 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1268020,Mitochondrial protein import,reactome
Adenosine Diphosphate (Adp),R-HSA-1295596,Spry regulation of FGF signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1307965,betaKlotho-mediated ligand binding,reactome
Adenosine Diphosphate (Adp),R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1369007,Mitochondrial ABC transporters,reactome
Adenosine Diphosphate (Adp),R-HSA-1369062,ABC transporters in lipid homeostasis,reactome
Adenosine Diphosphate (Adp),R-HSA-139910,Activation of BMF and translocation to mitochondria,reactome
Adenosine Diphosphate (Adp),R-HSA-1433557,Signaling by SCF-KIT,reactome
Adenosine Diphosphate (Adp),R-HSA-1433559,Regulation of KIT signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-1474151,"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",reactome
Adenosine Diphosphate (Adp),R-HSA-1474165,Reproduction,reactome
Adenosine Diphosphate (Adp),R-HSA-1483191,Synthesis of PC,reactome
Adenosine Diphosphate (Adp),R-HSA-1483213,Synthesis of PE,reactome
Adenosine Diphosphate (Adp),R-HSA-1483248,Synthesis of PIPs at the ER membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-1483249,Inositol phosphate metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-1483255,PI Metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-1489509,DAG and IP3 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-1500620,Meiosis,reactome
Adenosine Diphosphate (Adp),R-HSA-1502540,Signaling by Activin,reactome
Adenosine Diphosphate (Adp),R-HSA-1538133,G0 and Early G1,reactome
Adenosine Diphosphate (Adp),R-HSA-156584,Cytosolic sulfonation of small molecules,reactome
Adenosine Diphosphate (Adp),R-HSA-156590,Glutathione conjugation,reactome
Adenosine Diphosphate (Adp),R-HSA-156711,Polo-like kinase mediated events,reactome
Adenosine Diphosphate (Adp),R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,reactome
Adenosine Diphosphate (Adp),R-HSA-157579,Telomere Maintenance,reactome
Adenosine Diphosphate (Adp),R-HSA-157858,Gap junction trafficking and regulation,reactome
Adenosine Diphosphate (Adp),R-HSA-1592230,Mitochondrial biogenesis,reactome
Adenosine Diphosphate (Adp),R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,reactome
Adenosine Diphosphate (Adp),R-HSA-159418,Recycling of bile acids and salts,reactome
Adenosine Diphosphate (Adp),R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,reactome
Adenosine Diphosphate (Adp),R-HSA-1606341,IRF3 mediated activation of type 1 IFN,reactome
Adenosine Diphosphate (Adp),R-HSA-162658,Golgi Cisternae Pericentriolar Stack Reorganization,reactome
Adenosine Diphosphate (Adp),R-HSA-163210,Formation of ATP by chemiosmotic coupling,reactome
Adenosine Diphosphate (Adp),R-HSA-1632852,Macroautophagy,reactome
Adenosine Diphosphate (Adp),R-HSA-163358,PKA-mediated phosphorylation of key metabolic factors,reactome
Adenosine Diphosphate (Adp),R-HSA-163560,Triglyceride catabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,reactome
Adenosine Diphosphate (Adp),R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",reactome
Adenosine Diphosphate (Adp),R-HSA-1643713,Signaling by EGFR in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-165158,Activation of AKT2,reactome
Adenosine Diphosphate (Adp),R-HSA-165159,MTOR signalling,reactome
Adenosine Diphosphate (Adp),R-HSA-165160,PDE3B signalling,reactome
Adenosine Diphosphate (Adp),R-HSA-165181,Inhibition of TSC complex formation by PKB,reactome
Adenosine Diphosphate (Adp),R-HSA-1660499,Synthesis of PIPs at the plasma membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-1660516,Synthesis of PIPs at the early endosome membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-166058,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,reactome
Adenosine Diphosphate (Adp),R-HSA-1660661,Sphingolipid de novo biosynthesis,reactome
Adenosine Diphosphate (Adp),R-HSA-1660662,Glycosphingolipid metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-166166,MyD88-independent TLR4 cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-166187,Mitochondrial Uncoupling,reactome
Adenosine Diphosphate (Adp),R-HSA-166208,mTORC1-mediated signalling,reactome
Adenosine Diphosphate (Adp),R-HSA-166520,Signaling by NTRKs,reactome
Adenosine Diphosphate (Adp),R-HSA-167021,PLC-gamma1 signalling,reactome
Adenosine Diphosphate (Adp),R-HSA-167044,Signalling to RAS,reactome
Adenosine Diphosphate (Adp),R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,reactome
Adenosine Diphosphate (Adp),R-HSA-167160,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,reactome
Adenosine Diphosphate (Adp),R-HSA-167169,HIV Transcription Elongation,reactome
Adenosine Diphosphate (Adp),R-HSA-167172,Transcription of the HIV genome,reactome
Adenosine Diphosphate (Adp),R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,reactome
Adenosine Diphosphate (Adp),R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,reactome
Adenosine Diphosphate (Adp),R-HSA-167827,The proton buffering model,reactome
Adenosine Diphosphate (Adp),R-HSA-1679131,Trafficking and processing of endosomal TLR,reactome
Adenosine Diphosphate (Adp),R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168142,Toll Like Receptor 10 (TLR10) Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168176,Toll Like Receptor 5 (TLR5) Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-168638,NOD1/2 Signaling Pathway,reactome
Adenosine Diphosphate (Adp),R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",reactome
Adenosine Diphosphate (Adp),R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,reactome
Adenosine Diphosphate (Adp),R-HSA-169893,Prolonged ERK activation events,reactome
Adenosine Diphosphate (Adp),R-HSA-170145,Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes,reactome
Adenosine Diphosphate (Adp),R-HSA-170834,Signaling by TGF-beta Receptor Complex,reactome
Adenosine Diphosphate (Adp),R-HSA-170968,Frs2-mediated activation,reactome
Adenosine Diphosphate (Adp),R-HSA-170984,ARMS-mediated activation,reactome
Adenosine Diphosphate (Adp),R-HSA-171007,p38MAPK events,reactome
Adenosine Diphosphate (Adp),R-HSA-171319,Telomere Extension By Telomerase,reactome
Adenosine Diphosphate (Adp),R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,reactome
Adenosine Diphosphate (Adp),R-HSA-174362,Transport and synthesis of PAPS,reactome
Adenosine Diphosphate (Adp),R-HSA-174403,Glutathione synthesis and recycling,reactome
Adenosine Diphosphate (Adp),R-HSA-174411,Polymerase switching on the C-strand of the telomere,reactome
Adenosine Diphosphate (Adp),R-HSA-174414,Processive synthesis on the C-strand of the telomere,reactome
Adenosine Diphosphate (Adp),R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,reactome
Adenosine Diphosphate (Adp),R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",reactome
Adenosine Diphosphate (Adp),R-HSA-176187,Activation of ATR in response to replication stress,reactome
Adenosine Diphosphate (Adp),R-HSA-176408,Regulation of APC/C activators between G1/S and early anaphase,reactome
Adenosine Diphosphate (Adp),R-HSA-176417,Phosphorylation of Emi1,reactome
Adenosine Diphosphate (Adp),R-HSA-177929,Signaling by EGFR,reactome
Adenosine Diphosphate (Adp),R-HSA-180024,DARPP-32 events,reactome
Adenosine Diphosphate (Adp),R-HSA-180292,GAB1 signalosome,reactome
Adenosine Diphosphate (Adp),R-HSA-180336,SHC1 events in EGFR signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-180786,Extension of Telomeres,reactome
Adenosine Diphosphate (Adp),R-HSA-1810476,RIP-mediated NFkB activation via ZBP1,reactome
Adenosine Diphosphate (Adp),R-HSA-181429,Serotonin Neurotransmitter Release Cycle,reactome
Adenosine Diphosphate (Adp),R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,reactome
Adenosine Diphosphate (Adp),R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-182971,EGFR downregulation,reactome
Adenosine Diphosphate (Adp),R-HSA-1834941,STING mediated induction of host immune responses,reactome
Adenosine Diphosphate (Adp),R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA,reactome
Adenosine Diphosphate (Adp),R-HSA-1839117,Signaling by cytosolic FGFR1 fusion mutants,reactome
Adenosine Diphosphate (Adp),R-HSA-1839120,Signaling by FGFR1 amplification mutants,reactome
Adenosine Diphosphate (Adp),R-HSA-1839122,Signaling by activated point mutants of FGFR1,reactome
Adenosine Diphosphate (Adp),R-HSA-1839124,FGFR1 mutant receptor activation,reactome
Adenosine Diphosphate (Adp),R-HSA-1839126,FGFR2 mutant receptor activation,reactome
Adenosine Diphosphate (Adp),R-HSA-1839130,Signaling by activated point mutants of FGFR3,reactome
Adenosine Diphosphate (Adp),R-HSA-1855167,Synthesis of pyrophosphates in the cytosol,reactome
Adenosine Diphosphate (Adp),R-HSA-1855191,Synthesis of IPs in the nucleus,reactome
Adenosine Diphosphate (Adp),R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,reactome
Adenosine Diphosphate (Adp),R-HSA-186712,Regulation of beta-cell development,reactome
Adenosine Diphosphate (Adp),R-HSA-186763,Downstream signal transduction,reactome
Adenosine Diphosphate (Adp),R-HSA-186797,Signaling by PDGF,reactome
Adenosine Diphosphate (Adp),R-HSA-187015,Activation of TRKA receptors,reactome
Adenosine Diphosphate (Adp),R-HSA-187024,NGF-independant TRKA activation,reactome
Adenosine Diphosphate (Adp),R-HSA-187037,Signaling by NTRK1 (TRKA),reactome
Adenosine Diphosphate (Adp),R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,reactome
Adenosine Diphosphate (Adp),R-HSA-187687,Signalling to ERKs,reactome
Adenosine Diphosphate (Adp),R-HSA-189445,Metabolism of porphyrins,reactome
Adenosine Diphosphate (Adp),R-HSA-189451,Heme biosynthesis,reactome
Adenosine Diphosphate (Adp),R-HSA-189483,Heme degradation,reactome
Adenosine Diphosphate (Adp),R-HSA-190236,Signaling by FGFR,reactome
Adenosine Diphosphate (Adp),R-HSA-190239,FGFR3 ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190241,FGFR2 ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190242,FGFR1 ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190322,FGFR4 ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190370,FGFR1b ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190371,FGFR3b ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190372,FGFR3c ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190373,FGFR1c ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190374,FGFR1c and Klotho ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190375,FGFR2c ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-190377,FGFR2b ligand binding and activation,reactome
Adenosine Diphosphate (Adp),R-HSA-1912408,Pre-NOTCH Transcription and Translation,reactome
Adenosine Diphosphate (Adp),R-HSA-1912422,Pre-NOTCH Expression and Processing,reactome
Adenosine Diphosphate (Adp),R-HSA-191273,Cholesterol biosynthesis,reactome
Adenosine Diphosphate (Adp),R-HSA-191650,Regulation of gap junction activity,reactome
Adenosine Diphosphate (Adp),R-HSA-192105,Synthesis of bile acids and bile salts,reactome
Adenosine Diphosphate (Adp),R-HSA-193368,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,reactome
Adenosine Diphosphate (Adp),R-HSA-193639,p75NTR signals via NF-kB,reactome
Adenosine Diphosphate (Adp),R-HSA-193648,NRAGE signals death through JNK,reactome
Adenosine Diphosphate (Adp),R-HSA-193704,p75 NTR receptor-mediated signalling,reactome
Adenosine Diphosphate (Adp),R-HSA-194068,Bile acid and bile salt metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-194138,Signaling by VEGF,reactome
Adenosine Diphosphate (Adp),R-HSA-195253,Degradation of beta-catenin by the destruction complex,reactome
Adenosine Diphosphate (Adp),R-HSA-196299,Beta-catenin phosphorylation cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-1963642,PI3K events in ERBB2 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-196741,"Cobalamin (Cbl, vitamin B12) transport and metabolism",reactome
Adenosine Diphosphate (Adp),R-HSA-196757,Metabolism of folate and pterines,reactome
Adenosine Diphosphate (Adp),R-HSA-196783,Coenzyme A biosynthesis,reactome
Adenosine Diphosphate (Adp),R-HSA-196807,Nicotinate metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-196819,Vitamin B1 (thiamin) metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-196843,Vitamin B2 (riboflavin) metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-197264,Nicotinamide salvaging,reactome
Adenosine Diphosphate (Adp),R-HSA-1980143,Signaling by NOTCH1,reactome
Adenosine Diphosphate (Adp),R-HSA-198203,PI3K/AKT activation,reactome
Adenosine Diphosphate (Adp),R-HSA-198323,AKT phosphorylates targets in the cytosol,reactome
Adenosine Diphosphate (Adp),R-HSA-198693,AKT phosphorylates targets in the nucleus,reactome
Adenosine Diphosphate (Adp),R-HSA-198725,Nuclear Events (kinase and transcription factor activation),reactome
Adenosine Diphosphate (Adp),R-HSA-198745,Signalling to STAT3,reactome
Adenosine Diphosphate (Adp),R-HSA-198753,ERK/MAPK targets,reactome
Adenosine Diphosphate (Adp),R-HSA-199220,Vitamin B5 (pantothenate) metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-199418,Negative regulation of the PI3K/AKT network,reactome
Adenosine Diphosphate (Adp),R-HSA-199920,CREB phosphorylation,reactome
Adenosine Diphosphate (Adp),R-HSA-199992,trans-Golgi Network Vesicle Budding,reactome
Adenosine Diphosphate (Adp),R-HSA-200425,Carnitine metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-201451,Signaling by BMP,reactome
Adenosine Diphosphate (Adp),R-HSA-201556,Signaling by ALK,reactome
Adenosine Diphosphate (Adp),R-HSA-201688,WNT mediated activation of DVL,reactome
Adenosine Diphosphate (Adp),R-HSA-202131,Metabolism of nitric oxide: NOS3 activation and regulation,reactome
Adenosine Diphosphate (Adp),R-HSA-2023837,Signaling by FGFR2 amplification mutants,reactome
Adenosine Diphosphate (Adp),R-HSA-202403,TCR signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-202424,Downstream TCR signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,reactome
Adenosine Diphosphate (Adp),R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,reactome
Adenosine Diphosphate (Adp),R-HSA-202433,Generation of second messenger molecules,reactome
Adenosine Diphosphate (Adp),R-HSA-2028269,Signaling by Hippo,reactome
Adenosine Diphosphate (Adp),R-HSA-2029481,FCGR activation,reactome
Adenosine Diphosphate (Adp),R-HSA-2029485,Role of phospholipids in phagocytosis,reactome
Adenosine Diphosphate (Adp),R-HSA-2033514,FGFR3 mutant receptor activation,reactome
Adenosine Diphosphate (Adp),R-HSA-2033519,Activated point mutants of FGFR2,reactome
Adenosine Diphosphate (Adp),R-HSA-203615,eNOS activation,reactome
Adenosine Diphosphate (Adp),R-HSA-204005,COPII-mediated vesicle transport,reactome
Adenosine Diphosphate (Adp),R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,reactome
Adenosine Diphosphate (Adp),R-HSA-2046104,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-2046105,Linoleic acid (LA) metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-2046106,alpha-linolenic acid (ALA) metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-204998,"Cell death signalling via NRAGE, NRIF and NADE",reactome
Adenosine Diphosphate (Adp),R-HSA-205043,NRIF signals cell death from the nucleus,reactome
Adenosine Diphosphate (Adp),R-HSA-209543,p75NTR recruits signalling complexes,reactome
Adenosine Diphosphate (Adp),R-HSA-209560,NF-kB is activated and signals survival,reactome
Adenosine Diphosphate (Adp),R-HSA-210455,Astrocytic Glutamate-Glutamine Uptake And Metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-210745,Regulation of gene expression in beta cells,reactome
Adenosine Diphosphate (Adp),R-HSA-210990,PECAM1 interactions,reactome
Adenosine Diphosphate (Adp),R-HSA-210993,Tie2 Signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-211163,AKT-mediated inactivation of FOXO1A,reactome
Adenosine Diphosphate (Adp),R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,reactome
Adenosine Diphosphate (Adp),R-HSA-212676,Dopamine Neurotransmitter Release Cycle,reactome
Adenosine Diphosphate (Adp),R-HSA-212718,EGFR interacts with phospholipase C-gamma,reactome
Adenosine Diphosphate (Adp),R-HSA-2132295,MHC class II antigen presentation,reactome
Adenosine Diphosphate (Adp),R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),reactome
Adenosine Diphosphate (Adp),R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,reactome
Adenosine Diphosphate (Adp),R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,reactome
Adenosine Diphosphate (Adp),R-HSA-2161517,Abacavir transmembrane transport,reactome
Adenosine Diphosphate (Adp),R-HSA-2161522,Abacavir ADME,reactome
Adenosine Diphosphate (Adp),R-HSA-2161541,Abacavir metabolism,reactome
Adenosine Diphosphate (Adp),R-HSA-2172127,DAP12 interactions,reactome
Adenosine Diphosphate (Adp),R-HSA-2173789,TGF-beta receptor signaling activates SMADs,reactome
Adenosine Diphosphate (Adp),R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),reactome
Adenosine Diphosphate (Adp),R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,reactome
Adenosine Diphosphate (Adp),R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,reactome
Adenosine Diphosphate (Adp),R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,reactome
Adenosine Diphosphate (Adp),R-HSA-2219528,PI3K/AKT Signaling in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-2299718,Condensation of Prophase Chromosomes,reactome
Adenosine Diphosphate (Adp),R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),reactome
Adenosine Diphosphate (Adp),R-HSA-2408550,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,reactome
Adenosine Diphosphate (Adp),R-HSA-2408557,Selenocysteine synthesis,reactome
Adenosine Diphosphate (Adp),R-HSA-2424491,DAP12 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-2428924,IGF1R signaling cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-2428928,IRS-related events triggered by IGF1R,reactome
Adenosine Diphosphate (Adp),R-HSA-2428933,SHC-related events triggered by IGF1R,reactome
Adenosine Diphosphate (Adp),R-HSA-2453902,The canonical retinoid cycle in rods (twilight vision),reactome
Adenosine Diphosphate (Adp),R-HSA-2465910,MASTL Facilitates Mitotic Progression,reactome
Adenosine Diphosphate (Adp),R-HSA-2500257,Resolution of Sister Chromatid Cohesion,reactome
Adenosine Diphosphate (Adp),R-HSA-2514853,Condensation of Prometaphase Chromosomes,reactome
Adenosine Diphosphate (Adp),R-HSA-2514856,The phototransduction cascade,reactome
Adenosine Diphosphate (Adp),R-HSA-2514859,"Inactivation, recovery and regulation of the phototransduction cascade",reactome
Adenosine Diphosphate (Adp),R-HSA-2559580,Oxidative Stress Induced Senescence,reactome
Adenosine Diphosphate (Adp),R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),reactome
Adenosine Diphosphate (Adp),R-HSA-2559585,Oncogene Induced Senescence,reactome
Adenosine Diphosphate (Adp),R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,reactome
Adenosine Diphosphate (Adp),R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,reactome
Adenosine Diphosphate (Adp),R-HSA-2586552,Signaling by Leptin,reactome
Adenosine Diphosphate (Adp),R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-2644603,Signaling by NOTCH1 in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,reactome
Adenosine Diphosphate (Adp),R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,reactome
Adenosine Diphosphate (Adp),R-HSA-2672351,Stimuli-sensing channels,reactome
Adenosine Diphosphate (Adp),R-HSA-2682334,EPH-Ephrin signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-2730905,Role of LAT2/NTAL/LAB on calcium mobilization,reactome
Adenosine Diphosphate (Adp),R-HSA-2871796,FCERI mediated MAPK activation,reactome
Adenosine Diphosphate (Adp),R-HSA-2871809,FCERI mediated Ca+2 mobilization,reactome
Adenosine Diphosphate (Adp),R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,reactome
Adenosine Diphosphate (Adp),R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,reactome
Adenosine Diphosphate (Adp),R-HSA-2980766,Nuclear Envelope Breakdown,reactome
Adenosine Diphosphate (Adp),R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",reactome
Adenosine Diphosphate (Adp),R-HSA-2995383,Initiation of Nuclear Envelope (NE) Reformation,reactome
Adenosine Diphosphate (Adp),R-HSA-2995410,Nuclear Envelope (NE) Reassembly,reactome
Adenosine Diphosphate (Adp),R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,reactome
Adenosine Diphosphate (Adp),R-HSA-3214858,RMTs methylate histone arginines,reactome
Adenosine Diphosphate (Adp),R-HSA-3249367,STAT6-mediated induction of chemokines,reactome
Adenosine Diphosphate (Adp),R-HSA-3270619,IRF3-mediated induction of type I IFN,reactome
Adenosine Diphosphate (Adp),R-HSA-3299685,Detoxification of Reactive Oxygen Species,reactome
Adenosine Diphosphate (Adp),R-HSA-3301854,Nuclear Pore Complex (NPC) Disassembly,reactome
Adenosine Diphosphate (Adp),R-HSA-3371453,Regulation of HSF1-mediated heat shock response,reactome
Adenosine Diphosphate (Adp),R-HSA-3371497,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,reactome
Adenosine Diphosphate (Adp),R-HSA-3371556,Cellular response to heat stress,reactome
Adenosine Diphosphate (Adp),R-HSA-3371571,HSF1-dependent transactivation,reactome
Adenosine Diphosphate (Adp),R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,reactome
Adenosine Diphosphate (Adp),R-HSA-354192,Integrin signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-372708,p130Cas linkage to MAPK signaling for integrins,reactome
Adenosine Diphosphate (Adp),R-HSA-373752,Netrin-1 signaling,reactome
Adenosine Diphosphate (Adp),R-HSA-373753,Nephrin family interactions,reactome
Adenosine Diphosphate (Adp),R-HSA-373755,Semaphorin interactions,reactome
Adenosine Diphosphate (Adp),R-HSA-373760,L1CAM interactions,reactome
Adenosine Diphosphate (Adp),R-HSA-375165,NCAM signaling for neurite out-growth,reactome
Adenosine Diphosphate (Adp),R-HSA-376172,DSCAM interactions,reactome
Adenosine Diphosphate (Adp),R-HSA-3769402,Deactivation of the beta-catenin transactivating complex,reactome
Adenosine Diphosphate (Adp),R-HSA-380259,Loss of Nlp from mitotic centrosomes,reactome
Adenosine Diphosphate (Adp),R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome,reactome
Adenosine Diphosphate (Adp),R-HSA-380287,Centrosome maturation,reactome
