Name,pathway_id,pathway_label,pathway_source
Ascorbic Acid,R-HSA-209905,Catecholamine biosynthesis,reactome
Ascorbic Acid,R-HSA-5221030,"TET1,2,3 and TDG demethylate DNA",reactome
Ascorbic Acid,R-HSA-71262,Carnitine synthesis,reactome
Ascorbic Acid,R-HSA-8963684,Tyrosine catabolism,reactome
Ascorbic Acid,R-HSA-8963691,Phenylalanine and tyrosine metabolism,reactome
Ascorbic Acid,R-HSA-8978934,Metabolism of cofactors,reactome
Ascorbic Acid,WP1533,Vitamin B12 metabolism,wiki
Ascorbic Acid,WP1995,Effects of nitric oxide,wiki
Ascorbic Acid,WP2725,Collagen biosynthesis and modifying enzymes,wiki
Ascorbic Acid,WP2727,Cellular response to hypoxia,wiki
Ascorbic Acid,WP2848,Pluripotent stem cell differentiation pathway,wiki
Ascorbic Acid,WP3372,"TET1,2,3 and TDG demethylate DNA",wiki
Ascorbic Acid,WP3548,Metabolism of amine-derived hormones,wiki
Ascorbic Acid,WP4269,Ethanol metabolism production of ROS by CYP2E1,wiki
Ascorbic Acid,WP4981,Phenylalanine and tyrosine metabolism,wiki
Ascorbic Acid,WP4990,Metabolism of cofactors,wiki
Ascorbic Acid,WP4996,Carnitine synthesis,wiki
Β-Hydroxypropionic Acid,map00640,Propanoate metabolism,kegg
Β-Hydroxypropionic Acid,WP4157,GABA metabolism (aka GHB),wiki
Β-Hydroxypropionic Acid,WP4236,Krebs cycle disorders,wiki
Β-Hydroxypropionic Acid,WP4686,"Leucine, isoleucine and valine metabolism",wiki
Dehydroascorbic Acid,map00350,Tyrosine metabolism,kegg
Ino,R-HSA-2161522,Abacavir ADME,reactome
Ino,R-HSA-2161541,Abacavir metabolism,reactome
Ino,R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",reactome
Ino,R-HSA-5619063,Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS),reactome
Ino,R-HSA-5683826,Surfactant metabolism,reactome
Ino,R-HSA-74217,Purine salvage,reactome
Ino,R-HSA-74259,Purine catabolism,reactome
Ino,R-HSA-83936,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,reactome
Ino,R-HSA-8956319,Nucleotide catabolism,reactome
Ino,R-HSA-8956321,Nucleotide salvage,reactome
Ino,R-HSA-9735763,Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine,reactome
Ino,R-HSA-9735786,Nucleotide catabolism defects,reactome
Ino,R-HSA-9735804,Diseases of nucleotide metabolism,reactome
Ino,R-HSA-9755088,Ribavirin ADME,reactome
Ino,WP1937,"Transport of vitamins, nucleosides, and related molecules",wiki
Ino,WP2712,Abacavir transport and metabolism,wiki
Ino,WP3579,Surfactant metabolism,wiki
Ino,WP4042,Nucleobase catabolism,wiki
Ino,WP4082,Nucleotide salvage,wiki
Ino,WP4224,Purine metabolism and related disorders,wiki
Ino,WP4485,Modified nucleosides derived from tRNA as urinary cancer markers,wiki
Ino,WP4792,Purine metabolism,wiki
Dl-Malic Acid,map00020,Citric Acid Cycle,kegg
Dl-Malic Acid,map00620,Pyruvate metabolism,kegg
