truncated_label,full_label
Spectral Match To...,"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14"
N-Acetyl-Dl-Aspar...,N-Acetyl-Dl-Aspartic Acid
"N,N-Diethylethano...","N,N-Diethylethanolamine"
2-Docosahexaenoyl...,2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine
1-Linoleoyl-Sn-Gl...,1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine
1-O-Octadecyl-Sn-...,1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine
L-Glutathione Oxi...,L-Glutathione Oxidized
Palmitoyl Ethanol...,Palmitoyl Ethanolamide
Bis(2-Ethylhexyl)...,Bis(2-Ethylhexyl) Sebacate
Phosphatidylethan...,Phosphatidylethanolamine Alkenyl 18:0-22:4
Spectral Match To...,Spectral Match To 1-Myristoyl-Sn-Glycero-3-Phosphocholine From Nist14
