truncated_label,full_label
N-Acetylaspartic ...,N-Acetylaspartic Acid
Β-Hydroxypropioni...,Β-Hydroxypropionic Acid
L-Threonic Acid-1...,"L-Threonic Acid-1,4-Lactone"
Nitrilotriacetic ...,Nitrilotriacetic Acid
3-Hydroxy-3-Methy...,3-Hydroxy-3-Methylglutaric Acid
Ethyl Hydrogen Ma...,Ethyl Hydrogen Malonate
2'-Deoxyguanosine...,2'-Deoxyguanosine 5'-Monophosphate (Dgmp)
"Meso-Butane-1,2,3...","Meso-Butane-1,2,3,4-Tetracarboxylic Acid"
1h-Imidazole-4-Ca...,1h-Imidazole-4-Carboxylic Acid
3-Hydroxybutyric ...,3-Hydroxybutyric Acid
4-Hydroxybenzalde...,4-Hydroxybenzaldehyde
"1-Hydroxy-2,5-Pyr...","1-Hydroxy-2,5-Pyrrolidinedione"
"Α-D-Glucose-1,6-B...","Α-D-Glucose-1,6-Bisphosphate"
D-(-)-Isoascorbic...,D-(-)-Isoascorbic Acid
(3-Oxo-2-Piperazi...,(3-Oxo-2-Piperazinyl)Acetic Acid
D-Glucose 6-Phosp...,D-Glucose 6-Phosphate
Dehydro-L-(+)-Asc...,Dehydro-L-(+)-Ascorbic Acid Dimer
"5,5-Dimethylhydan...","5,5-Dimethylhydantoin"
"2,6-Dioxo-4-Piper...","2,6-Dioxo-4-Piperidinecarboxylic Acid"
N-Methylglutamic ...,N-Methylglutamic Acid
"(2r)-2,3-Dihydrox...","(2r)-2,3-Dihydroxypropanoic Acid"
Dl-4-Hydroxypheny...,Dl-4-Hydroxyphenyllactic Acid
2-Amino-4-(Methyl...,2-Amino-4-(Methylthio)Butanoic Acid
5-Oxotetrahydro-2...,5-Oxotetrahydro-2-Furancarboxylic Acid
Uridine 5'-Diphos...,Uridine 5'-Diphosphogalactose
4-Methyloxazole-5...,4-Methyloxazole-5-Carboxylic Acid
Guanosine Triphos...,Guanosine Triphosphate (Gtp)
N-Acetyl-Dl-Norva...,N-Acetyl-Dl-Norvaline
Α-Cyano-3-Hydroxy...,Α-Cyano-3-Hydroxycinnamic Acid
N-Acetyl-D-Galact...,N-Acetyl-D-Galactosamine-6-Phosphate
Cytidine 2'_3'-Cy...,Cytidine 2'_3'-Cyclic Phosphate
Uridine 5'-Tripho...,Uridine 5'-Triphosphate
D-Sedoheptulose 7...,D-Sedoheptulose 7-Phosphate
L-Γ-Glutamyl-L-Gl...,L-Γ-Glutamyl-L-Glutamic Acid
Cyclic Adenosine ...,Cyclic Adenosine Diphosphate Ribose
Cytidine-5'-Monop...,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid
"N,N-Diethylethano...","N,N-Diethylethanolamine"
Glycerophosphocho...,Glycerophosphocholine
Adenosine 5'-Mono...,Adenosine 5'-Monophosphate
5-Methyl-1h-Pyraz...,5-Methyl-1h-Pyrazole-3-Carbaldehyde
2-Methylbutyryl-L...,2-Methylbutyryl-L-Carnitine
3-[(2-Hydroxyethy...,3-[(2-Hydroxyethyl)Amino]-1-Propanol
2-Aminoisobutyric...,2-Aminoisobutyric Acid
Tris(Hydroxymethy...,Tris(Hydroxymethyl)Aminomethane
Adenosine Diphosp...,Adenosine Diphosphate (Adp)
"(Αs,1s,2r)-Α-Amin...","(Αs,1s,2r)-Α-Amino-2-Carboxycyclopropaneacetic Acid"
1-Aminocyclopropa...,1-Aminocyclopropanecarboxylate
Pyrrole-2-Carboxy...,Pyrrole-2-Carboxylic Acid
D-(+)-Pipecolinic...,D-(+)-Pipecolinic Acid
Adenosine Triphos...,Adenosine Triphosphate (Atp)
N-Acetyl-1-Aspart...,N-Acetyl-1-Aspartylglutamic Acid
L-Glutathione (Re...,L-Glutathione (Reduced)
Acetyl-Β-Methylch...,Acetyl-Β-Methylcholine
"N3,N4-Dimethyl-L-...","N3,N4-Dimethyl-L-Arginine"
2-[2-(Dimethylami...,2-[2-(Dimethylamino)Ethoxy]Ethanol
Inosine-5'-Monoph...,Inosine-5'-Monophosphate (Imp)
Cis-4-Hydroxy-D-P...,Cis-4-Hydroxy-D-Proline
1-Hydroxy-2-(3-Py...,1-Hydroxy-2-(3-Pyridinyl)Ethylidene Bisphosphonic Acid
1-Deoxy-1-(Methyl...,1-Deoxy-1-(Methylamino)-D-Galactitol
3-(Ethenyloxy)Pro...,3-(Ethenyloxy)Propan-1-Amine
L-Glutathione Oxi...,L-Glutathione Oxidized
Cytidine 5'-Dipho...,Cytidine 5'-Diphosphocholine
2-Amino-4-Methylp...,2-Amino-4-Methylpyrimidine
"N6,N6,N6-Trimethy...","N6,N6,N6-Trimethyl-L-Lysine"
"1-Pyridin-3-Yl-1,...","1-Pyridin-3-Yl-1,4-Diazepane"
Guanosine 5'-Diph...,Guanosine 5'-Diphosphate (Gdp)
Nicotinamide Aden...,Nicotinamide Adenine Dinucleotide (Nad+)
Guanosine 5'-Trip...,Guanosine 5'-Triphosphate
2-Oleoyl-1-Stearo...,2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine
Udp-N-Acetylgluco...,Udp-N-Acetylglucosamine
Cytidine 5'-Dipho...,Cytidine 5'-Diphosphate Ethanolamine
Methylimidazoleac...,Methylimidazoleacetic Acid
4-Piperidinecarbo...,4-Piperidinecarboxamide
"D-Myo-Inositol-1,...","D-Myo-Inositol-1,2-Diphosphate"
"Cytidine 2',3'-Cy...","Cytidine 2',3'-Cyclic Monophosphoric Acid"
