stratum,n_tested,n_hit,rate,lo,hi
Non-SFARI,25700,462,0.017976653696498056,0.01642280262382004,0.01967458228680351
Unscored,93,7,0.07526881720430108,0.036936683981680485,0.14729700103258916
Score 3,229,11,0.048034934497816595,0.02703064009485347,0.08395242517014317
Score 2,667,48,0.07196401799100449,0.05470616648223725,0.09412401911215104
Score 1,242,14,0.05785123966942149,0.03477003911380607,0.09475025812750615
