cell_type,n_hit,n_bg,n_sfari_hit,pct_sfari_hit,pct_sfari_bg,OR,ci_lo,ci_hi,p,FDR,significant
IN-MGE-SST,166,15743,29,17.46987951807229,7.06980880391285,2.8300432019607946,1.8181414003794985,4.272091709009714,4.979588627265921e-6,4.146012708582595e-5,TRUE
IN-CGE-Immature,117,15437,23,19.65811965811966,7.190516292025652,3.2034104239174312,1.9288014766644312,5.1219772925984355,8.29202541716519e-6,4.146012708582595e-5,TRUE
IN-MGE-Immature,43,15524,12,27.906976744186046,7.169543931976294,5.055489459384283,2.357143038763555,10.155443237794309,3.318998888603847e-5,1.106332962867949e-4,TRUE
EN-L6-IT,20,24011,6,30,5.0643455083086915,8.068461675651491,2.5362810555512865,22.388406937865096,3.4959454045279916e-4,8.739863511319979e-4,TRUE
EN-L6b,107,22984,14,13.08411214953271,5.247128437173686,2.73840742696312,1.4369134898243525,4.846510199505729,0.0014114292875245353,0.0028228585750490706,TRUE
OPC,45,13445,9,20,7.824470063220528,2.9615464373687543,1.2509711887207469,6.287588899731019,0.0072272964450219735,0.012045494075036623,TRUE
EN-Newborn,38,24018,6,15.789473684210526,5.025397618452827,3.5559055235593617,1.2130820476142674,8.644941070335891,0.011051091629713324,0.01578727375673332,TRUE
Astrocyte-Immature,42,16648,5,11.904761904761905,6.685487746275829,1.890170985893485,0.5786698310120562,4.834442265875543,0.14670429088318787,0.18338036360398485,FALSE
EN-Non-IT-Immature,129,21487,7,5.426356589147287,5.524270489132964,0.9811483322404482,0.38543028191035794,2.090056580792637,0.5741165727216277,0.6379073030240309,FALSE
EN-IT-Immature,25,25597,1,4,4.766183537133258,0.8324136997775783,0.020225648943502626,5.113296061075235,0.7052018077974993,0.7052018077974993,FALSE
