test,stratum,n_tested,n_fg,pct_fg,OR,ci_lo,ci_hi,p
Test 1,Score 1,242,14,5.785123966942149,3.3540252930065897,1.790741051431448,5.80182791380211,1.6754909689553775e-4
Test 1,Score 2,667,48,7.19640179910045,4.235964825395731,3.0459815443156146,5.778731227408992,6.108074748358235e-15
Test 1,Score 3,229,11,4.8034934497816595,2.756240165704067,1.3463644376293482,5.076270884458152,0.003394914686085006
Test 1,Unscored,93,7,7.526881720430108,4.445901422963193,1.7260823450446163,9.632089598847077,0.0015521588835524572
Test 1,All SFARI,1231,80,6.498781478472786,3.7968902058243006,2.934470167215741,4.861396106673814,1.4878404263359593e-20
Test 2,Score 1,14,4,28.571428571428573,5.339409315592482,1.1577592348977197,19.854299395070584,0.016015527161847787
Test 2,Score 2,48,5,10.416666666666666,1.5609008087442893,0.4513052180836485,4.335980045123786,0.2614483761213471
Test 2,Score 3,11,0,0,0,0,5.633142009298306,1
Test 2,Unscored,7,0,0,0,0,9.7455758969818,1
Test 2,All SFARI,80,9,11.25,1.7013933798637488,0.6845907038201702,3.844576258503841,0.13252073521956645
