cell_type,SSD06_tissue6,SSD07_tissue7,SSD15_tissue15,SSD17_tissue17,SSD18_tissue18,SSD23_tissue23,SSD24_tissue24,SSD31_tissue31,SSD33_tissue33,SSD42_tissue42,SSD43_tissue43,SSD46_tissue46,SSD47_tissue47,SSD49_tissue49,SSD50_tissue50,SSD02_tissue2,SSD03_tissue3,SSD21_tissue21,SSD26_tissue26,SSD37_tissue37,SSD40_tissue40,SSD41_tissue41
Astrocyte-Immature,47,174,52,126,37,64,63,100,60,52,32,47,165,36,65,NA,NA,NA,NA,NA,NA,NA
Cajal-Retzius cell,NA,1505,NA,655,NA,NA,35,1420,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-IT-Immature,241,154,NA,294,407,279,82,156,436,NA,1625,471,794,1388,431,302,890,253,814,1286,438,509
EN-L4-IT,32,45,NA,NA,83,NA,NA,NA,NA,NA,46,438,75,NA,NA,NA,NA,NA,NA,280,75,303
EN-L5_6-NP,NA,94,NA,NA,NA,NA,NA,NA,49,NA,81,NA,129,101,NA,NA,NA,32,NA,NA,86,NA
EN-L6-CT,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,49,101,NA,NA,NA,NA,61,NA,NA,96,39,NA
EN-L6-IT,841,NA,69,57,275,209,48,97,40,39,958,365,431,604,91,162,329,211,87,1226,811,563
EN-L6b,211,718,NA,NA,104,162,236,173,565,NA,568,219,161,588,109,68,243,87,173,439,478,147
EN-Newborn,173,NA,48,NA,299,587,774,1029,1306,308,818,573,803,1469,651,222,292,143,448,474,657,126
EN-Non-IT-Immature,61,NA,NA,NA,NA,367,265,181,461,NA,337,74,233,841,NA,NA,NA,NA,NA,159,385,83
IN-CGE-Immature,NA,58,NA,NA,91,66,40,170,50,45,141,NA,289,183,43,NA,74,68,77,182,55,97
IN-CGE-SNCG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
IN-CGE-VIP,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,70,NA,36
IN-MGE-Immature,32,NA,NA,NA,130,75,63,236,83,47,128,36,162,162,65,NA,76,61,76,202,47,52
IN-MGE-PV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,85,NA,NA,NA,NA,NA,48,NA,NA
IN-MGE-SST,NA,72,NA,NA,75,NA,NA,35,NA,NA,96,47,75,154,NA,NA,59,40,86,191,75,68
IN-dLGE-Immature,NA,101,NA,NA,NA,NA,NA,170,33,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA
IPC-EN,33,NA,NA,40,NA,94,192,370,277,NA,NA,181,171,43,116,NA,NA,NA,NA,NA,NA,NA
IPC-Glia,NA,31,NA,350,NA,NA,NA,NA,NA,33,31,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microglia,NA,36,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
OPC,NA,105,NA,35,34,NA,NA,30,NA,49,55,NA,47,50,33,NA,NA,NA,NA,44,54,NA
RG-oRG,NA,NA,NA,NA,NA,NA,39,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG-tRG,NA,NA,NA,NA,NA,35,NA,68,30,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG-vRG,30,NA,NA,36,NA,49,134,121,147,NA,NA,87,32,NA,45,NA,NA,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Vascular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
