cell_type,n_present,frac_present
EN-L6-IT,21,0.9545454545454546
EN-IT-Immature,20,0.9090909090909091
EN-Newborn,20,0.9090909090909091
EN-L6b,19,0.8636363636363636
IN-MGE-Immature,18,0.8181818181818182
IN-CGE-Immature,17,0.7727272727272727
Astrocyte-Immature,15,0.6818181818181818
IN-MGE-SST,13,0.5909090909090909
EN-Non-IT-Immature,12,0.5454545454545454
OPC,11,0.5
IPC-EN,10,0.45454545454545453
EN-L4-IT,9,0.4090909090909091
RG-vRG,9,0.4090909090909091
EN-L5_6-NP,7,0.3181818181818182
EN-L6-CT,6,0.2727272727272727
Cajal-Retzius cell,5,0.22727272727272727
IPC-Glia,5,0.22727272727272727
IN-CGE-VIP,4,0.18181818181818182
IN-dLGE-Immature,4,0.18181818181818182
RG-tRG,4,0.18181818181818182
IN-MGE-PV,3,0.13636363636363635
Microglia,3,0.13636363636363635
RG-oRG,2,0.09090909090909091
Unknown,2,0.09090909090909091
IN-CGE-SNCG,1,0.045454545454545456
Vascular,1,0.045454545454545456
