pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source,cell_type,pathway_short
Activation of NMDA receptors and postsynaptic events (Reactome),0.0040995900409959,0.23277672232776722,0.22623238004642038,0.786231884057971,2.1375773064317682,5,,Astrocyte-Immature,Reactome,Astrocyte-Immature,Activation of NMDA receptors and post...
Post NMDA receptor activation events (Reactome),0.0040995900409959,0.23277672232776722,0.22623238004642038,0.786231884057971,2.1375773064317682,5,,Astrocyte-Immature,Reactome,Astrocyte-Immature,Post NMDA receptor activation events
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.0066993300669933005,0.23277672232776722,0.1763237517377301,0.44848603804414583,1.8082868151062774,23,,Astrocyte-Immature,WikiPathways,Astrocyte-Immature,"Trans-sulfuration, one-carbon metabol..."
Acetylcholine synthesis (WikiPathways),0.0011137009512065471,0.21605798453407016,0.45505986738722953,0.7099291683713695,2.483493470488843,6,,EN-IT-Immature,WikiPathways,EN-IT-Immature,Acetylcholine synthesis
KEGG:map01120 (KEGG),0.015498450154984501,0.9614291202458701,0.11516714100944504,0.5123326306566911,2.053694549444404,9,,EN-IT-Immature,KEGG,EN-IT-Immature,KEGG:map01120
Organic anion transporters (Reactome),0.024897510248975102,0.9614291202458701,0.09037473381123272,0.5660388953037259,1.980132614855684,6,,EN-IT-Immature,Reactome,EN-IT-Immature,Organic anion transporters
Degradation of cysteine and homocysteine (Reactome),0.0037996200379962005,0.5237476252374763,0.23514199556110812,0.5695487273677131,2.3363486193632603,9,,EN-L6-IT,Reactome,EN-L6-IT,Degradation of cysteine and homocysteine
Sulfur amino acid metabolism (Reactome),0.007099290070992901,0.5237476252374763,0.171214318379654,0.4618418340091596,2.1858986413656765,14,,EN-L6-IT,Reactome,EN-L6-IT,Sulfur amino acid metabolism
Organic anion transporters (Reactome),0.0086991300869913,0.5237476252374763,0.15444634885596145,0.6178916096595268,2.207808640228254,6,,EN-L6-IT,Reactome,EN-L6-IT,Organic anion transporters
MTHFR deficiency (WikiPathways),0.022397760223977603,0.8419204056605833,0.0954173509538673,0.6231884057971014,2.0257811497545988,5,,EN-L6b,WikiPathways,EN-L6b,MTHFR deficiency
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.030896910308969103,0.8419204056605833,0.08086165098076897,0.6032608695652174,1.9610032641519808,5,,EN-L6b,Reactome,EN-L6b,Synthesis of wybutosine at G37 of tRN...
Orexin receptor pathway (WikiPathways),0.0484951504849515,0.8419204056605833,0.0639357739676871,0.4995978112471927,1.8164553830241463,7,,EN-L6b,WikiPathways,EN-L6b,Orexin receptor pathway
Biogenic amine synthesis (WikiPathways),0.006799320067993201,0.9694924687425438,0.1750040159423417,0.6036415776658262,2.2236355145360585,7,,EN-Newborn,WikiPathways,EN-Newborn,Biogenic amine synthesis
beta-Alanine metabolism (KEGG),0.012598740125987402,0.9694924687425438,0.12797030576243018,0.5228567192472613,2.099482105214083,9,,EN-Newborn,KEGG,EN-Newborn,beta-Alanine metabolism
Biomarkers for urea cycle disorders (WikiPathways),0.0165983401659834,0.9694924687425438,0.11121188275410136,0.49346857729546223,2.0470253756882073,10,,EN-Newborn,WikiPathways,EN-Newborn,Biomarkers for urea cycle disorders
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.008899110088991101,0.9093432120202612,0.15267585552746882,0.6759867817619173,1.587144520530879,11,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.014598540145985401,0.9093432120202612,0.11872977154195252,0.670658770513096,1.548525375996507,10,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,Defective SLC6A19 causes Hartnup diso...
Pyruvate metabolism (Reactome),0.017298270172982702,0.9093432120202612,0.10889328195117924,0.6617915904936015,1.5280513974586414,10,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,Pyruvate metabolism
Metabolic disorders of biological oxidation enzymes (Reactome),0.0184981501849815,0.7646068726460687,0.10522822140432425,0.541502493657093,1.9224870174777609,9,,IN-CGE-Immature,Reactome,IN-CGE-Immature,Metabolic disorders of biological oxi...
Metabolism overview (WikiPathways),0.020597940205979402,0.7646068726460687,0.09960004885309227,0.4212765650666942,1.806205272094362,18,,IN-CGE-Immature,WikiPathways,IN-CGE-Immature,Metabolism overview
KEGG:map01120 (KEGG),0.0230976902309769,0.7646068726460687,0.093923690818302,0.5302926344102262,1.8826888464216889,9,,IN-CGE-Immature,KEGG,IN-CGE-Immature,KEGG:map01120
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.008899110088991101,0.9923018747848972,0.15267585552746882,0.5227635339237653,2.110374058893142,11,,IN-MGE-Immature,Reactome,IN-MGE-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Selenocompound metabolism (KEGG),0.010298970102989701,0.9923018747848972,0.14176653797590688,0.601973553974229,2.103002513591084,7,,IN-MGE-Immature,KEGG,IN-MGE-Immature,Selenocompound metabolism
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.033096690330966905,0.9923018747848972,0.07803528407169529,0.46922210564135897,1.837856477551545,10,,IN-MGE-Immature,Reactome,IN-MGE-Immature,Defective SLC6A19 causes Hartnup diso...
Glucose homeostasis (WikiPathways),0.0015186751249845881,0.2618738126187381,0.45505986738722953,0.6267447767928592,1.914193238451152,14,,IN-MGE-SST,WikiPathways,IN-MGE-SST,Glucose homeostasis
Lysine catabolism (Reactome),0.0026997300269973002,0.2618738126187381,0.27986565266193214,0.7642345721721943,1.9909983540888287,7,,IN-MGE-SST,Reactome,IN-MGE-SST,Lysine catabolism
Metabolism overview (WikiPathways),0.0072992700729927005,0.29928435727855784,0.16881930001783912,0.5324937135771679,1.709845012398196,18,,IN-MGE-SST,WikiPathways,IN-MGE-SST,Metabolism overview
Methionine de novo and salvage pathway (WikiPathways),0.001905424078970145,0.06013398660133986,0.45505986738722953,0.998165137614679,1.2466740389296498,12,,IPC-EN,WikiPathways,IPC-EN,Methionine de novo and salvage pathway
Biogenic amine synthesis (WikiPathways),0.0024997500249975004,0.06013398660133986,0.291090917251384,0.9981818181818182,1.3379757282158686,7,,IPC-EN,WikiPathways,IPC-EN,Biogenic amine synthesis
