pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
"Alanine, aspartate and glutamate metabolism (KEGG)",0.5232476752324767,0.9614291202458701,0.013771371228934555,0.17701940154655305,0.9471853557573846,23,Pyruvic Acid;L-Glutamic Acid;Γ-Aminobutyric Acid,EN-IT-Immature
Sulfur amino acid metabolism (Reactome),0.523947605239476,0.9614291202458701,0.013752062867828336,0.20401771864676221,0.9424087478403537,14,Pyruvic Acid;L-Glutamic Acid;Hypotaurine;Adenosine;L-Serine;L-(-)-Methionine;Taurine;2-Oxobutanoic Acid;5'-S-Methyl-5'-Thioadenosine;Adenine;L-Malic Acid,EN-IT-Immature
Kennedy pathway from sphingolipids (WikiPathways),0.5375462453754625,0.9614291202458701,0.013381663851286234,0.23868639667420555,0.9200767104439899,8,"5'-Cytidylic Acid;S-Adenosyl-L-Homocysteine;D,L-Serine;Choline;Adenosine 5'-Diphosphate",EN-IT-Immature
Urea cycle and associated pathways (WikiPathways),0.5391460853914608,0.9614291202458701,0.013338660841804415,0.20492678197720796,0.9252155827314933,13,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
Azathioprine ADME (Reactome),0.5416458354164584,0.9614291202458701,0.013271701691408606,0.26291889433209953,0.9197500066659441,6,L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);L-Glutamine;L-Glutathione (Reduced);Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine,EN-IT-Immature
Arginine and proline metabolism (KEGG),0.5455454454554545,0.9614291202458701,0.013167803725099729,0.19514120922099798,0.9196245878515176,15,Pyruvic Acid;L-Glutamic Acid;Creatine;L-Aspartic Acid;Succinic Acid;L-Ornithine;Phosphocreatine;Glycine;L(+)-Ornithine;D-Proline;L-Glutamine,EN-IT-Immature
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.5520447955204479,0.9614291202458701,0.012996113054257942,0.17106279354852075,0.9153130761290991,23,Ophthalmate;Cytidine 5'-Diphosphocholine;Sarcosine;Hypotaurine;Phosphoserine;O-Phosphocolamine,EN-IT-Immature
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.5674432556744325,0.9614291202458701,0.012596304139167352,0.20807718345761494,0.8893169362888614,11,Pyruvic Acid;Sarcosine;Adenosine;L-Serine;2-Oxobutanoic Acid;Nicotinamide;Glycine,EN-IT-Immature
Cytosolic tRNA aminoacylation (Reactome),0.5691430856914309,0.9614291202458701,0.012552740699812825,0.18562878925925252,0.8917194715556763,16,L-Glutamic Acid;Leucine;L-Lysine;L-Threonine;Tryptophan;L-Serine;L-Aspartic Acid;Asparagine;L-(-)-Methionine,EN-IT-Immature
Mitochondrial tRNA aminoacylation (Reactome),0.5691430856914309,0.9614291202458701,0.012552740699812825,0.18562878925925252,0.8917194715556763,16,L-Glutamic Acid;Leucine;L-Lysine;L-Threonine;Tryptophan;L-Serine;L-Aspartic Acid;Asparagine;L-(-)-Methionine,EN-IT-Immature
tRNA Aminoacylation (Reactome),0.5691430856914309,0.9614291202458701,0.012552740699812825,0.18562878925925252,0.8917194715556763,16,L-Glutamic Acid;Leucine;L-Lysine;L-Threonine;Tryptophan;L-Serine;L-Aspartic Acid;Asparagine;L-(-)-Methionine,EN-IT-Immature
Pyrimidine catabolism (Reactome),0.5702429757024298,0.9614291202458701,0.012524610808244093,0.2203824863813919,0.8834071538530438,9,Pyruvic Acid;Cytidine;Uridine Monophosphate,EN-IT-Immature
Pyrimidine biosynthesis (Reactome),0.5744425557444256,0.9614291202458701,0.012417620228813505,0.26928675506223165,0.884315276076965,5,L-Glutamic Acid;Uridine Monophosphate;L-Aspartic Acid,EN-IT-Immature
