pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Vitamin B12 metabolism (WikiPathways),0.44885511448855114,0.7646068726460687,0.015987025588065508,0.3002915456549252,1.0306919151309974,8,"D-(+)-Glucose;L-(-)-Methionine;Creatinine;D,L-Serine;D-Glucose;L-Serine",IN-CGE-Immature
Pyrimidine catabolism (Reactome),0.4537546245375462,0.7646068726460687,0.015829637210008615,0.29014598540145986,1.0301003165108729,9,Cytidine;Pyruvic Acid;Uracil;Adenosine 5'-Diphosphate;Uridine;Dl-Alanine;Beta-Alanine;Uridine Monophosphate,IN-CGE-Immature
Glutathione conjugation (Reactome),0.45525447455254475,0.7646068726460687,0.015781826065538195,0.3451929276223272,1.0279254483179174,5,Glycine;L-Glutamic Acid;L-Pyroglutamic Acid;Adenosine 5'-Diphosphate,IN-CGE-Immature
Glutathione synthesis and recycling (Reactome),0.45525447455254475,0.7646068726460687,0.015781826065538195,0.3451929276223272,1.0279254483179174,5,Glycine;L-Glutamic Acid;L-Pyroglutamic Acid;Adenosine 5'-Diphosphate,IN-CGE-Immature
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),0.45565443455654436,0.7646068726460687,0.01576910523251611,0.3446292876500359,1.0262470249643507,5,Glycine;L-Glutamic Acid;Arachidonic Acid;Adenosine 5'-Diphosphate,IN-CGE-Immature
Diseases of nucleotide metabolism (Reactome),0.46535346465353467,0.7646068726460687,0.015464251828961675,0.3238360225745924,1.0204263255289614,6,Inosine;Guanine;Adenosine,IN-CGE-Immature
Glyoxylate metabolism (WikiPathways),0.46535346465353467,0.7646068726460687,0.015464251828961675,0.29461511804629437,1.011208689153782,8,"Pyruvic Acid;Glycine;Glycolic Acid;D-Glyceric Acid;D,L-Serine;L-Serine;Dl-Alanine",IN-CGE-Immature
Nicotinamide salvaging (Reactome),0.46625337466253375,0.7646068726460687,0.015436311815051102,0.3405797101449275,1.0141880763610032,5,Pyruvic Acid;Adenosine 5'-Diphosphate;L-(+)-Lactic Acid,IN-CGE-Immature
Cell recruitment (pro-inflammatory response) (Reactome),0.46965303469653036,0.7646068726460687,0.015331275038999401,0.30693345008617245,1.0095959814726796,7,Guanosine-5'-Monophosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Uridine 5'-Diphosphate,IN-CGE-Immature
Purinergic signaling in leishmaniasis infection (Reactome),0.46965303469653036,0.7646068726460687,0.015331275038999401,0.30693345008617245,1.0095959814726796,7,Guanosine-5'-Monophosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Uridine 5'-Diphosphate,IN-CGE-Immature
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",0.47305269473052697,0.7646068726460687,0.01522703916203942,0.33751578622592204,1.0050642354128436,5,Dl-Pyroglutamic Acid;Glycine,IN-CGE-Immature
Pyrimidine biosynthesis (Reactome),0.4958504149585041,0.7646068726460687,0.014547552811321722,0.3290075777701832,0.9797282470671717,5,L-Glutamic Acid;L-Glutamine;Adenosine 5'-Diphosphate;L-Aspartic Acid,IN-CGE-Immature
Glycine metabolism (WikiPathways),0.49865013498650135,0.7646068726460687,0.014466315539939953,0.31034482758620685,0.9779147778032234,6,"Pyruvic Acid;Glycine;Creatine;D,L-Serine;L-Serine;L-Glutathione (Reduced)",IN-CGE-Immature
Azathioprine ADME (Reactome),0.5023497650234976,0.7646068726460687,0.014359664649976015,0.30852994555353896,0.972195977933029,6,L-Glutamic Acid;L-Glutamine;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);L-Glutathione (Reduced),IN-CGE-Immature
Selenocompound metabolism (KEGG),0.5135486451354865,0.7646068726460687,0.014041507496790208,0.29141595563624745,0.9585542978934852,7,"2-Oxobutanoic Acid;Adenosine;D,L-Serine;Adenosine 5'-Diphosphate;L-Serine;Dl-Alanine",IN-CGE-Immature
Amino Sugar Metabolism (KEGG),0.5152484751524847,0.7646068726460687,0.013993810418612149,0.2301897522272519,0.9564615272187316,16,Udp-N-Acetylglucosamine;Pyruvic Acid;L-Glutamic Acid;D-Glucose 6-Phosphate;Cytidine-5'-Monophospho-N-Acetylneuraminic Acid;Glucose 1-Phosphate;L-Glutamine;D-Glucose;Adenosine 5'-Diphosphate;Uridine 5'-Diphosphate,IN-CGE-Immature
Purine metabolism (WikiPathways),0.5175482451754825,0.7646068726460687,0.013929521019702244,0.22932572622193526,0.9528714124347076,16,Xanthosine;Inosine;Guanine;Guanosine-5'-Monophosphate;Adenosine;Adenosine 5'-Diphosphate;D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanosine 5'-Diphosphate (Gdp);Xanthine;Adenine;Hypoxanthtine;2'-Deoxyadenosine,IN-CGE-Immature
