pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
GABA metabolism (aka GHB) (WikiPathways),2,10,0.7342034931044302,0.7655290850008317,Γ-Aminobutyric Acid;L-Glutamic Acid,0.9683067924853608,WikiPathways
Histidine metabolism (KEGG),2,10,0.7342034931044302,0.7655290850008317,L-Glutamic Acid;1-Methylhistidine,0.9683067924853608,KEGG
Abacavir ADME (Reactome),1,5,0.7361007611843069,0.7690429784267805,Inosine,0.9683067924853608,Reactome
Abacavir metabolism (Reactome),1,5,0.7361007611843069,0.7690429784267805,Inosine,0.9683067924853608,Reactome
Carnosine metabolism of glial cells (WikiPathways),1,5,0.7361007611843069,0.7690429784267805,Dl-Lactic Acid,0.9683067924853608,WikiPathways
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (Reactome),1,5,0.7361007611843069,0.7690429784267805,Inosine,0.9683067924853608,Reactome
Ethanol effects on histone modifications (WikiPathways),1,5,0.7361007611843069,0.7690429784267805,L-(-)-Methionine,0.9683067924853608,WikiPathways
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",1,5,0.7361007611843069,0.7690429784267805,Dl-Pyroglutamic Acid,0.9683067924853608,WikiPathways
Glutathione conjugation (Reactome),1,5,0.7361007611843069,0.7690429784267805,L-Glutamic Acid,0.9683067924853608,Reactome
Glutathione synthesis and recycling (Reactome),1,5,0.7361007611843069,0.7690429784267805,L-Glutamic Acid,0.9683067924853608,Reactome
MTHFR deficiency (WikiPathways),1,5,0.7361007611843069,0.7690429784267805,L-(-)-Methionine,0.9683067924853608,WikiPathways
Metabolism of folate and pterines (Reactome),1,5,0.7361007611843069,0.7690429784267805,L-Glutamic Acid,0.9683067924853608,Reactome
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway (WikiPathways),1,5,0.7361007611843069,0.7690429784267805,D-Pantothenic Acid,0.9683067924853608,WikiPathways
Nicotinamide salvaging (Reactome),1,5,0.7361007611843069,0.7690429784267805,Pyruvic Acid,0.9683067924853608,Reactome
Pantothenate and CoA Biosynthesis (KEGG),1,5,0.7361007611843069,0.7690429784267805,D-Pantothenic Acid,0.9683067924853608,KEGG
Paracetamol ADME (Reactome),1,5,0.7361007611843069,0.7690429784267805,L-Glutamic Acid,0.9683067924853608,Reactome
Sphingolipid pathway (WikiPathways),1,5,0.7361007611843069,0.7690429784267805,D-Sphingosine,0.9683067924853608,WikiPathways
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),1,5,0.7361007611843069,0.7690429784267805,L-Glutamic Acid,0.9683067924853608,Reactome
Synthesis of UDP-N-acetyl-glucosamine (Reactome),1,5,0.7361007611843069,0.7690429784267805,L-Glutamic Acid,0.9683067924853608,Reactome
Nucleotide catabolism (Reactome),5,25,0.7283454025245694,0.8024774403701656,Pyruvic Acid;Xanthine;Inosine;Dl-Alanine;Guanosine 5'-Diphosphate (Gdp),0.9683067924853608,Reactome
Pyrimidine metabolism and related diseases (WikiPathways),3,16,0.6743697157477959,0.8145656841961699,L-Glutamic Acid;L-Aspartic Acid;L-Ornithine,0.9683067924853608,WikiPathways
Acetylcholine synthesis (WikiPathways),1,6,0.5876595932614543,0.8280374350242875,Pyruvic Acid,0.9683067924853608,WikiPathways
Arachidonic Acid Metabolism (KEGG),1,6,0.5876595932614543,0.8280374350242875,L-Glutamic Acid,0.9683067924853608,KEGG
Diseases of nucleotide metabolism (Reactome),1,6,0.5876595932614543,0.8280374350242875,Inosine,0.9683067924853608,Reactome
Glycine metabolism (WikiPathways),1,6,0.5876595932614543,0.8280374350242875,Pyruvic Acid,0.9683067924853608,WikiPathways
Metabolism of sphingolipids in ER and Golgi apparatus (WikiPathways),1,6,0.5876595932614543,0.8280374350242875,D-Sphingosine,0.9683067924853608,WikiPathways
One-carbon metabolism (WikiPathways),1,6,0.5876595932614543,0.8280374350242875,L-(-)-Methionine,0.9683067924853608,WikiPathways
Role of carnosine in muscle contraction (WikiPathways),1,6,0.5876595932614543,0.8280374350242875,Γ-Aminobutyric Acid,0.9683067924853608,WikiPathways
Sialic acid metabolism (Reactome),1,6,0.5876595932614543,0.8280374350242875,Pyruvic Acid,0.9683067924853608,Reactome
Sphingolipid metabolism overview (WikiPathways),1,6,0.5876595932614543,0.8280374350242875,D-Sphingosine,0.9683067924853608,WikiPathways
Interconversion of nucleotide di- and triphosphates (Reactome),2,12,0.5846364360071374,0.8502823660533767,L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),0.9683067924853608,Reactome
Purine catabolism (Reactome),2,12,0.5846364360071374,0.8502823660533767,Xanthine;Inosine,0.9683067924853608,Reactome
Aspirin ADME (Reactome),1,7,0.48859052453397267,0.8720423745189798,Pyruvic Acid,0.9683067924853608,Reactome
Cell recruitment (pro-inflammatory response) (Reactome),1,7,0.48859052453397267,0.8720423745189798,Guanosine 5'-Diphosphate (Gdp),0.9683067924853608,Reactome
