Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
Υ-L-Glutamyl-L-Glutamic Acid,-0.3576571050137136,19.392860292899933,-2.2159678460063588,0.03642706582364192,0.29722410479670036,-4.243608393701074,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
L-Glutamic Acid,-1.8052529782391513,19.21819065661258,-2.2321070235492084,0.04246058639952863,0.29722410479670036,-4.391694411219319,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
L-Aspartic Acid,0.9315288065382052,18.05227564062134,1.5080331959545397,0.14459791725665613,0.674790280531062,-4.479117748995868,C18-Pos-000393,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
5-Methyl D-Glutamate,-0.14653763616834214,29.254776585367914,-1.3378454609809165,0.1934863110201801,0.6772020885706304,-4.527073234390225,Amide-Pos-000563,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Cysteinylglycine,-0.26929023728697415,17.897387738462033,-0.947140047535406,0.3530069142150971,0.8622685158096021,-4.6198334065898745,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
N-Acetylglutamic Acid,0.18652349298585733,26.74314289764745,0.9145141293861919,0.3695436496326866,0.8622685158096021,-4.626360612452814,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Glycine,-0.19766251559616643,18.323511091278213,-0.67615829790268,0.5054043487315176,0.9215243372442214,-4.667758766959848,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
N-Acetyl-1-Aspartylglutamic Acid,-0.08544366652973832,23.570668976193407,-0.31244940057790477,0.7579333232692675,0.9215243372442214,-4.690862992326504,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Histamine,-0.13503995600835367,18.280519718653387,-0.4889653836919197,0.6293048207623047,0.9215243372442214,-4.692095662083388,Amide-Neg-000145,Amines,Organonitrogen compounds,Higher in Females,
N-Acetyl-L-Aspartic Acid,0.07344446126124239,19.807231740514208,0.3904904839205489,0.6996183623127447,0.9215243372442214,-4.70186793394426,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Dl-Pyroglutamic Acid,0.027943945313105886,29.68323074666641,0.29811555148026037,0.7681805585256447,0.9215243372442214,-4.709085412441406,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Acetylcholine,-0.12064014688199644,25.16911998239261,-0.26946114824996203,0.7898780033521897,0.9215243372442214,-4.710936204087072,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Higher in Females,
N-Acetylglycine,0.03688524594492918,22.65830815018987,0.07965697013973203,0.9371705635435373,0.9469561071291266,-4.718500118593342,Amide-Neg-000219,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
L-Pyroglutamic Acid,-0.01095110848540545,20.13183287022231,-0.0672292853216516,0.9469561071291266,0.9469561071291266,-4.718709016914037,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
