"Name","n_occurrences","compound_ids","is_duplicate"
"Citric Acid",5,"Amide-Neg-000876; Amide-Neg-000877; C18-Neg-000389; C18-Neg-000395; C18-Pos-001083",TRUE
"Dodecyl Sulfate",5,"Amide-Neg-001471; Amide-Neg-001473; C18-Neg-000894; C8-Neg-000223; C8-Neg-000224",TRUE
"Guanine",5,"Amide-Neg-000522; Amide-Pos-000503; Amide-Pos-000504; C18-Pos-000625; C18-Pos-000627",TRUE
"Guanosine-5'-Monophosphate",5,"Amide-Pos-001474; Amide-Pos-001475; C18-Neg-001638; C18-Pos-002454; C18-Pos-002463",TRUE
"L-Histidine",5,"Amide-Neg-000541; Amide-Neg-000545; Amide-Pos-000532; Amide-Pos-000536; C18-Pos-000651",TRUE
"N,N'-Diphenylguanidine",5,"Amide-Pos-000806; Amide-Pos-000807; C18-Pos-001067; C8-Neg-000021; C8-Pos-000039",TRUE
"N-Acetyl-L-Aspartic Acid",5,"Amide-Neg-000557; Amide-Neg-000704; C18-Neg-000290; C18-Neg-000304; C18-Pos-000969",TRUE
"N-Acetylglutamic Acid",5,"Amide-Neg-000663; C18-Neg-000359; C18-Neg-000360; C18-Pos-000761; C18-Pos-000763",TRUE
"N6-Succinyladenosine; Lc-Tdda; Ce10",5,"Amide-Pos-001540; C18-Neg-001738; C18-Neg-001739; C18-Pos-002702; C18-Pos-002703",TRUE
"Spongouridin",5,"Amide-Neg-001329; C18-Neg-000746; C18-Neg-000747; C18-Pos-001317; C18-Pos-001319",TRUE
"Sucrose",5,"Amide-Pos-001481; Amide-Pos-001482; C18-Neg-001505; C18-Pos-002025; C18-Pos-002479",TRUE
"Taurine",5,"Amide-Pos-000156; Amide-Pos-000294; C18-Neg-000042; C18-Pos-000174; C18-Pos-000308",TRUE
"1-Methyladenosine",4,"Amide-Pos-001131; Amide-Pos-001132; C18-Pos-001585; C18-Pos-001589",TRUE
"1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine",4,"Amide-Pos-002309; Amide-Pos-002310; C8-Pos-004400; C8-Pos-004401",TRUE
"1-Palmitoyl-Sn-Glycero-3-Phosphocholine",4,"Amide-Pos-001795; Amide-Pos-001797; C18-Pos-004184; C8-Pos-002038",TRUE
"2'-Deoxyguanosine 5'-Monophosphate (Dgmp)",4,"Amide-Neg-001898; Amide-Neg-001899; C18-Neg-001545; C18-Neg-001546",TRUE
"2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine",4,"Amide-Pos-002276; Amide-Pos-002281; C8-Pos-004118; C8-Pos-004120",TRUE
"4-(Acetylamino)Butanoic Acid",4,"Amide-Neg-000479; Amide-Neg-000480; C18-Neg-000130; C18-Neg-000131",TRUE
"Acetyl-L-Carnitine",4,"Amide-Pos-000754; Amide-Pos-000755; C18-Pos-001003; C18-Pos-001008",TRUE
"Arachidonic Acid",4,"C8-Neg-000422; C8-Neg-000423; C8-Pos-000422; C8-Pos-000424",TRUE
"Choline",4,"Amide-Pos-000097; Amide-Pos-000123; C18-Pos-000039; C18-Pos-000045",TRUE
"Cis-4-Hydroxy-D-Proline",4,"Amide-Neg-000320; Amide-Neg-000324; C18-Pos-000384; C18-Pos-000385",TRUE
"Creatinine",4,"Amide-Pos-000193; Amide-Pos-000382; C18-Pos-000411; C18-Pos-000412",TRUE
"D-(+)-Glucose",4,"Amide-Neg-000605; Amide-Neg-000767; Amide-Neg-000773; C18-Neg-000220",TRUE
"D-(+)-Tryptophan",4,"Amide-Neg-000978; C18-Neg-000507; C18-Pos-001015; C18-Pos-001016",TRUE
"D-Pantothenic Acid",4,"Amide-Neg-001134; C18-Pos-000992; C8-Pos-000078; C8-Pos-000079",TRUE
"Dipropyleneglycol Dibenzoate",4,"C18-Pos-002215; C18-Pos-002216; C8-Pos-000855; C8-Pos-000856",TRUE
"Dl-Dipalmitoylphosphatidylcholine",4,"Amide-Pos-002233; Amide-Pos-002235; C8-Pos-003901; C8-Pos-003910",TRUE
"Glycerol Monopalmitate",4,"C18-Pos-001905; C18-Pos-001908; C8-Pos-000593; C8-Pos-000595",TRUE
"Glycerophosphocholine",4,"Amide-Pos-001017; Amide-Pos-001020; C18-Pos-001397; C18-Pos-001398",TRUE
"Guanosine 5'-Diphosphate (Gdp)",4,"Amide-Neg-002106; Amide-Neg-002109; Amide-Pos-001703; Amide-Pos-001705",TRUE
"Hexanoylcarnitine",4,"Amide-Pos-001033; C18-Pos-001405; C18-Pos-001406; C8-Pos-000266",TRUE
"Inosine-5'-Monophosphate (Imp)",4,"Amide-Neg-001902; Amide-Pos-001412; C18-Pos-002294; C18-Pos-002297",TRUE
"L-Ascorbic Acid",4,"C18-Neg-000313; C18-Neg-000314; C18-Pos-000789; C18-Pos-000790",TRUE
"L-Glutathione Oxidized Hexhydrate",4,"Amide-Neg-002215; Amide-Pos-002035; C18-Pos-001842; C18-Pos-001845",TRUE
"Minoxidil",4,"Amide-Pos-000798; C18-Pos-001062; C8-Pos-000031; C8-Pos-000032",TRUE
"Nicotinamide",4,"Amide-Pos-000278; Amide-Pos-000279; C18-Pos-000285; C18-Pos-000286",TRUE
"Ophthalmate",4,"Amide-Neg-001616; Amide-Pos-001163; C18-Neg-001053; C18-Pos-001672",TRUE
"Palmitoylcarnitine",4,"Amide-Pos-001595; C18-Pos-002929; C8-Pos-001332; C8-Pos-001333",TRUE
"Pe(18:0_20:4)",4,"Amide-Pos-002290; Amide-Pos-002291; C8-Pos-004202; C8-Pos-004204",TRUE
"Peg N5",4,"Amide-Pos-000903; C18-Pos-001271; C18-Pos-001272; C8-Pos-000156",TRUE
"Penicillin G",4,"C18-Pos-002148; C18-Pos-002149; C8-Neg-000565; C8-Pos-000768",TRUE
"Ppg N4",4,"Amide-Pos-000992; C18-Pos-001359; C18-Pos-001360; C8-Pos-000209",TRUE
"Ps 22:5_22:6",4,"C8-Neg-003532; C8-Neg-003533; C8-Pos-005150; C8-Pos-005151",TRUE
"Tetraglyme",4,"Amide-Pos-000835; Amide-Pos-000837; C18-Pos-001141; C18-Pos-001144",TRUE
