Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
Cholest-4-En-3-One,1.223081964780491,C8-Pos-001061,Cholestane steroids,Steroids and steroid derivatives,Cholest-4-En-3-One
Progesterone,1.0580061701958898,C8-Pos-000616,Pregnane steroids,Steroids and steroid derivatives,Progesterone
4-Cholestenone,0.9029345192150101,C8-Pos-001064,Cholestane steroids,Steroids and steroid derivatives,4-Cholestenone
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",0.7545877717443338,C8-Pos-000495,Pregnane steroids,Steroids and steroid derivatives,17-(1-Hydroxyethy...
