pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
Omega-3 / omega-6 fatty acid synthesis (WikiPathways),2,6,4.8800155741352675,0.1040518567487306,"All-Cis-4,7,10,13,16-Docosapentaenoic Acid;Docosahexaenoic Acid",0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
alpha-Linolenic acid metabolism (KEGG),2,6,4.8800155741352675,0.1040518567487306,"All-Cis-4,7,10,13,16-Docosapentaenoic Acid;Docosahexaenoic Acid",0.754054358901193,KEGG,Factor2 top 50 |weight| (all),all,50
Pyrimidine salvage (Reactome),2,7,3.8994899601797877,0.1370084358488823,Pseudouridine;Uridine Monophosphate,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Nucleotide salvage (Reactome),3,16,2.2636313260637366,0.18837045610149697,Adenosine;Pseudouridine;Uridine Monophosphate,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Pyrimidine catabolism (Reactome),2,9,2.777717415575471,0.20806346818397628,Pyruvic Acid;Uridine Monophosphate,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Sphingolipid metabolism: integrated pathway (WikiPathways),2,9,2.777717415575471,0.20806346818397628,N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine;Palmitoyl Sphingomyelin,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
GABA metabolism (aka GHB) (WikiPathways),2,10,2.4266083107505274,0.24496801986189304,N-Acetylputrescine;4-(Acetylamino)Butanoic Acid,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",2,11,2.1531841230147615,0.28215124668732416,Adenosine;Pyruvic Acid,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),2,11,2.1531841230147615,0.28215124668732416,Adenosine;Pseudouridine,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Aerobic glycolysis - augmented (WikiPathways),2,12,1.934423980142771,0.3192331962412456,Pyruvic Acid;Phosphocreatine,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Methionine de novo and salvage pathway (WikiPathways),2,12,1.934423980142771,0.3192331962412456,Adenosine;Pyruvic Acid,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Cysteine and methionine catabolism (WikiPathways),2,13,1.7552359255687369,0.3559011527379471,Adenosine;Pyruvic Acid,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Urea cycle and associated pathways (WikiPathways),2,13,1.7552359255687369,0.3559011527379471,Pyruvic Acid;Uridine Monophosphate,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Biomarkers for pyrimidine metabolism disorders (WikiPathways),2,14,1.6058895782358265,0.39190068294434355,Uridine Monophosphate;Phosphocreatine,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Sulfur amino acid metabolism (Reactome),2,14,1.6058895782358265,0.39190068294434355,Adenosine;Pyruvic Acid,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
15q25 copy number variation (WikiPathways),1,5,2.3972767623794056,0.3949441110510906,Adenosine,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Abacavir ADME (Reactome),1,5,2.3972767623794056,0.3949441110510906,Adenosine,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Abacavir metabolism (Reactome),1,5,2.3972767623794056,0.3949441110510906,Adenosine,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Deadenylation-dependent mRNA decay (Reactome),1,5,2.3972767623794056,0.3949441110510906,Uridine Monophosphate,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Glycolysis in senescence (WikiPathways),1,5,2.3972767623794056,0.3949441110510906,Pyruvic Acid,0.754054358901193,WikiPathways,Factor2 top 50 |weight| (all),all,50
Nicotinamide salvaging (Reactome),1,5,2.3972767623794056,0.3949441110510906,Pyruvic Acid,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Nucleotide salvage defects (Reactome),1,5,2.3972767623794056,0.3949441110510906,Adenosine,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Phenylalanine metabolism (Reactome),1,5,2.3972767623794056,0.3949441110510906,Pyruvic Acid,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Pyrimidine biosynthesis (Reactome),1,5,2.3972767623794056,0.3949441110510906,Uridine Monophosphate,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Serine biosynthesis (Reactome),1,5,2.3972767623794056,0.3949441110510906,Pyruvic Acid,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),1,5,2.3972767623794056,0.3949441110510906,Pyruvic Acid,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
Arginine and proline metabolism (KEGG),2,15,1.4794770176081427,0.4270277271710279,Pyruvic Acid;Phosphocreatine,0.754054358901193,KEGG,Factor2 top 50 |weight| (all),all,50
Synthesis of substrates in N-glycan biosythesis (Reactome),2,15,1.4794770176081427,0.4270277271710279,Pyruvic Acid;Uridine Monophosphate,0.754054358901193,Reactome,Factor2 top 50 |weight| (all),all,50
