pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),3,6,11.239339316509932,0.009824530483028325,Pyruvic Acid;Dl-Lactic Acid;Adenosine Triphosphate (Atp),0.5157878503589871,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),3,6,11.239339316509932,0.009824530483028325,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,0.5157878503589871,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Lactate shuttle in glial cells (WikiPathways),3,7,8.42702463876841,0.016164347515519567,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,0.5379754401375586,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Cori cycle (WikiPathways),3,9,5.607083921350366,0.03431177687001541,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,0.5379754401375586,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Glucuronidation (WikiPathways),3,9,5.607083921350366,0.03431177687001541,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate,0.5379754401375586,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Purinergic signaling (WikiPathways),3,9,5.607083921350366,0.03431177687001541,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);N-Methyl-D-Glucamine,0.5379754401375586,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Amino Sugar Metabolism (KEGG),4,16,3.7887007172192972,0.03996274952332791,Pyruvic Acid;Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate,0.5379754401375586,KEGG,Factor2 top 100 |weight| (positive),positive,100
Galactose Metabolism (KEGG),3,10,4.800673099501529,0.04611218058321931,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate,0.5379754401375586,KEGG,Factor2 top 100 |weight| (positive),positive,100
Krebs cycle disorders (WikiPathways),3,10,4.800673099501529,0.04611218058321931,Pyruvic Acid;Dl-Lactic Acid;Adenosine Triphosphate (Atp),0.5379754401375586,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Deadenylation-dependent mRNA decay (Reactome),2,5,7.337794699586469,0.060837941953771534,Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt,0.5807258095587282,Reactome,Factor2 top 100 |weight| (positive),positive,100
Glycolysis in senescence (WikiPathways),2,5,7.337794699586469,0.060837941953771534,Pyruvic Acid;Dl-Lactic Acid,0.5807258095587282,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Aerobic glycolysis - augmented (WikiPathways),3,12,3.7225014233260736,0.07486485122562005,Pyruvic Acid;Phosphocreatine;Adenosine Triphosphate (Atp),0.6475848576685733,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Disorders of fructose metabolism (WikiPathways),2,6,5.500937065782535,0.08634464768914311,Pyruvic Acid;D-Glucose 6-Phosphate,0.6475848576685733,WikiPathways,Factor2 top 100 |weight| (positive),positive,100
Glycogen metabolism (Reactome),2,6,5.500937065782535,0.08634464768914311,Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt,0.6475848576685733,Reactome,Factor2 top 100 |weight| (positive),positive,100
