pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
Nucleotide salvage defects (Reactome),3,5,6.507578264579217,0.05002196480343972,Adenosine;Adenine;Guanine,0.9504556677776629,Reactome,Factor2 top 100 |weight| (all),all,100
Purinergic signaling (WikiPathways),4,9,3.488762253986327,0.07186710407244917,Adenosine;Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);N-Methyl-D-Glucamine,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),3,6,4.333605674219705,0.0863676261011491,Pyruvic Acid;Dl-Lactic Acid;Adenosine Triphosphate (Atp),0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),3,6,4.333605674219705,0.0863676261011491,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Diseases of nucleotide metabolism (Reactome),3,7,3.245497425318252,0.13069672745269045,Adenosine;Adenine;Guanine,0.9504556677776629,Reactome,Factor2 top 100 |weight| (all),all,100
Lactate shuttle in glial cells (WikiPathways),3,7,3.245497425318252,0.13069672745269045,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Selenocompound metabolism (KEGG),3,7,3.245497425318252,0.13069672745269045,Adenosine;Adenosine Triphosphate (Atp);2-Oxobutanoic Acid,0.9504556677776629,KEGG,Factor2 top 100 |weight| (all),all,100
T cell modulation in pancreatic cancer (WikiPathways),3,7,3.245497425318252,0.13069672745269045,Adenosine;Adenine;Dl-Arginine,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",4,11,2.482640956344134,0.1384896033502024,Adenosine;Pyruvic Acid;2-Oxobutanoic Acid;Histamine,0.9504556677776629,Reactome,Factor2 top 100 |weight| (all),all,100
Nucleotide salvage (Reactome),5,16,1.9778544161894074,0.17091892289095514,Adenosine;Pseudouridine;Uridine Monophosphate;Adenine;Guanine,0.9504556677776629,Reactome,Factor2 top 100 |weight| (all),all,100
Methionine de novo and salvage pathway (WikiPathways),4,12,2.1679640011090817,0.17853334817239289,Adenosine;Pyruvic Acid;Adenosine Triphosphate (Atp);Adenine,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Cori cycle (WikiPathways),3,9,2.1559345659106954,0.23577053239550944,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Glucuronidation (WikiPathways),3,9,2.1559345659106954,0.23577053239550944,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Deadenylation-dependent mRNA decay (Reactome),2,5,2.8631965058275535,0.24287649413822365,Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt,0.9504556677776629,Reactome,Factor2 top 100 |weight| (all),all,100
Glycolysis in senescence (WikiPathways),2,5,2.8631965058275535,0.24287649413822365,Pyruvic Acid;Dl-Lactic Acid,0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
Sulfur amino acid metabolism (Reactome),4,14,1.7270714173432176,0.26777508766866936,Adenosine;Pyruvic Acid;Adenine;2-Oxobutanoic Acid,0.9504556677776629,Reactome,Factor2 top 100 |weight| (all),all,100
Galactose Metabolism (KEGG),3,10,1.844246866040166,0.29281001451125876,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate,0.9504556677776629,KEGG,Factor2 top 100 |weight| (all),all,100
Krebs cycle disorders (WikiPathways),3,10,1.844246866040166,0.29281001451125876,Pyruvic Acid;Dl-Lactic Acid;Adenosine Triphosphate (Atp),0.9504556677776629,WikiPathways,Factor2 top 100 |weight| (all),all,100
