"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"SLC26A3",-3.10525560630996,0.37154154771048,-8.35776140096638,6.91894986400346e-16,0.12680747889377,483,2.53261240821983e-11
"LINC02479",-2.3305649271872,0.28696371077915,-8.1214621906699,3.90470267138057e-15,0.120590850217438,483,7.14638682916072e-11
"PAX3",-1.48845848549337,0.186011130497401,-8.00198612584728,9.23815425796387e-15,0.117482657118071,483,1.1271779948617e-10
"TUBB2A",2.07272445298258,0.315622971799186,6.56708997183305,1.33336394148286e-10,0.0822829157705414,483,6.97235053057694e-07
"PPP1R14B",1.88715639983495,0.286901605828977,6.57771292141141,1.2488513277079e-10,0.082527346648053,483,6.97235053057694e-07
"PET100",1.72871936594272,0.262756829447598,6.57916054770892,1.23774897546359e-10,0.082560676590587,483,6.97235053057694e-07
"CEACAM22P",1.14439644064065,0.172242725064917,6.64409158766697,8.27919941652236e-11,0.0840606709284144,483,6.97235053057694e-07
"F8A1",0.984341045707888,0.152074545904509,6.47275347661389,2.37621699818168e-10,0.0801239529406662,483,1.08723808751803e-06
"RPL18A",2.00002777001614,0.31082480198582,6.43458230243602,2.99640085415218e-10,0.0792564018313342,483,1.21866952072652e-06
"SPRN",1.34045626826233,0.209125877294486,6.40980583371199,3.48110808105312e-10,0.0786951602839522,483,1.27422480198868e-06
"STEAP1B",-1.80441157427766,0.282382128541297,-6.38996378276033,3.92393356848869e-10,0.078246764355615,483,1.30574240309964e-06
"LMOD3",-1.54154816069765,0.242961982479899,-6.34481224166498,5.14728891474863e-10,0.077229984443021,483,1.57009469529549e-06
"RPL29",1.9096417209332,0.305104779976253,6.25897018421619,8.58614244228621e-10,0.0753106738601016,483,2.41759352274957e-06
"RPL36",1.98951326549801,0.319924808996789,6.21869017203344,1.0895117531022e-09,0.0744163615882321,483,2.53852373981752e-06
"ROMO1",1.57534167345551,0.253450097278274,6.21558914505316,1.10961588452301e-09,0.0743476793166345,483,2.53852373981752e-06
"ENSG00000278996",0.806829305824196,0.129451420318344,6.23268021192862,1.00315543307871e-09,0.074726515179721,483,2.53852373981752e-06
"UBL5",1.73933140848556,0.281248543966374,6.18432146867761,1.33370845280285e-09,0.0736565026984913,483,2.87170965919974e-06
"UBC",1.70009273732502,0.275552545333558,6.16975878508779,1.45263783306697e-09,0.0733354314842612,483,2.95401973564352e-06
"POP7",1.46223030177918,0.237867850755303,6.14723804472171,1.6572456064965e-09,0.0728399588405283,483,3.0330909090099e-06
"NDN",1.49607547495233,0.24325225389872,6.15030467744498,1.62781074127833e-09,0.0729073515430789,483,3.0330909090099e-06
"RPS13",1.78645444232979,0.291035783775536,6.13826389028371,1.74640448986802e-09,0.0726428785994436,483,3.04406618795852e-06
"MARCKS",1.48794961526455,0.243023100116126,6.1226674112607,1.9126378352524e-09,0.0723008526028914,483,3.18228160552631e-06
