"gene","estimate","std_error","t_value","p_value","r_squared","n_samples","adj_p_value"
"ENSG00000256083",-0.0927861973008468,0.0125438776300752,-7.39693099989929,6.24989305271449e-13,0.102133840333428,483,2.28771085301561e-08
"IGF2BP1",-0.171499373761431,0.0261380967304286,-6.56128009358006,1.38193143381719e-10,0.0821493443315607,483,2.52921091017223e-06
"XIST",-0.462024280579807,0.0719436507792727,-6.42202995782525,3.23306995966473e-10,0.0789718784755546,483,3.94477642678559e-06
"HMGA2",-0.194112947013014,0.0310486944329335,-6.2518875771832,8.95414709793633e-10,0.0751531302358802,483,8.19394000932153e-06
"ZIC5",-0.0807061004588774,0.0133306094327744,-6.0541943611711,2.84468358150531e-09,0.0708066026665907,483,2.08253595634841e-05
"TSIX",-0.311643503572688,0.0524277445289022,-5.94424777134722,5.34028239839183e-09,0.0684325959268873,483,3.25792828184557e-05
"DIAPH3",-0.220729830827731,0.0375285321303478,-5.88165372578575,7.61142455690745e-09,0.0670951573862718,483,3.59423381770054e-05
"USP9Y",0.29900045078533,0.0508845588791434,5.87605468872179,7.85539026926137e-09,0.0669760273972952,483,3.59423381770054e-05
"COL4A6",-0.169450552394477,0.0291896959059653,-5.8051496302107,1.16886130691763e-08,0.0654746022869404,483,4.75388880871254e-05
"BOC",-0.198577425093385,0.0349143229293221,-5.68756339612743,2.23978452426722e-08,0.0630144728415299,483,8.19850727262774e-05
"UTY",0.281853131864194,0.0497497845716908,5.66541411768399,2.52859072839166e-08,0.0625552718279982,483,8.41423045654985e-05
"ZIC2",-0.0857060833730113,0.0151985111209287,-5.63911048201242,2.91884449208211e-08,0.0620116885289507,483,8.89107447995757e-05
"NLGN4Y",0.286890454419083,0.0510058912743542,5.62465329496814,3.15768681672627e-08,0.061713730532696,483,8.89107447995757e-05
"DDX3Y",0.202414939717652,0.0365512124404666,5.53784474447566,5.04608390462299e-08,0.0599367967738138,483,0.000123137903496547
"TTTY14",0.274423720552549,0.0494754848335378,5.54666056281931,4.81280581891963e-08,0.060116297018399,483,0.000123137903496547
"ENSG00000290853",0.262271958255918,0.047676380510627,5.50108786461795,6.14286826934749e-08,0.0591907272718253,483,0.000134125246856563
"KDM5D",0.212160014713956,0.0385852640589761,5.49847253577629,6.22918040804711e-08,0.0591377872432395,483,0.000134125246856563
"NETO1",0.192445531563852,0.0351855898495574,5.4694416773085,7.2700202712056e-08,0.0585514311086323,483,0.000147839901115117
"AASS",-0.164222687323662,0.0302681498025203,-5.42559384683593,9.16924321831903e-08,0.0576703190308877,483,0.000176647883559658
"ENSG00000288079",-0.0918736400746688,0.0170581986724712,-5.38589342513265,1.12984446701109e-07,0.056877258068454,483,0.00020678413435237
"ENSG00000255206",-0.0964659240446151,0.0182489884971077,-5.28609703819496,1.89906727020438e-07,0.0549036565503557,483,0.0003310164683741
"LIPG",-0.148900748415537,0.0282176778878631,-5.2768604492286,1.99175802236244e-07,0.0547224443213714,483,0.000331392321138886
"HMGA2-AS1",-0.112537717318804,0.0215375657102964,-5.22518277286104,2.59702062496029e-07,0.0537131592492987,483,0.000401570939282339
"ST8SIA3",0.154749839821329,0.0296314046809438,5.22249422488058,2.63296430520602e-07,0.0536608640221227,483,0.000401570939282339
"COL4A5",-0.184890525197192,0.0355758846253016,-5.19707456735165,2.99750490538157e-07,0.0531674694851761,483,0.000438882678226348
"RAB27B",0.180434242236318,0.03501073228956,5.15368375457037,3.73560154729544e-07,0.0523296405688712,483,0.000525915227066163
"LPAR4",-0.0971910693905215,0.019063543216559,-5.09826889400599,4.93722817373193e-07,0.05126772807369,483,0.000669341852115865
