Factor,Hormone,rho,pval,padj
Factor1,E2,0.010728402032749858,0.9622067945199977,0.9622067945199977
Factor2,E2,-0.09768492377188027,0.665396407532203,0.7913007765859333
Factor3,E2,0.3020892151326933,0.17181616844364928,0.40041351355665206
Factor4,E2,-0.18690005646527386,0.40493287244281206,0.5521811896947437
Factor5,E2,0.3201581027667984,0.14634150378329006,0.40041351355665206
Factor1,TT,0.3332388764522157,0.12964769833750853,0.40041351355665206
Factor2,TT,0.027191366654955102,0.9043913915577544,0.9622067945199977
Factor3,TT,0.2562930942158534,0.24960504486804994,0.41600840811341655
Factor4,TT,-0.09140927513793418,0.6857940063744756,0.7913007765859333
Factor5,TT,-0.3772078948729942,0.08352672538742917,0.40041351355665206
Factor1,P4,-0.28853754940711457,0.19282461005168688,0.40041351355665206
Factor2,P4,-0.2761151891586674,0.2135538738968811,0.40041351355665206
Factor3,P4,0.34613212874082433,0.11457327031669742,0.40041351355665206
Factor4,P4,-0.19819311123658948,0.3766085869146162,0.5521811896947437
Factor5,P4,0.3190287972896668,0.14785060434145594,0.40041351355665206
