Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
N-Acetyl-Dl-Aspartic Acid,-1.506142770975393,20.982207323706632,-2.9187348870471435,0.007536284183168019,0.10550797856435226,-2.4026197372004887,C18-Neg-000104,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
N-Methylglutamic Acid,-0.9688164304143874,23.69868412465147,-1.7597549551232992,0.09123256189957779,0.6386279332970446,-4.445236344256372,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
N-Acetylglycine,0.582910621622663,23.859926028087717,1.3973535737618006,0.1751332440469881,0.8172884722192778,-4.9339446923722665,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
L-Aspartic Acid,0.12345984153607759,21.679427823836313,1.1739028579424824,0.2519882174137476,0.8819587609481166,-5.188341204315641,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
5-Methyl D-Glutamate,-0.37617895496138737,15.993029599877216,-0.8747613888197485,0.3904014003907438,0.8819720547637501,-5.466726642506369,Amide-Pos-000168,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
N-Acetyl-1-Aspartylglutamic Acid,0.270648738022339,16.715881333883218,0.6737821807877262,0.5085968503701229,0.8819720547637501,-5.50723257795004,Amide-Pos-000163,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
Dl-Pyroglutamic Acid,-0.05765399034162062,19.835307390629534,-0.6713063044604001,0.5084560259860678,0.8819720547637501,-5.612550421700543,Amide-Pos-000342,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Acetylcholine,-0.2806075120471377,17.454440692206745,-0.5812778295270496,0.5669820352052679,0.8819720547637501,-5.622818945548543,Amide-Pos-000059,Quaternary ammonium salts,Organonitrogen compounds,Higher in Females,
L-Glutamic Acid,-0.18598592079500983,19.386823751737797,-0.6093370816870447,0.5480447558699852,0.8819720547637501,-5.6496642131733665,Amide-Pos-000054,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
N-Acetyl-Dl-Glutamic Acid,0.02030681340697196,20.892250901913247,0.058197356737546356,0.9542730777279298,0.9542730777279298,-5.666824324446872,C18-Neg-000066,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
N-Ethylglycine,0.08070334915135267,22.951899870755224,0.4294125778992055,0.6716321153389246,0.9402849614744945,-5.717506579068199,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
L-Γ-Glutamyl-L-Glutamic Acid,0.06607478426759177,20.8219469777408,0.1270182982146088,0.9001386729063379,0.9542730777279298,-5.75571317293661,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
N-Acetylaspartic Acid,-0.050493049423631024,20.77314082475326,-0.25771759636730185,0.798828802938285,0.9542730777279298,-5.793476603274344,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Υ-L-Glutamyl-L-Glutamic Acid,-0.03626467987854463,17.841255290131368,-0.1193392333479085,0.9060030883126843,0.9542730777279298,-5.8182876977960944,Amide-Pos-000489,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
