Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
Glycine,Amide-Neg-000011,85,0.47048642205878966,18.422342349076295,18.22467983348013,-0.01556303783646986,0.8867609010362524,1,FALSE,FALSE,Higher in Females,Glycine
Histamine,Amide-Neg-000145,80,0.6650055421020291,18.348039696657565,18.21299974064921,-0.010657375380912321,0.9309874465595671,1,FALSE,FALSE,Higher in Females,Histamine
N-Acetylglycine,Amide-Neg-000219,69,0.8852339144732017,22.639865527217406,22.67675077316234,0.0023485501567718937,0.9309874465595671,1,FALSE,FALSE,Higher in Males,N-Acetylglycine
Dl-Pyroglutamic Acid,Amide-Neg-000291,77,0.7950121719642382,29.669258774009858,29.697202719322966,0.0013581605940249238,0.9309874465595671,1,FALSE,FALSE,Higher in Males,Dl-Pyroglutamic Acid
N-Acetyl-L-Aspartic Acid,Amide-Neg-000557,74,0.9309874465595671,19.770509509883585,19.84395397114483,0.005349464419454989,0.9309874465595671,1,FALSE,FALSE,Higher in Males,N-Acetyl-L-Aspart...
L-Pyroglutamic Acid,Amide-Pos-000317,54,0.3123214216762162,20.137308424465015,20.12635731597961,-7.847825081580929e-4,0.7287499839111712,1,FALSE,FALSE,Higher in Females,L-Pyroglutamic Acid
L-Glutamic Acid,Amide-Pos-000319,39,0.06121463495460201,20.249763787034954,18.444510808795805,-0.13471355317381212,0.4285024446822141,0.8570048893644282,FALSE,FALSE,Higher in Females,L-Glutamic Acid
Acetylcholine,Amide-Pos-000467,74,0.9309874465595671,25.229440055833606,25.10879990895161,-0.006915111652017038,0.9309874465595671,1,FALSE,FALSE,Higher in Females,Acetylcholine
5-Methyl D-Glutamate,Amide-Pos-000563,97,0.1572127533400039,29.328045403452084,29.18150776728374,-0.007226497266654972,0.7287499839111712,1,FALSE,FALSE,Higher in Females,5-Methyl D-Glutamate
Cysteinylglycine,Amide-Pos-000635,84,0.5067205148778585,18.03203285710552,17.762742619818546,-0.02170769418112579,0.8867609010362524,1,FALSE,FALSE,Higher in Females,Cysteinylglycine
Υ-L-Glutamyl-L-Glutamic Acid,Amide-Pos-001105,108,0.040404119588223736,19.57168884540679,19.214031740393075,-0.0266079758310367,0.4285024446822141,0.5656576742351322,FALSE,FALSE,Higher in Females,Υ-L-Glutamyl-L-Gl...
L-Aspartic Acid,C18-Pos-000393,52,0.26023620261718894,17.586511237352237,18.518040043890444,0.07446209790096212,0.7287499839111712,1,FALSE,FALSE,Higher in Males,L-Aspartic Acid
N-Acetylglutamic Acid,C18-Pos-000763,53,0.28547630885188235,26.649881151154517,26.83640464414038,0.010062303082246763,0.7287499839111712,1,FALSE,FALSE,Higher in Males,N-Acetylglutamic ...
N-Acetyl-1-Aspartylglutamic Acid,C18-Pos-001811,57,0.6231762238821174,23.613390809458274,23.527947142928536,-0.005229774729292065,0.9309874465595671,1,FALSE,FALSE,Higher in Females,N-Acetyl-1-Aspart...
