Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
N-Acetylaspartic Acid,Amide-Neg-000009,86,0.4357306600317366,20.798387349465074,20.747894300041445,-0.003506745007097121,0.7882319120322244,1,FALSE,FALSE,Higher in Females,N-Acetylaspartic ...
L-Aspartic Acid,Amide-Neg-000085,46,0.14095521914437142,21.617697903068276,21.741157744604354,0.008215871006746525,0.6577910226737333,1,FALSE,FALSE,Higher in Males,L-Aspartic Acid
N-Acetylglycine,Amide-Neg-000212,63,0.623604884395689,23.568470717276384,24.15138133889905,0.03524755664646725,0.8730468381539644,1,FALSE,FALSE,Higher in Males,N-Acetylglycine
N-Ethylglycine,Amide-Neg-000343,48,0.28145768484462175,22.91330261681327,22.994005965964625,0.005072414181464917,0.7882319120322244,1,FALSE,FALSE,Higher in Males,N-Ethylglycine
N-Methylglutamic Acid,Amide-Neg-000401,100,0.11235119769046396,24.183092339858664,23.21427590944428,-0.05898645502133667,0.6577910226737333,1,FALSE,FALSE,Higher in Females,N-Methylglutamic ...
L-Γ-Glutamyl-L-Glutamic Acid,Amide-Neg-000611,57,0.915878445665947,20.790482794756233,20.856557579023825,0.0045777967758206225,0.9309874465595671,1,FALSE,FALSE,Higher in Males,L-Γ-Glutamyl-L-Gl...
L-Glutamic Acid,Amide-Pos-000054,84,0.5067205148778585,19.4798167121353,19.293830791340294,-0.013840483977737386,0.7882319120322244,1,FALSE,FALSE,Higher in Females,L-Glutamic Acid
Acetylcholine,Amide-Pos-000059,64,0.8174832600706254,17.581989561319084,17.301382049271943,-0.023211047540676065,0.9309874465595671,1,FALSE,FALSE,Higher in Females,Acetylcholine
N-Acetyl-1-Aspartylglutamic Acid,Amide-Pos-000163,36,0.48766835345893056,16.587679300083163,16.8583280381055,0.02334940080369141,0.7882319120322244,1,FALSE,FALSE,Higher in Males,N-Acetyl-1-Aspart...
5-Methyl D-Glutamate,Amide-Pos-000168,87,0.40250382378200356,16.18111907735791,15.804940122396523,-0.033935817670416694,0.7882319120322244,1,FALSE,FALSE,Higher in Females,5-Methyl D-Glutamate
Dl-Pyroglutamic Acid,Amide-Pos-000342,91,0.28547630885188235,19.864134385800345,19.806480395458724,-0.004193390244762141,0.7882319120322244,1,FALSE,FALSE,Higher in Females,Dl-Pyroglutamic Acid
Υ-L-Glutamyl-L-Glutamic Acid,Amide-Pos-000489,74,0.9309874465595671,17.85938763007064,17.823122950192097,-0.0029324669695455336,0.9309874465595671,1,FALSE,FALSE,Higher in Females,Υ-L-Glutamyl-L-Gl...
N-Acetyl-Dl-Glutamic Acid,C18-Neg-000066,32,0.7362769783410712,20.882694754427614,20.903001567834586,0.0014022282208195457,0.9309874465595671,1,FALSE,FALSE,Higher in Males,N-Acetyl-Dl-Gluta...
N-Acetyl-Dl-Aspartic Acid,C18-Neg-000104,112,0.022576062523133586,21.73527870919433,20.22913593821894,-0.10360389693073807,0.3160648753238702,0.3160648753238702,FALSE,FALSE,Higher in Females,N-Acetyl-Dl-Aspar...
