Name,VIP_predictive,Compound.ID,Sub.Class,Class,Name_display
N-Acetyl-Dl-Aspartic Acid,2.1681674692428023,C18-Neg-000104,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Aspar...
Acetylcholine,1.581491295078224,Amide-Pos-000059,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
N-Methylglutamic Acid,1.4074073942583867,Amide-Neg-000401,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Methylglutamic ...
L-Aspartic Acid,1.3676514064552676,Amide-Neg-000085,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Aspartic Acid
L-Γ-Glutamyl-L-Glutamic Acid,0.8498210039301978,Amide-Neg-000611,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Γ-Glutamyl-L-Gl...
N-Acetylglycine,0.7884883615812198,Amide-Neg-000212,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylglycine
N-Ethylglycine,0.693618911759493,Amide-Neg-000343,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Ethylglycine
Dl-Pyroglutamic Acid,0.6796667768661293,Amide-Pos-000342,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
5-Methyl D-Glutamate,0.49882967462607175,Amide-Pos-000168,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,5-Methyl D-Glutamate
L-Glutamic Acid,0.40483505796451136,Amide-Pos-000054,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Glutamic Acid
N-Acetyl-Dl-Glutamic Acid,0.3594552396835234,C18-Neg-000066,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-Dl-Gluta...
N-Acetylaspartic Acid,0.2554149661469368,Amide-Neg-000009,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetylaspartic ...
N-Acetyl-1-Aspartylglutamic Acid,0.22056509685703982,Amide-Pos-000163,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-1-Aspart...
Υ-L-Glutamyl-L-Glutamic Acid,0.06236268000026889,Amide-Pos-000489,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
