truncated_label,full_label
Quaternary ammoni...,Quaternary ammonium salts
Purines and purin...,Purines and purine derivatives
Glycerophosphocho...,Glycerophosphocholines
Alpha hydroxy aci...,Alpha hydroxy acids and derivatives
Alpha-keto acids ...,Alpha-keto acids and derivatives
Organosulfonic ac...,Organosulfonic acids and derivatives
Glycerophosphoser...,Glycerophosphoserines
"Amino acids, pept...","Amino acids, peptides, and analogues"
Glycerophosphoeth...,Glycerophosphoethanolamines
Glycerophosphoino...,Glycerophosphoinositols
Purine ribonucleo...,Purine ribonucleotides
