truncated_label,full_label
Organic nitrogen ...,Organic nitrogen compounds
Lipids and lipid-...,Lipids and lipid-like molecules
Organoheterocycli...,Organoheterocyclic compounds
Organic acids and...,Organic acids and derivatives
"Nucleosides, nucl...","Nucleosides, nucleotides, and analogues"
Organic oxygen co...,Organic oxygen compounds
Phenylpropanoids ...,Phenylpropanoids and polyketides
Alkaloids and der...,Alkaloids and derivatives
