truncated_label,full_label
Quaternary ammoni...,Quaternary ammonium salts
Purines and purin...,Purines and purine derivatives
Glycerophosphocho...,Glycerophosphocholines
Alpha-keto acids ...,Alpha-keto acids and derivatives
Alpha hydroxy aci...,Alpha hydroxy acids and derivatives
Organosulfonic ac...,Organosulfonic acids and derivatives
Glycerophosphoser...,Glycerophosphoserines
Glycerophosphoeth...,Glycerophosphoethanolamines
"Amino acids, pept...","Amino acids, peptides, and analogues"
Glycerophosphoino...,Glycerophosphoinositols
Purine ribonucleo...,Purine ribonucleotides
