Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",Amide-Pos-002307,11,0.3298591946554766,23.91540780652497,24.357443891953004,0.026422350096580317,0.9729425037266315,1,FALSE,FALSE,Higher in Males,"1,2-Dioleoyl-Sn-G..."
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,Amide-Pos-002309,101,0.09987740276926413,21.675895437077347,21.41088043849399,-0.017747470679621066,0.932189092513132,1,FALSE,FALSE,Higher in Females,1-Octadecanoyl-2-...
L-Aspartic Acid,C18-Pos-000393,77,0.7950121719642382,21.398987832203776,21.397612815483928,-9.27050173857655e-5,0.979836634630004,1,FALSE,FALSE,Higher in Females,L-Aspartic Acid
L-Phenylalanine,C18-Pos-000721,51,0.37217143978212575,26.005434737741307,26.062803140916206,0.003179102947477137,0.9729425037266315,1,FALSE,FALSE,Higher in Males,L-Phenylalanine
N-Acetylglutamic Acid,C18-Pos-000763,84,0.5067205148778585,25.571061782888183,25.457876370258944,-0.006399988210618545,0.9729425037266315,1,FALSE,FALSE,Higher in Females,N-Acetylglutamic ...
L-Tyrosine,C18-Pos-000832,84,0.5067205148778585,21.324900743548596,21.20625096007577,-0.008049436303622828,0.9729425037266315,1,FALSE,FALSE,Higher in Females,L-Tyrosine
D-(+)-Tryptophan,C18-Pos-001015,62,0.5833604667027033,22.391134541932875,22.70008124672062,0.019769830815587783,0.9729425037266315,1,FALSE,FALSE,Higher in Males,D-(+)-Tryptophan
L-Kynurenine,C18-Pos-001046,56,0.648503379652976,21.061212725206996,20.871292152911057,-0.013068589257619445,0.9729425037266315,1,FALSE,FALSE,Higher in Females,L-Kynurenine
Methyl L-Tryptophanate,C18-Pos-001113,44,1,24.988155562434414,24.854775256005365,-0.007721358387476021,1,1,FALSE,FALSE,Higher in Females,Methyl L-Tryptoph...
Phenylacetylglutamine,C18-Pos-001439,106,0.05309795728558344,21.465430446397644,21.250819397395745,-0.014496633125801045,0.6023817952588609,1,FALSE,FALSE,Higher in Females,Phenylacetylgluta...
