Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Sub.Class,Class,Direction,FDR_label
Tryptophan,0.6011070510396067,18.25724756459248,2.6478849535116367,0.013947702588756796,0.7810713449703806,-4.140063917481629,Amide-Pos-000761,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Higher in Males,
5'-S-Methyl-5'-Thioadenosine,-0.39230135613869654,18.45047300561391,-1.8632830227096373,0.07612773894392356,0.847305629111459,-4.415449482083122,C8-Pos-000483,5'-deoxy-5'-thionucleosides,5'-deoxyribonucleosides,Higher in Females,
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,-0.2650149985833586,21.543387937785667,-1.6580585988695444,0.1100461364970041,0.847305629111459,-4.450852252920515,Amide-Pos-002309,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
Phenylacetylglutamine,-0.21461104900190253,21.358124921896696,-1.6462944784163058,0.11246240420444745,0.847305629111459,-4.454094455642236,C18-Pos-001439,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Histamine,-1.2544627736080893,15.919690361591458,-2.0132952087668143,0.06443545468336992,0.847305629111459,-4.461264758478253,Amide-Neg-000145,Amines,Organonitrogen compounds,Higher in Females,
N-Acetyl-L-Aspartic Acid,0.41440090960627585,22.4089838676188,1.7690479259543777,0.09429074232216637,0.847305629111459,-4.467426042649226,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
N-Acetyl-1-Aspartylglutamic Acid,-0.3283436175282583,23.03403445079477,-1.5656616373502719,0.1302438981656273,0.847305629111459,-4.475912672936889,C18-Pos-001811,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Cysteinylglycine,1.4609733440438355,26.106319449880782,1.4257688738428247,0.1665427557095324,0.847305629111459,-4.511984515805363,Amide-Pos-000635,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
L-Glutamine,-0.2516941683109026,18.28718261719877,-1.3741434876171128,0.1818289063973025,0.847305629111459,-4.5246854013984725,Amide-Neg-000486,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.44203608542802714,24.17326218969132,1.630394991177902,0.1279041421189997,0.847305629111459,-4.5252449741450835,Amide-Pos-002307,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
Cytidine 5'-Diphosphocholine,0.33178108430836195,22.71477785151733,1.3666806475388642,0.18583558511201875,0.847305629111459,-4.5332145292293475,Amide-Pos-001779,Pyrimidine ribonucleotides,Pyrimidine nucleotides,Higher in Males,
1-Oleoyl-Sn-Glycero-3-Phosphocholine,0.4604377795277207,17.95259661167648,1.3028029298792028,0.20474542967110246,0.847305629111459,-4.5416608072693245,C18-Pos-004585,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
Adenosine,0.45552809561026386,18.06710546842314,1.2758134769825502,0.21447811891769186,0.847305629111459,-4.549290469105451,Amide-Pos-001066,NA,Purine nucleosides,Higher in Males,
1-(1z-Octadecenyl)-2-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine,-0.32559519373253554,19.987234976457785,-1.2858344059231306,0.2121654207361511,0.847305629111459,-4.5500933536359724,C8-Pos-004250,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0.589142923900184,16.717613789506146,1.1949801968081024,0.24352562899414715,0.847305629111459,-4.565985239688829,C8-Pos-004099,Glycerophosphocholines,Glycerophospholipids,Higher in Males,
L-Glutamic Acid,-0.6297234818838163,33.664814276825474,-1.1550318777151793,0.2607421692891888,0.847305629111459,-4.575761220284178,Amide-Pos-000319,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
D-(+)-Tryptophan,0.3089467047877456,22.54560789432675,1.1354109925351341,0.2671802922155566,0.847305629111459,-4.5787030423066986,C18-Pos-001015,Indolyl carboxylic acids and derivatives,Indoles and derivatives,Higher in Males,
Glycerophosphocholine,-0.2540876521392341,20.765941570468925,-1.1229165095867888,0.27234823792868323,0.847305629111459,-4.581303266395552,Amide-Pos-001017,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
Υ-L-Glutamyl-L-Glutamic Acid,-0.3559949326941052,16.710951181611996,-1.057381093962411,0.3020636589005824,0.8495772738187187,-4.5935065730580025,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
Choline,-0.32773750354204345,20.24258237283656,-0.9910109476970209,0.33135977289506147,0.8495772738187187,-4.6072791473899075,Amide-Pos-000097,Quaternary ammonium salts,Organonitrogen compounds,Higher in Females,
1-Methyladenosine,0.22101040663033986,19.956579850031066,0.98773771660574206,0.33292856621820954,0.8495772738187187,-4.607888635453782,Amide-Pos-001132,NA,Purine nucleosides,Higher in Males,
Acetyl-Β-Methylcholine,-0.26929023728697554,17.897387738462033,-0.9491436657311569,0.35180952049182823,0.8495772738187187,-4.61494330042105,Amide-Pos-000561,Quaternary ammonium salts,Organonitrogen compounds,Higher in Females,
N-Acetylglutamic Acid,-0.11318541262924263,25.514469076573562,-0.9291290516318261,0.36187957194556897,0.8495772738187187,-4.618505318764888,C18-Pos-000763,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Females,
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",-0.5015533002257477,18.568981758486938,-0.823496808034972,0.4201736018577725,0.8495772738187187,-4.626972841735296,C8-Pos-004336,Glycerophosphocholines,Glycerophospholipids,Higher in Females,
N6-Succinyladenosine; Lc-Tdda; Ce10,-0.10366394813017708,16.04303739191941,-0.8075277805777498,0.42745433348672246,0.8495772738187187,-4.636693908607615,C18-Pos-002703,NA,Purine nucleosides,Higher in Females,
Dl-Glutamine,0.28430039940500623,21.014850792745293,0.7363057538420433,0.47030170514964786,0.8495772738187187,-4.637763913094249,Amide-Pos-000475,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Higher in Males,
