Name,VIP_comp1,Compound.ID,Sub.Class,Class,Name_display
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.7748823271181313,Amide-Pos-002307,Glycerophosphocholines,Glycerophospholipids,"1,2-Dioleoyl-Sn-G..."
Histamine,0.7633882841000099,Amide-Neg-000145,Amines,Organonitrogen compounds,Histamine
Glycine,0.757983815685765,Amide-Neg-000011,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Glycine
Dl-Glutamine,0.7578253616013809,Amide-Pos-000475,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Glutamine
L-Pyroglutamic Acid,0.705034074481388,Amide-Pos-000317,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Pyroglutamic Acid
"1,2-Dipentadecanoyl-Sn-Glycero-3-Phosphocholine",0.6884535181403826,Amide-Pos-002176,Glycerophosphocholines,Glycerophospholipids,"1,2-Dipentadecano..."
Acetylcholine,0.6755065868196698,Amide-Pos-000467,Quaternary ammonium salts,Organonitrogen compounds,Acetylcholine
Adenosine 3'5'-Cyclic Monophosphate,0.6610881897266998,C18-Pos-002092,Cyclic purine nucleotides,Purine nucleotides,Adenosine 3'5'-Cy...
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0.6316039412891244,C8-Pos-004574,Glycerophosphocholines,Glycerophospholipids,1-Palmitoyl-2-Doc...
L-Tyrosine,0.5835901097165888,C18-Pos-000832,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,L-Tyrosine
Dl-Dipalmitoylphosphatidylcholine,0.5819728235937895,C8-Pos-003901,Glycerophosphocholines,Glycerophospholipids,Dl-Dipalmitoylpho...
D-Phenylalanine,0.5574409514448545,Amide-Pos-000583,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,D-Phenylalanine
Υ-L-Glutamyl-L-Glutamic Acid,0.5305806120887793,Amide-Pos-001105,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Υ-L-Glutamyl-L-Gl...
N-Acetyl-L-Aspartic Acid,0.5145362749196594,Amide-Neg-000557,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,N-Acetyl-L-Aspart...
Dl-Pyroglutamic Acid,0.4347116738685015,Amide-Neg-000291,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Dl-Pyroglutamic Acid
2-(Alpha-D-Mannopyranosyl)-L-Tryptophan,0.40076087878442496,C18-Pos-002507,Indolyl carboxylic acids and derivatives,Indoles and derivatives,2-(Alpha-D-Mannop...
