pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),0.006297872340425532,0.7477575757575758,0.23835292164691088,-0.7061243313858196,-1.7328405971622916,9,"Citric Acid;L-Glutamine;L-Malic Acid;L-Glutamic Acid;Phosphoserine;D,L-Serine","Sex (limma t-statistic, positive = higher in males)",WikiPathways
Diseases of nucleotide metabolism (Reactome),0.009082217973231358,0.7477575757575758,0.23514199556110812,0.7591608933772622,1.824191608143686,7,Inosine;Hypoxanthtine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
T cell modulation in pancreatic cancer (WikiPathways),0.01410133843212237,0.7477575757575758,0.18806904097584987,0.7283762677312368,1.7502190731340124,7,Tryptophan;Adenosine;D-(+)-Tryptophan,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Purine catabolism (Reactome),0.015030303030303031,0.7477575757575758,0.183397180948084,0.5852802390444811,1.707974568259567,13,Inosine;Hypoxanthtine;D-Ribose 5-Phosphate;Adenosine;Xanthine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),0.021776702385067404,0.8254407189768406,0.12797030576243018,-0.735373300319314,-1.5804669494074095,6,Citric Acid;L-Malic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Organic anion transporters (Reactome),0.02488765986864846,0.8254407189768406,0.1195664178161683,-0.7278339542239973,-1.5642633595862698,6,Citric Acid;L-Malic Acid;L-Glutamic Acid,"Sex (limma t-statistic, positive = higher in males)",Reactome
Urea cycle and associated pathways (WikiPathways),0.02943678747660371,0.8368458154063054,0.10889328195117924,-0.5764649309062774,-1.5770131279304709,13,Uridine;L-Glutamine;L-Malic Acid;L-Glutamic Acid;Uridine Monophosphate;N-Acetylglutamic Acid,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
Fructose and mannose metabolism (KEGG),0.048644724104549855,0.8758892471467322,0.10086002509815216,0.628418304181075,1.5769276216173114,8,D-Mannitol 1-Phosphate;Guanosine-5'-Triphosphate;D-(-)-Mannitol;D-Glucose,"Sex (limma t-statistic, positive = higher in males)",KEGG
Purine salvage (Reactome),0.0526188166828322,0.8758892471467322,0.09698231774198937,0.5755564302515057,1.5456160421833838,10,Inosine;Hypoxanthtine;Adenosine,"Sex (limma t-statistic, positive = higher in males)",Reactome
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),0.054304863378587385,0.8758892471467322,0.07993070157109763,-0.6476198532980725,-1.4623982778313633,7,Citric Acid;L-Malic Acid;L-Glutamic Acid;L-Histidine,"Sex (limma t-statistic, positive = higher in males)",WikiPathways
