pathway,cluster
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),1
Diseases of nucleotide metabolism (Reactome),2
Fructose and mannose metabolism (KEGG),3
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),4
Organic anion transporters (Reactome),5
Purine catabolism (Reactome),6
T cell modulation in pancreatic cancer (WikiPathways),7
Urea cycle and associated pathways (WikiPathways),8
