Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Pc(6:0_17:0cho),0.8821405367108346,16.78792622590656,3.8134472623881717,0.0010137798236740513,0.532234407428877,-3.8295370847607635,C8-Pos-003127,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
D-Mannitol 1-Phosphate,0.514399338245014,20.469423679897783,3.1034552337799735,0.0048467132608343505,0.8715313390450269,-3.9476079648569997,Amide-Neg-001445,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
2-Methylsuccinic Acid,-0.9573917542199216,22.59020842644813,-3.044568271345784,0.005945640983968818,0.8715313390450269,-4.028806696263059,Amide-Neg-000333,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
Inosine,0.5742903950769428,20.38973336867576,2.7738191639411682,0.01054994026359619,0.9033210666567656,-4.066942712134013,Amide-Pos-001079,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Higher in Males,
Pc(11:2cho_11:2),0.29863938879499446,21.772636080682428,2.763413788053113,0.010806994291230361,0.9033210666567656,-4.070696982643038,C8-Pos-002985,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Tryptophan,0.6011070510396067,18.25724756459248,2.649164046384105,0.01404617140598279,0.9033210666567656,-4.111794681343984,Amide-Pos-000761,Organoheterocyclic compounds,Indoles and derivatives,Higher in Males,
Lpe 22:3,0.29957562814850797,19.68673610326106,2.5972402461370834,0.015801809338709248,0.9033210666567656,-4.130379259307129,C8-Pos-002412,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
(2r)-3-Hydroxyisovaleroylcarnitine,-1.1571902345226521,16.269157944932378,-2.495018699010679,0.01987226702236819,0.9033210666567656,-4.166742998103052,C18-Pos-001425,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
Gln-Gly-Ile,0.7223882190591326,19.21632448794187,2.5479044493997565,0.017981331136914178,0.9033210666567656,-4.167117049314613,C18-Pos-001951,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Tg(5:0_10:0_6:1cho),0.19913062623425984,25.934231050445256,2.409055690110539,0.024027321508273095,0.9033210666567656,-4.197042873143785,C8-Pos-001736,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Tg(28:6_14:3cho),1.5313661911776824,17.646707660287838,3.1474010406846826,0.006640238773676395,0.8715313390450269,-4.213190102958696,C8-Pos-003929,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Miltefosine,0.2866857227486181,23.956055354033825,2.354527045571934,0.02706371495046828,0.9033210666567656,-4.2161051142055594,C8-Pos-001413,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
Phloretic Acid,-0.38640595324721383,23.480866828051106,-2.428448883759825,0.023790446302512966,0.9033210666567656,-4.225854438718693,C18-Pos-000567,Phenylpropanoids and polyketides,Phenylpropanoic acids,Higher in Females,
Lhnfrfaovvpesm-Crgcijnfna-N,-0.357657105013715,19.392860292899933,-2.2058930940926045,0.03720994869681795,0.9033210666567656,-4.267320207866567,Amide-Pos-001042,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
N-Acetyl-L-Methionine,-0.8639336798164168,21.084548384610773,-2.3910638341837456,0.026745430279639576,0.9033210666567656,-4.270863390879205,Amide-Neg-000866,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Pe(19:1cooh_28:3),0.3802323932247172,18.07582139555749,2.1429096724295404,0.04246616234007472,0.9033210666567656,-4.288642345570643,C8-Neg-003656,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pc(28:1_21:0cooh),0.8731785739013007,16.53015478842977,2.0442078560655976,0.05205232066443182,0.9033210666567656,-4.321527217102381,C8-Pos-005741,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Pg(O-29:8_21:6),-0.937729932033998,16.31753860847333,-2.02117255437497,0.054549784883621125,0.9033210666567656,-4.329101061873839,C8-Pos-005548,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Pe 16:0_18:1,-0.5174410333229869,19.92711281894775,-2.0044882771240635,0.05642446392595524,0.9033210666567656,-4.3345614659614675,C8-Pos-003759,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
3-Hydroxystigmast-5-En-7-One,0.3333411497894018,22.086707156812157,2.470378521130606,0.025976467523199317,0.9033210666567656,-4.3484530788965525,C8-Pos-001621,Lipids and lipid-like molecules,Steroids and steroid derivatives,Higher in Males,
D-Gluconic Acid,-0.8579988245866391,16.694907513705722,-1.9404901174184055,0.0641541393174055,0.9033210666567656,-4.355301415282862,Amide-Neg-000920,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
D-Panthenol,-0.2851183424953332,26.95235417491872,-2.034488781130707,0.05472239993846889,0.9033210666567656,-4.359999024355728,C18-Pos-001025,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
N-Methyl-D-Glucamine,0.5186705423013156,16.451550792561605,1.930215593173852,0.06600023033602959,0.9033210666567656,-4.367725753397527,Amide-Pos-000715,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Ps(18:0_24:6),-0.26270511011790365,25.329120919366712,-1.897585008278839,0.06984314322739672,0.9033210666567656,-4.369014448976697,C8-Neg-003479,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Dg(3:0_15:0),0.20619742961469678,25.483725451111447,1.8884460813014516,0.07111031654372416,0.9033210666567656,-4.371914660915463,C8-Pos-001241,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Citric Acid,-0.5202717737375592,21.073538022636047,-1.9359589691968815,0.06582425263109835,0.9033210666567656,-4.374682957087349,Amide-Neg-000876,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
2-Arachidonoyl Glycerol,-0.21141264522810488,21.329518121718134,-1.8625328277352142,0.07481286528160346,0.9033210666567656,-4.380097481013168,C8-Pos-001012,Lipids and lipid-like molecules,Endocannabinoids,Higher in Females,
Xanthosine 5'-Monophosphate,0.6596906283662214,23.22657976124057,1.8501676315419895,0.07717688649630966,0.9033210666567656,-4.391992912878384,Amide-Pos-001479,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Higher in Males,
Sqdg(2:0_28:0),0.3850464350617879,19.26297918330438,2.0628086238754677,0.054748236264202756,0.9033210666567656,-4.395014699827376,C8-Neg-003216,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Pe(20:5_22:2),-0.9053632218366033,23.515200732460027,-2.07691458737427,0.053281123152295044,0.9033210666567656,-4.3965717522665555,C8-Pos-004871,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
5'-S-Methyl-5'-Thioadenosine,-0.39230135613869654,18.45047300561391,-1.8723190763381123,0.07515272472332601,0.9033210666567656,-4.401897465996484,C8-Pos-000483,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,Higher in Females,
D-(+)-Ribonic Acid Gamma-Lactone,-0.7815511214106042,16.756742941158453,-1.7910357005911242,0.08590782500657275,0.9033210666567656,-4.402350899486742,Amide-Neg-000499,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
7-Methylguanosine,-1.2713107164638797,14.606736762305081,-1.842591124723396,0.0789051419759231,0.9033210666567656,-4.402988219823054,Amide-Pos-001185,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Higher in Females,
Glutathionesulfonic Acid,-0.2730226835096081,24.958270341413854,-1.7880622032023303,0.08639841355141796,0.9033210666567656,-4.403265747244383,Amide-Pos-001446,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
5-Methylcytosine,-1.805252978239153,19.21819065661258,-2.231074151129549,0.042539985671594824,0.9033210666567656,-4.404971632026353,Amide-Pos-000296,Organoheterocyclic compounds,Diazines,Higher in Females,
Oahfa(15:1_27:4),-0.7190933890713591,17.566519413029436,-1.7711135065068153,0.08924088342596144,0.9033210666567656,-4.4084635688217055,C8-Neg-002972,Lipids and lipid-like molecules,Fatty acyls,Higher in Females,
L-Isoleucine,0.8856370995932424,23.541961252943338,2.1905568358520475,0.045901351878309744,0.9033210666567656,-4.40875286188806,C18-Pos-000375,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Xanthosine,-0.42983020504663716,18.377337798673604,-1.7053026405108558,0.10104842921335824,0.9033210666567656,-4.4283689145785905,C18-Neg-001023,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Higher in Females,
Levulinic Acid,0.17552410980077382,27.882618067044536,1.6973709909032413,0.10255718878057954,0.9033210666567656,-4.430737285284098,Amide-Neg-000094,Organic acids and derivatives,Keto acids and derivatives,Higher in Males,
Phenylacetylglutamine,-0.21461104900190253,21.358124921896696,-1.6861203642029652,0.10472993087206174,0.9033210666567656,-4.434085085277734,C18-Pos-001439,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Indole-3-Carboxaldehyde,0.2168114170893241,22.74737018484568,1.6811186889967369,0.10570827089524867,0.9033210666567656,-4.435569007519032,C18-Pos-000538,Organoheterocyclic compounds,Indoles and derivatives,Higher in Males,
1-Octadecanoyl-2-Octadecenoyl-Sn-Glycero-3-Phosphocholine,-0.2650149985833586,21.543387937785667,-1.6781878061670537,0.10628513246721262,0.9033210666567656,-4.436437289690871,Amide-Pos-002309,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Cl(18:0_17:1cho_22:4_22:4),-0.3287502714345994,20.57894348346552,-1.6737292735054237,0.10716775586780401,0.9033210666567656,-4.43775634042702,C8-Neg-003242,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Lpc(23:6),-0.4189818541555325,24.542058022911828,-1.6962776935328534,0.10393779882252355,0.9033210666567656,-4.443704546385151,C8-Neg-002622,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
