Analysis,Subgroup,Method,N_Total,N_Nominal,N_FDR,N_VIP1,N_VIP2,N_Overlap
GW (independent),Full untargeted,limma,525,59,3,NA,NA,NA
Sex (independent),Full untargeted,limma,525,19,0,NA,NA,NA
Sex,Full untargeted,Wilcoxon,525,21,0,NA,NA,NA
Sex,Full untargeted,PLS-DA VIP,525,NA,NA,205,9,14
Sex | GW (adjusted),Full untargeted,limma,525,41,0,NA,NA,NA
GW | Sex (adjusted),Full untargeted,limma,525,79,6,NA,NA,NA
Sex:GW interaction,Full untargeted,limma,525,43,0,NA,NA,NA
GW,Steroids (broad),limma,7,2,0,NA,NA,NA
Sex,Steroids (broad),limma,7,1,1,NA,NA,NA
Sex,Steroids (broad),PLS-DA VIP,7,NA,NA,4,0,NA
GW,Steroids (strict),limma,4,1,0,NA,NA,NA
Sex,Steroids (strict),limma,4,0,0,NA,NA,NA
Sex,Steroids (strict),PLS-DA VIP,4,NA,NA,1,0,NA
GW,Neurotransmitters (broad),limma,56,7,2,NA,NA,NA
Sex,Neurotransmitters (broad),limma,56,1,0,NA,NA,NA
Sex,Neurotransmitters (broad),PLS-DA VIP,56,NA,NA,23,0,NA
GW,Neurotransmitters (strict),limma,14,1,0,NA,NA,NA
Sex,Neurotransmitters (strict),limma,14,0,0,NA,NA,NA
Sex,Neurotransmitters (strict),PLS-DA VIP,14,NA,NA,7,0,NA
GW,Medications,limma,NA,NA,NA,NA,NA,NA
Sex,Medications,limma,NA,NA,NA,NA,NA,NA
Sex,Medications,Wilcoxon,NA,NA,NA,NA,NA,NA
GW,Full untargeted,MSEA (fgsea),199,14,0,NA,NA,NA
Sex,Full untargeted,MSEA (fgsea),199,8,0,NA,NA,NA
GW (nominal hits),Full untargeted,ORA (Fisher),125,2,0,NA,NA,NA
GW (FDR hits),Full untargeted,ORA (Fisher),0,0,0,NA,NA,NA
Sex (nominal hits),Full untargeted,ORA (Fisher),36,1,0,NA,NA,NA
Sex (VIP > 1),Full untargeted,ORA (Fisher),182,1,0,NA,NA,NA
Sex (VIP > 2),Full untargeted,ORA (Fisher),34,0,0,NA,NA,NA
