Name,analysis,pathway,pathway_source,NES,pval,padj,set_size,direction,rank,t,logFC,P.Value,adj.P.Val
Citric Acid,Sex,Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),WikiPathways,-1.7328405971622916,0.006297872340425532,0.7477575757575758,9,Down,513,-1.9359589691968817,-0.5202717737375592,0.06582425263109835,0.9033210666567656
L-Glutamine,Sex,Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),WikiPathways,-1.7328405971622916,0.006297872340425532,0.7477575757575758,9,Down,478,-1.3831798603338092,-0.2516941683109026,0.1793415876757122,0.9033210666567656
L-Malic Acid,Sex,Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),WikiPathways,-1.7328405971622916,0.006297872340425532,0.7477575757575758,9,Down,465,-1.311701118952327,-0.7321446653677345,0.2141560371229502,0.9033210666567656
L-Glutamic Acid,Sex,Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),WikiPathways,-1.7328405971622916,0.006297872340425532,0.7477575757575758,9,Down,443,-1.1439346178294942,-0.6297234818838163,0.2655215042323086,0.9033210666567656
Phosphoserine,Sex,Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),WikiPathways,-1.7328405971622916,0.006297872340425532,0.7477575757575758,9,Down,433,-1.0837384017421712,-0.33172576577022317,0.2892472491581555,0.9033210666567656
"D,L-Serine",Sex,Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),WikiPathways,-1.7328405971622916,0.006297872340425532,0.7477575757575758,9,Down,415,-1.0083062468865711,-0.13564660203284395,0.3233645680048245,0.9033210666567656
Inosine,Sex,Diseases of nucleotide metabolism (Reactome),Reactome,1.824191608143686,0.009082217973231358,0.7477575757575758,7,Up,4,2.773819163941168,0.5742903950769428,0.01054994026359619,0.9033210666567656
Hypoxanthtine,Sex,Diseases of nucleotide metabolism (Reactome),Reactome,1.824191608143686,0.009082217973231358,0.7477575757575758,7,Up,26,1.5556057025349048,0.257086128690266,0.13288975663295355,0.9033210666567656
Adenosine,Sex,Diseases of nucleotide metabolism (Reactome),Reactome,1.824191608143686,0.009082217973231358,0.7477575757575758,7,Up,45,1.26788659895412,0.45552809561026386,0.2175222558579314,0.9033210666567656
Tryptophan,Sex,T cell modulation in pancreatic cancer (WikiPathways),WikiPathways,1.7502190731340124,0.01410133843212237,0.7477575757575758,7,Up,6,2.649164046384105,0.6011070510396067,0.01404617140598279,0.9033210666567656
Adenosine,Sex,T cell modulation in pancreatic cancer (WikiPathways),WikiPathways,1.7502190731340124,0.01410133843212237,0.7477575757575758,7,Up,45,1.26788659895412,0.45552809561026386,0.2175222558579314,0.9033210666567656
D-(+)-Tryptophan,Sex,T cell modulation in pancreatic cancer (WikiPathways),WikiPathways,1.7502190731340124,0.01410133843212237,0.7477575757575758,7,Up,53,1.1320927599020416,0.3089467047877456,0.2687787915636852,0.9033210666567656
Inosine,Sex,Purine catabolism (Reactome),Reactome,1.707974568259567,0.015030303030303031,0.7477575757575758,13,Up,4,2.773819163941168,0.5742903950769428,0.01054994026359619,0.9033210666567656
Hypoxanthtine,Sex,Purine catabolism (Reactome),Reactome,1.707974568259567,0.015030303030303031,0.7477575757575758,13,Up,26,1.5556057025349048,0.257086128690266,0.13288975663295355,0.9033210666567656
D-Ribose 5-Phosphate,Sex,Purine catabolism (Reactome),Reactome,1.707974568259567,0.015030303030303031,0.7477575757575758,13,Up,27,1.553379581024133,0.29159229065981657,0.13601197042497007,0.9033210666567656
Adenosine,Sex,Purine catabolism (Reactome),Reactome,1.707974568259567,0.015030303030303031,0.7477575757575758,13,Up,45,1.26788659895412,0.45552809561026386,0.2175222558579314,0.9033210666567656
