Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Stigmastanes and derivatives,1,Sub.Class,6,0.015694295206034596,21.886702466938516,22.22004361672792,0.02180703964044441,Stigmastanes and ...,0.9088409075394398,1,FALSE,FALSE,TRUE,Higher in Males
Gamma-keto acids and derivatives,1,Sub.Class,37,0.046386593281398644,27.794856012144148,27.970380121944924,0.00908195200367748,Gamma-keto acids ...,0.9088409075394398,1,FALSE,FALSE,TRUE,Higher in Males
Glycerophosphocholines,80,Sub.Class,107,0.046386593281398644,19.902127559491795,19.632407792920542,-0.019685543467272516,Glycerophosphocho...,0.9088409075394398,1,FALSE,FALSE,TRUE,Higher in Females
Tricarboxylic acids and derivatives,1,Sub.Class,87,0.08776811183032411,21.333673909504824,20.813402135767266,-0.03561963043444119,Tricarboxylic aci...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphoserines,25,Sub.Class,44,0.11235119769046396,20.783202320652446,21.005363945917043,0.015339817720679732,Glycerophosphoser...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Fatty ethers,2,Sub.Class,100,0.11235119769046396,22.181476978874475,21.707647351003395,-0.03115205533521331,Fatty ethers,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Quaternary ammonium salts,5,Sub.Class,98,0.14095521914437142,21.009590247797107,20.73161937857058,-0.019215213285289218,Quaternary ammoni...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphoglycerophosphates,2,Sub.Class,97,0.1572127533400039,17.331846886504362,16.76736582168749,-0.04776933953136923,Glycerophosphogly...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Vitamin D and derivatives,1,Sub.Class,48,0.17485330689329268,18.731501401392524,18.922566679885847,0.0146412491204033,Vitamin D and der...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Fatty acid esters,13,Sub.Class,49,0.1939308522824107,19.178994870108664,19.328720840586872,0.011219050503329647,Fatty acid esters,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Medium-chain keto acids and derivatives,1,Sub.Class,87,0.2070611548700861,21.284124138844916,20.696653901587556,-0.04038018195762038,Medium-chain keto...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Cyclic pyrimidine nucleotides,2,Sub.Class,94,0.21449380778351745,21.23120481152701,21.08894986003792,-0.009698985630852128,Cyclic pyrimidine...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Sulfuric acid esters,1,Sub.Class,52,0.26023620261718894,18.708857119739328,18.846586006675654,0.010581777576873352,Sulfuric acid esters,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Fatty acids and conjugates,19,Sub.Class,91,0.28547630885188235,20.909102648820554,20.794703998640337,-0.007914998295592134,Fatty acids and c...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Pyridinecarboxylic acids and derivatives,1,Sub.Class,53,0.28547630885188235,26.649881151154517,26.83640464414038,0.010062303082246763,Pyridinecarboxyli...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Sulfinic acids,1,Sub.Class,54,0.3123214216762162,31.10445877216281,31.385175748438044,0.012961884540785321,Sulfinic acids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Carboximidic acids,3,Sub.Class,90,0.3123214216762162,21.493447444761298,21.2320365577599,-0.017654142730241008,Carboximidic acids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Bis-methyl phosphoglycerophosphates,1,Sub.Class,90,0.3123214216762162,21.639239424238635,21.464191269793215,-0.01171797644145648,Bis-methyl phosph...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Glycosphingolipids,1,Sub.Class,54,0.3123214216762162,17.16135056096728,18.40228928265244,0.10072215741091295,Glycosphingolipids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Purine ribonucleotides,9,Sub.Class,89,0.3407786135629546,20.72022261026331,20.586039962125348,-0.009373170552514883,Purine ribonucleo...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphoglycerophosphoglycerols,4,Sub.Class,89,0.3407786135629546,20.422473760341514,20.133575463227174,-0.02055423043243566,Glycerophosphogly...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Triradylglycerols,16,Sub.Class,89,0.3407786135629546,20.465989518841525,20.345055124667955,-0.008550232563371049,Triradylglycerols,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
"Amino acids, peptides, and analogues",96,Sub.Class,56,0.3708443333042211,20.01917809948847,20.10135381431562,0.005909924739020144,"Amino acids, pept...",0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Alpha hydroxy acids and derivatives,3,Sub.Class,88,0.3708443333042211,19.05763460183675,18.980316826671086,-0.005864991159547816,Alpha hydroxy aci...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Quinolones and derivatives,1,Sub.Class,88,0.3708443333042211,28.748469144397376,28.591141148134433,-0.00791693171388755,Quinolones and de...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Piperidinecarboxylic acids and derivatives,1,Sub.Class,51,0.37217143978212575,18.551614337969465,18.75350352009545,0.015615410546935068,Piperidinecarboxy...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Phosphate esters,2,Sub.Class,57,0.40250382378200356,21.993694331043145,22.132603674490753,0.009083222113747434,Phosphate esters,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Hybrid peptides,3,Sub.Class,57,0.40250382378200356,20.424067114402003,20.618762425345626,0.013687558565872327,Hybrid peptides,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Pyrimidines and pyrimidine derivatives,4,Sub.Class,87,0.40250382378200356,18.9944370310458,18.44823564884163,-0.04209410663361126,Pyrimidines and p...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Quinoline carboxylic acids,1,Sub.Class,59,0.4178869643175006,19.47136252146256,19.210934247460283,-0.019426160678775443,Quinoline carboxy...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleotide sugars,2,Sub.Class,86,0.4357306600317366,23.32567337652031,22.460456367488753,-0.054531488340044856,Purine nucleotide...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Diradylglycerols,7,Sub.Class,86,0.4357306600317366,19.094595482348307,18.935619352300673,-0.01206174676659661,Diradylglycerols,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Hydropyridines,1,Sub.Class,85,0.47048642205878966,20.456395852938744,19.665741150263578,-0.05686742493836053,Hydropyridines,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Amines,10,Sub.Class,59,0.47048642205878966,17.750512706813794,17.96594544304205,0.017404161868509186,Amines,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Pyrimidine nucleotide sugars,4,Sub.Class,85,0.47048642205878966,19.31198011715662,19.148175119625186,-0.012289190467779763,Pyrimidine nucleo...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine ribonucleotides,7,Sub.Class,85,0.47048642205878966,22.26126059115504,22.090459564844625,-0.01111185816195303,Pyrimidine ribonu...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Fatty amides,2,Sub.Class,85,0.47048642205878966,20.13896447910911,19.970038498532627,-0.012152389606359346,Fatty amides,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Carbonyl compounds,2,Sub.Class,85,0.47048642205878966,23.037818221143734,22.689576548074882,-0.02197440944971394,Carbonyl compounds,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
"Bile acids, alcohols and derivatives",1,Sub.Class,85,0.47048642205878966,21.157916698396914,21.033272239565456,-0.008524266336772106,"Bile acids, alcoh...",0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Alloxazines and isoalloxazines,1,Sub.Class,60,0.5067205148778585,20.814067557749247,20.89135251723947,0.005346967143444002,Alloxazines and i...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
5'-deoxy-5'-thionucleosides,3,Sub.Class,84,0.5067205148778585,23.141928668153643,22.886300543928375,-0.016024827597579245,5'-deoxy-5'-thion...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Benzenediols,1,Sub.Class,30,0.5229032345126705,17.314096818793015,16.910258287773853,-0.034048436350267657,Benzenediols,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Delta valerolactones,2,Sub.Class,83,0.5443701458566099,19.77906555553723,19.70888883595696,-0.00512782763611926,Delta valerolactones,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Gamma butyrolactones,3,Sub.Class,83,0.5443701458566099,21.936612537054536,21.62686666931146,-0.02051610046829636,Gamma butyrolactones,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Sesquiterpenoids,2,Sub.Class,83,0.5443701458566099,18.24498000319932,17.85797871249955,-0.030930774043688516,Sesquiterpenoids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Monoterpenoids,1,Sub.Class,56,0.5587598228708937,21.324146456883863,21.370872043742196,0.0031577828853844962,Monoterpenoids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Organosulfonic acids and derivatives,1,Sub.Class,62,0.5833604667027033,24.78830361857729,24.88603110803173,0.005676619408136788,Organosulfonic ac...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Lineolic acids and derivatives,2,Sub.Class,62,0.5833604667027033,17.940048667657464,18.005253003595605,0.005234067925964479,Lineolic acids an...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Dicarboxylic acids and derivatives,3,Sub.Class,63,0.623604884395689,21.88670929312785,21.97294529980782,0.005673205621827377,Dicarboxylic acid...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Indolyl carboxylic acids and derivatives,3,Sub.Class,63,0.623604884395689,18.499961057316117,18.641334609910306,0.01098291831784253,Indolyl carboxyli...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphoethanolamines,38,Sub.Class,81,0.623604884395689,19.091786186089667,19.11960974649007,0.002100992058735599,Glycerophosphoeth...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
(3'->5')-dinucleotides,1,Sub.Class,81,0.623604884395689,23.356699571345185,23.221897494475236,-0.00835056626942658,(3'->5')-dinucleo...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Cyclic purine nucleotides,1,Sub.Class,63,0.623604884395689,22.574056952273875,22.68164136796832,0.0068593260582045686,Cyclic purine nuc...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphoinositols,13,Sub.Class,81,0.623604884395689,20.1018825970511,19.930878897697923,-0.012325289605046329,Glycerophosphoino...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Pregnane steroids,2,Sub.Class,63,0.623604884395689,16.574089838610888,16.69655986640832,0.010621235314949386,Pregnane steroids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphoethanol,2,Sub.Class,81,0.623604884395689,24.116536397079056,24.094319479711864,-0.0013296689384773204,Glycerophosphoeth...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Furoic acid and derivatives,1,Sub.Class,80,0.6650055421020291,18.348039696657565,18.21299974064921,-0.010657375380912323,Furoic acid and d...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Alcohols and polyols,4,Sub.Class,80,0.6650055421020291,24.28768411920975,24.740140250197687,0.026628746295803894,Alcohols and polyols,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphoglycerols,5,Sub.Class,80,0.6650055421020291,17.910639455475156,17.489037135705455,-0.03436598270442127,Glycerophosphogly...,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Eicosanoids,1,Sub.Class,41,0.6650055421020291,15.721373188350112,15.291653543814522,-0.03998281660183206,Eicosanoids,0.9088409075394398,1,FALSE,FALSE,FALSE,Higher in Females
Carboxylic acids,1,Sub.Class,15,0.6889205558044607,16.116052407929942,16.33013860768572,0.019038634204265895,Carboxylic acids,0.9260899274748488,1,FALSE,FALSE,FALSE,Higher in Males
Phenylpropanes,1,Sub.Class,79,0.7074539677020747,22.61051619647601,22.562898670158802,-0.003041505483887638,Phenylpropanes,0.9356649250253245,1,FALSE,FALSE,FALSE,Higher in Females
Furanones,1,Sub.Class,55,0.7426659029196823,16.131728083781525,15.734307856227288,-0.035987276360517254,Furanones,0.9422249528924591,1,FALSE,FALSE,FALSE,Higher in Females
Terpene lactones,1,Sub.Class,20,0.7453330673308027,16.441658905631257,16.10410726792616,-0.02992718216726693,Terpene lactones,0.9422249528924591,1,FALSE,FALSE,FALSE,Higher in Females
Acrylic acids and derivatives,1,Sub.Class,21,0.746885633390364,21.116565232078624,21.062901907098677,-0.0036709735731192948,Acrylic acids and...,0.9422249528924591,1,FALSE,FALSE,FALSE,Higher in Females
Short-chain keto acids and derivatives,2,Sub.Class,67,0.7950121719642382,21.03199583263305,21.129239460089142,0.006655077674675619,Short-chain keto ...,0.944797073928515,1,FALSE,FALSE,FALSE,Higher in Males
Indoles,2,Sub.Class,67,0.7950121719642382,23.470013107549676,23.46766361311661,-1.4442998490031623e-4,Indoles,0.944797073928515,1,FALSE,FALSE,FALSE,Higher in Females
Ceramides,2,Sub.Class,67,0.7950121719642382,20.667393291013976,20.973343067916133,0.021200401694505887,Ceramides,0.944797073928515,1,FALSE,FALSE,FALSE,Higher in Males
Neutral glycosphingolipids,1,Sub.Class,67,0.7950121719642382,23.767273829490357,23.787957127398787,0.0012549489342328672,Neutral glycosphi...,0.944797073928515,1,FALSE,FALSE,FALSE,Higher in Males
Glycosyldiacylglycerols,5,Sub.Class,68,0.8398599725400034,19.670802464389663,19.784647129461035,0.008325521124523318,Glycosyldiacylgly...,0.9678557464907004,1,FALSE,FALSE,FALSE,Higher in Males
Pyrrole carboxylic acids and derivatives,1,Sub.Class,34,0.8748259769492438,15.862398498020795,15.934648684915494,0.006556279589515778,Pyrrole carboxyli...,0.9678557464907004,1,FALSE,FALSE,FALSE,Higher in Males
Carbohydrates and carbohydrate conjugates,29,Sub.Class,75,0.8852339144732017,20.004058258188202,19.978089782666736,-0.0018740661999531196,Carbohydrates and...,0.9678557464907004,1,FALSE,FALSE,FALSE,Higher in Females
Purines and purine derivatives,5,Sub.Class,75,0.8852339144732017,18.73954553973658,18.802715533742667,0.004855068420974791,Purines and purin...,0.9678557464907004,1,FALSE,FALSE,FALSE,Higher in Males
Thiazoles,1,Sub.Class,75,0.8852339144732017,20.241316418799208,20.168591765788236,-0.005192766538456418,Thiazoles,0.9678557464907004,1,FALSE,FALSE,FALSE,Higher in Females
Phosphosphingolipids,5,Sub.Class,75,0.8852339144732017,20.231395256310794,20.326223668258788,0.006746388598841896,Phosphosphingolipids,0.9678557464907004,1,FALSE,FALSE,FALSE,Higher in Males
