Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Endocannabinoids,1,Class,121,0.005107905424995494,21.435224444332185,21.223811799104084,-0.014299735708042275,Endocannabinoids,0.24517946039978372,0.24517946039978372,FALSE,FALSE,TRUE,Higher in Females
Phenylpropanoic acids,1,Class,92,0.03779708390871804,23.691633711640495,23.305227758393283,-0.02372407421477231,Phenylpropanoic a...,0.827572000068649,1,FALSE,FALSE,TRUE,Higher in Females
Quinolines and derivatives,2,Class,105,0.060601969712006154,25.658287413482906,23.901037697797356,-0.10235162336605255,Quinolines and de...,0.827572000068649,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine nucleosides,5,Class,104,0.06896433333905408,24.610690013382595,24.029264984207597,-0.034492587938861737,Pyrimidine nucleo...,0.827572000068649,1,FALSE,FALSE,FALSE,Higher in Females
Fatty acyls,2,Class,100,0.11235119769046396,22.181476978874475,21.707647351003395,-0.03115205533521331,Fatty acyls,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophospholipids,169,Class,97,0.1572127533400039,19.715286747670945,19.597660385335224,-0.00863326147749288,Glycerophospholipids,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Females
Benzodioxoles,1,Class,75,0.1697061422725126,22.291870277201376,22.107892507044127,-0.011956160083600962,Benzodioxoles,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Females
Biotin and derivatives,1,Class,93,0.2365840933218762,22.516294935234235,21.787935205066645,-0.04743996905810862,Biotin and deriva...,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Females
Nucleoside and nucleotide analogues,1,Class,78,0.24853467917305802,14.508387577663695,13.890924442041795,-0.06274457717524547,Nucleoside and nu...,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Females
Indoles and derivatives,6,Class,52,0.26023620261718894,22.515049509116945,22.777928570055483,0.016746903924964904,Indoles and deriv...,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Males
Organic sulfuric acids and derivatives,1,Class,52,0.26023620261718894,18.708857119739328,18.846586006675654,0.010581777576873352,Organic sulfuric ...,0.933205964325617,1,FALSE,FALSE,FALSE,Higher in Males
