Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Pe 21:2_21:2,-0.20357576619286846,19.62623668017055,-3.629649765315153,0.0014826841933168469,0.20575365956021885,-1.0424272894252278,C8-Pos-004750,Lipids and lipid-like molecules,Glycerophospholipids,Steeper in Females,
(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,-0.5580763804419607,19.113347712214267,-3.6110089712984648,0.0015508509447840753,0.20575365956021885,-1.0791528180052863,C18-Pos-000888,Organic acids and derivatives,Carboxylic acids and derivatives,Steeper in Females,
Uric Acid,0.8349899105316732,15.640626858390384,4.3892698344207055,6.186796880269936e-4,0.20575365956021885,-1.3137802296761891,C18-Pos-000742,Organoheterocyclic compounds,Imidazopyrimidines,Steeper in Males,
Pi(29:7_11:0),0.46711133079578254,23.51644232377141,3.7014042213077483,0.0019388238713172103,0.20575365956021885,-1.3515554420247646,C8-Pos-005326,Lipids and lipid-like molecules,Glycerophospholipids,Steeper in Males,
Cytarabine,-0.26939964242985814,23.89088597287179,-3.4353412481230174,0.0023645354954155177,0.20575365956021885,-1.4238636109633296,Amide-Pos-000937,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Steeper in Females,
Pc(16:1cooh_23:3),-0.2524754018241653,15.177072328192617,-3.544860716230506,0.002316225911879322,0.20575365956021885,-1.4254328158491605,C8-Pos-004801,Lipids and lipid-like molecules,Glycerophospholipids,Steeper in Females,
5'-Cytidylic Acid,-0.29527893863690163,20.859868215411925,-3.3506861923224878,0.0028935566049280025,0.20575365956021885,-1.5888781345097334,C18-Pos-002009,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Steeper in Females,
(R)-Pantetheine,-0.18930220369858405,26.054315701558952,-3.3169270224746534,0.0031352938599652396,0.20575365956021885,-1.6544417871195831,C18-Pos-001415,Organic acids and derivatives,Carboxylic acids and derivatives,Steeper in Females,
Udp-Β-D-Glucose (Sodium Salt),-0.18950857857048364,17.708060207325516,-3.1891639426755005,0.004240910020122005,0.24738641784045032,-1.9011341690245978,Amide-Pos-001947,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Steeper in Females,
"D-Myo-Inositol-1,2-Diphosphate",-0.163238056039242,26.6293042310774,-3.0102075354662423,0.0064429957755683135,0.3153179442471425,-2.2421267016355197,Amide-Pos-001360,Organic oxygen compounds,Organooxygen compounds,Steeper in Females,
L-Ascorbic Acid,-0.6951882491034241,15.933017970004407,-2.992032096033301,0.007207267297077542,0.3153179442471425,-2.3230085570567005,Amide-Neg-000729,Organoheterocyclic compounds,Dihydrofurans,Steeper in Females,
Pe 16:0_22:5,-0.3817806597781062,21.571051086718445,-3.317788798391068,0.006868132129848205,0.3153179442471425,-2.3569949404030646,C8-Pos-004173,Lipids and lipid-like molecules,Glycerophospholipids,Steeper in Females,
Pet(16:0_27:7),-0.14508105043633,29.011150134498223,-2.8707878028874063,0.008883603151597216,0.35152408630855686,-2.503297768298848,C8-Pos-004866,Lipids and lipid-like molecules,Glycerophospholipids,Steeper in Females,
Pe(22:3_26:5),-0.1969026170761871,17.97499355341092,-2.847274284135287,0.00937397563489485,0.35152408630855686,-2.546901767097769,C8-Neg-003594,Lipids and lipid-like molecules,Glycerophospholipids,Steeper in Females,
S-Adenosyl-L-Homocysteine,-0.1934955874484861,28.5350757958115,-2.752141535966343,0.01268103393392625,0.4438361876874187,-2.772025623427198,C18-Pos-000925,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides,Steeper in Females,
